[0004.82-0009.30] 同學們好,歡迎大家來到我的計算機組成原理為課堂
[0009.30-0013.70] 本節課,我對本系列課程做一個簡單的介紹
[0013.70-0017.10] 下面,我們展示一些計算機硬架
[0017.10-0019.86] 相信很多同學都不會陌生
[0019.98-0022.54] 例如,這是CPU
[0022.54-0024.22] 這是內存
[0024.22-0025.74] 這是顯卡
[0025.74-0027.66] 這是固態硬盤
[0027.66-0033.95] 將上述硬架安裝到計算機主板的相應插座或插槽上
[0034.18-0038.58] 例如,將CPU安裝到主板上的CPU插座
[0038.58-0042.34] 將內存條安裝到主板上的內存插槽
[0042.34-0046.50] 將顯卡安裝到主板上的PCIE接口插槽
[0046.50-0051.50] 將固態硬盤安裝到主板上的M.2接口插槽
[0051.89-0054.85] 有過裝機經歷的同學一定知道
[0054.85-0059.49] 還需要給CPU安裝合適的風冷或水冷散熱器
[0059.49-0063.95] 再給整個硬架系統選擇一個功率合適的電源
[0064.11-0066.75] 並將電源配套提供的電源線
[0066.75-0070.43] 連接到主板上各種相應的供電接口
[0070.43-0073.65] 以及顯卡上的相應供電接口
[0073.65-0076.37] 有的發燒友為了不限美觀
[0076.37-0079.12] 甚至會定制電源線
[0079.12-0084.08] 之後,將上述硬架安裝到一個通通繳好的機箱
[0084.08-0089.44] 再配上鍵盤、鼠標、顯示器等輸入輸出設備
[0089.44-0093.79] 這樣就完成了一台計算機的硬架組裝
[0093.95-0096.11] 相信很多同學都知道
[0096.11-0102.43] 接下來的工作就是給計算機安裝操作系統軟件和各類應用軟件
[0102.43-0106.75] 以便我們能夠使用計算機來解決實際問題
[0106.75-0110.35] 即使同學們沒有上述經歷
[0110.35-0113.39] 我想很多計算機相關專業的同學
[0113.39-0116.51] 在邁入大學校園之前的那個暑假
[0116.51-0119.95] 也會選擇一台新移的筆記本電腦
[0119.95-0124.11] 作為自己大學生活的學習和娛樂工具
[0124.70-0126.46] 在選擇的過程中
[0126.46-0131.58] 對CPU、內存、顯卡、硬盤等計算機硬件
[0131.58-0134.22] 自然而然的會有一定的瞭解
[0134.61-0139.09] 即使是沒有上述經歷的非計算機相關專業的同學
[0139.09-0141.87] 也一定會有一台智能手機
[0141.87-0147.63] 因此對CPU、內存等硬架的作用還是有一定瞭解的
[0147.63-0149.39] 介紹到這裡
[0149.39-0152.83] 相信很多同學會產生這樣的疑問
[0153.12-0157.52] 難道正門課室和高老師一起學裝機
[0157.52-0160.48] 要麼就是數碼UP主的養成
[0160.48-0162.46] 不要誤會
[0162.46-0164.94] 之所以進行上述舉例
[0164.94-0169.50] 是為了表達同學們對計算機實際上並不陌生
[0169.50-0172.86] 因為它是我們生活中不可或缺的工具
[0172.86-0177.31] 但是對於計算機相關專業的同學來說
[0177.31-0179.47] 僅僅知道如何裝機
[0179.47-0181.31] 如何安裝軟件
[0181.47-0184.75] 如何挑選筆記本電腦和智能手機
[0184.75-0187.02] 是遠遠不夠的
[0187.02-0191.54] 我們需要學習的是計算機底層工作原理
[0191.54-0194.26] 這樣就引出了計算機組成原理
[0194.26-0198.13] 這門課程會圍繞哪些問題展開
[0198.13-0204.37] 例如數字、文本、圖像、音頻、視頻等用戶信息
[0204.37-0207.28] 如何用二進之數據表示
[0207.28-0210.18] 二進之數據如何存儲
[0210.26-0215.49] CPU如何從內存取出想要的二進之數據
[0215.49-0219.58] CPU如何對二進之數據進行處理
[0219.58-0221.50] 而上述這些問題
[0221.50-0224.83] 會涉及到哪些計算機硬價
[0224.83-0229.26] 這些硬價又是如何協調工作的
[0229.26-0233.26] 同學們在學習了計算機組成原理這門課程後
[0233.26-0236.67] 上述問題就會得到解答
[0236.67-0239.39] 對於計算機相關專業的同學
[0239.39-0241.63] 還會學習操作系統
[0241.63-0244.02] 數據結構等課程
[0244.02-0247.54] 這樣同學們就會對整個計算機系統
[0247.54-0250.08] 有比較深入的理解
[0250.08-0253.36] 在學習了計算機網絡這門課程後
[0253.36-0256.40] 同學們還會對計算機系統之間
[0256.40-0260.08] 通過網絡互聯有一定的理解
[0260.08-0264.00] 那麼上述四門課程及其配到教材
[0264.00-0267.34] 就是同學們口中的四大天書
[0267.34-0270.62] 可見同學們在學習這四門課程時
[0270.62-0273.10] 還是有一定困難的
[0273.18-0275.18] 然而這四門課程
[0275.18-0279.10] 也是全國碩士研究生入學統一考試
[0279.10-0283.06] 計算機科學與技術學科聯考的指定課程
[0283.06-0285.33] 科目代碼408
[0285.33-0290.05] 我在2019年將計算機網絡微課堂系列視頻
[0290.05-0291.81] 上傳B賬號
[0291.81-0294.13] 得到了很多同學的好評
[0294.13-0295.65] 越來越多的同學
[0295.65-0298.45] 希望我還能製作相同風格的
[0298.45-0301.92] 計算機組成原理微課堂視頻
[0302.00-0304.48] 因此 應大家要求
[0304.48-0306.40] 經過一段時間的準備
[0306.40-0311.55] 我開始製作計算機組成原理微課堂視頻
[0311.55-0313.79] 本系列視頻的社會內容
[0313.79-0316.86] 會圍繞408考綱展開
[0316.86-0323.09] 同時也能滿足大多數自命體院校考察的主要內容
[0323.09-0324.77] 在製作過程中
[0324.77-0327.01] 力爭做到遙遙領先
[0327.01-0330.08] 希望能對大家有所幫助
[0330.08-0332.96] 好了 課程介紹就到這裡
[0332.96-0335.52] 同學們 我們下節課見
