[0004.30-0008.86] 同學們好 歡迎大家來到我的計算機組成原理 微課堂
[0008.86-0012.94] 本節課 我們簡單介紹一下計算機的發展
[0012.94-0017.14] 需要說明的是 等課程中所謂的計算機
[0017.14-0021.38] 除特別指名外 具體是指電子數字計算機
[0021.38-0026.54] 1936年 英國數學家艾倫.圖林在其論文
[0026.54-0030.22] 論可計算數 及其在帕尼問題上的應用中
[0030.22-0032.42] 提出了一種十分簡單
[0032.50-0035.78] 但運算能力極強的理想計算裝置
[0035.78-0040.26] 用它來計算所有能想像的到的可計算還說
[0040.26-0043.86] 這一裝置只是一種理想的計算模型
[0043.86-0046.74] 或者說是一種理想中的計算機
[0046.74-0049.08] 又被稱為圖林機
[0049.08-0051.62] 圖林機由三部分組成
[0051.62-0055.70] 一條袋子 一個讀寫頭和一個控制裝置
[0055.70-0058.42] 能執行任何給定的計算
[0058.42-0061.86] 也就是能夠執行任何可能的任務
[0062.57-0064.17] 圖林的這一思想
[0064.17-0067.13] 實際上奠定了現代計算機的基礎
[0067.13-0071.00] 現代計算機實際上就是用相應的程序
[0071.00-0074.81] 來完成任何設定好的任務
[0074.81-0079.37] 1936年 圖林在普林斯頓高等研究院進修
[0079.37-0081.29] 遇見了馮東一曼
[0081.29-0084.65] 馮東一曼對圖林的論文極度讚賞
[0084.65-0087.34] 馮東一曼後來一再強調
[0087.34-0090.94] 他的存儲程序的思想主要來自圖林
[0090.94-0093.70] 有關馮東一曼計算機的特點
[0093.78-0096.79] 我們將在下節課介上
[0096.79-0101.91] 1938年 美國數學家信息論創始人湘農
[0101.91-0103.91] 在其碩士學位論文
[0103.91-0107.03] 紀念器和開關電路的符號分析中
[0107.03-0109.35] 深刻的揭示了布爾代數
[0109.35-0111.67] 與開關電路之間的聯繫
[0111.67-0113.99] 為數字電路設計與分析
[0113.99-0116.81] 奠定了堅持的數學基礎
[0116.81-0118.65] 這項開創性的研究
[0118.65-0120.25] 為計算機科學
[0120.25-0122.73] 電子工程與信息技術的發展
[0122.73-0125.99] 提供了重要的理論支持
[0125.99-0130.23] 世界上第一台真正意義上的電子數字計算機
[0130.23-0133.75] 是在1937年到1942年間
[0133.75-0136.27] 由美國埃爾瓦州立大學
[0136.27-0139.11] 物理系副教授阿塔納索夫
[0139.11-0144.25] 和當時還是物理系研究生的貝瑞合作研製成功的
[0144.25-0147.05] 稱為阿塔納索夫貝瑞計算機
[0147.05-0149.35] 簡稱為ABC
[0149.35-0152.15] 該計算機使用了300個電子管
[0152.15-0153.43] 不可編成
[0153.51-0156.31] 僅用於囚解線型方程組
[0156.31-0157.83] 只是一台樣機
[0157.83-0161.70] 並沒有完全實現阿塔納索夫的構想
[0161.70-0163.22] 1946年
[0163.22-0165.30] 默克利和艾克特
[0165.30-0168.10] 基於ABC計算機的設計思想
[0168.10-0170.10] 在美國軍方的支持
[0170.10-0172.50] 以及馮諾伊曼等人的幫助下
[0172.50-0175.14] 成功研製出了真正使用的
[0175.14-0177.70] 電子數字計算機艾尼阿克
[0177.70-0181.62] 艾尼阿克使用了18000個電子管
[0181.62-0184.18] 佔領面積170平方米
[0184.34-0185.94] 重達30噸
[0185.94-0188.42] 耗電功率150千瓦
[0188.42-0190.58] 採用實境制
[0190.58-0194.42] 運算速度為每秒5000次加法運算
[0194.42-0196.90] 每秒400次懲罰運算
[0196.90-0199.38] 以及平方和立方運算
[0199.38-0203.10] 掙錢和漁嫌函數數值運算
[0203.10-0206.98] 當時主要用它進行彈道參數計算
[0206.98-0209.06] 60秒設成的彈道
[0209.06-0211.86] 計算時間由原來的20分鐘
[0211.86-0215.03] 可縮短到僅需30秒
[0215.19-0218.87] 默克利和艾克特製造完成艾尼阿克號
[0218.87-0223.19] 就立刻為其申請並獲得了美國專利
[0223.19-0224.47] 就是這個專利
[0224.47-0228.39] 導致了ABC和艾尼阿克之間長期的
[0228.39-0232.90] 世界上第一台電子數字計算機的頭銜之爭
[0232.90-0234.34] 1973年
[0234.34-0238.60] 美國民意蘇達地區法院給出了正式宣判
[0238.60-0241.93] 推翻並吊銷了默克利的專利
[0241.93-0245.69] 現在國際計算機界公認的事實是
[0245.69-0248.89] 第一台電子數字計算機的真正發明人
[0248.89-0251.11] 是阿塔納索夫
[0251.11-0252.63] 有興趣的同學
[0252.63-0257.69] 可自行產業默克利與阿塔納索夫之間的恩怨
[0257.69-0260.25] 從艾尼阿克誕生到現在
[0260.25-0262.41] 在這70多年的時間裡
[0262.41-0264.95] 伴隨著電子氣價的發展
[0264.95-0267.03] 電子數字計算機的發展
[0267.03-0269.51] 大致經歷了電子管計算機
[0269.51-0271.03] 經體管計算機
[0271.03-0272.47] 集成電路計算機
[0272.47-0274.87] 以及超大規模集成電路計算機
[0274.87-0277.22] 這四個階段
[0277.22-0280.73] 第一代計算機為電子管計算機
[0280.73-0283.45] 其邏輯人價採用電子管
[0283.45-0288.33] 運算速度一般為每秒幾千次到幾萬次
[0288.33-0291.37] 主存先後採用水銀延遲線
[0291.37-0293.38] 磁鼓磁芯
[0293.38-0298.26] 輸出設備採用穿孔卡片或穿孔紙袋
[0298.26-0300.42] 採用機器源編制程序
[0300.42-0302.46] 沒有操作系統
[0302.46-0304.70] 電子管計算機體積大
[0304.70-0306.62] 功耗高速度慢
[0306.62-0308.06] 可靠性差
[0308.06-0311.27] 主要應用於科學計算
[0311.27-0314.71] 第二代計算機為經體管計算機
[0314.71-0317.54] 其邏輯人價採用經體管
[0317.54-0322.62] 運算速度一般為每秒數十萬次至數百萬次
[0322.62-0325.34] 主存採用磁芯存儲器
[0325.34-0329.26] 輔存採用磁鼓和磁帶存儲器
[0329.26-0333.64] 輸出設備採用穿孔卡片或打贏機
[0333.64-0336.60] 主要採用會邊語言編制程序
[0336.60-0340.70] 並開始使用搜純、Cobo等高級語言
[0340.70-0345.32] 在這一階段出現了單道批處理系統
[0345.32-0347.40] 相對於電子管計算機
[0347.40-0349.48] 經體管計算機體積小
[0349.48-0350.44] 速度快
[0350.44-0351.40] 功耗低
[0351.40-0353.46] 可靠性高
[0353.46-0357.45] 第三代計算機為集成電路計算機
[0357.45-0362.47] 其邏輯人價和存儲器均可由集成電路實現
[0362.47-0367.75] 運算速度一般為每秒數百萬次到數千萬次
[0367.83-0370.47] 主存採用半導體存儲器
[0370.47-0372.78] 輔存以磁盤為主
[0372.78-0377.75] 出現了鍵盤、鼠標、顯示器等輸入輸出設備
[0377.75-0379.27] 在這一階段
[0379.27-0381.43] 高級語言進一步發展
[0381.43-0383.03] 出現了B語言
[0383.03-0385.56] 也就是C語言的前身
[0385.56-0387.00] 操作系統方面
[0387.00-0391.13] 出現了多道批處理系統和分識系統
[0391.13-0393.37] 相對於經體管計算機
[0393.37-0397.85] 集成電路計算機的體積和功耗都顯著減小
[0397.85-0400.63] 而可靠性大大提高
[0400.63-0401.91] 在這一階段
[0401.91-0406.07] 還出現了巨型機、大型機與小型機
[0406.07-0408.30] 同時發展的趨勢
[0408.30-0412.89] 計算機類型開始出現多樣化和系列化
[0412.89-0416.25] 軟件技術與外部設備快速發展
[0416.25-0419.03] 應用領域不斷擴大
[0419.03-0423.27] 第四代計算機為超大規模集成電路計算機
[0423.27-0427.19] 其邏輯人價採用超大規模集成電路
[0427.27-0430.71] 運算速度一般為每秒數十億次
[0430.71-0433.32] 甚至數千億次
[0433.32-0436.52] 除主存採用半導體存儲器外
[0436.52-0439.56] 輔存也可使用半導體存儲器
[0439.56-0444.55] 並且主存和輔存的容量都有顯著提升
[0444.55-0445.99] 在這一階段
[0445.99-0448.31] 出現了各種高級語言
[0448.31-0449.59] 例如C
[0449.59-0450.55] C++
[0450.55-0451.35] Java
[0451.35-0452.63] Python等
[0452.63-0456.44] 並且發展出了現代操作系統
[0456.44-0460.76] 從上述電子數字計算機的發展歷程可以看出
[0460.76-0464.04] 其發展特點是體積越來越小
[0464.04-0465.64] 功耗越來越低
[0465.64-0467.40] 可靠性越來越高
[0467.40-0469.62] 運算速度越來越快
[0469.62-0472.74] 這些都依賴於電子氣價的發展
[0472.74-0476.34] 而且背後隱藏著眾多科學家
[0476.34-0477.70] 貝爾實驗室
[0477.70-0479.22] 先從半導體
[0479.22-0480.50] 德州儀器
[0480.50-0481.54] 英特爾
[0481.54-0484.50] AMD等公司的傳奇故事
[0484.50-0485.70] 時間關係呢
[0485.78-0488.26] 我們就不再逐個介紹了
[0488.26-0491.50] 有興趣的同學可以自行查閱
[0491.50-0493.18] 方法很簡單
[0493.18-0495.98] 在B站搜索相關的關鍵詞
[0495.98-0498.54] 就可以找到很多科普阿普主
[0498.54-0502.07] 製作的相關科普小短片
[0502.07-0502.71] 這裡
[0502.71-0504.31] 我們要提一下的是
[0504.31-0506.23] 英特爾公司的創始人之一
[0506.23-0507.75] 哥德摩爾
[0507.75-0509.43] 他在1965年
[0509.43-0513.43] 接受美國電子雜誌的總編採訪時
[0513.43-0515.51] 對半導體集成電路上
[0515.59-0517.75] 可容納的經體管數量
[0517.75-0520.31] 性能和價格等發展趨勢
[0520.31-0522.10] 進行了預測
[0522.10-0523.46] 也就是
[0523.46-0525.22] 半導體集成電路上
[0525.22-0527.54] 可容納的經體管數量
[0527.54-0530.58] 大約每經過18到24個月
[0530.58-0532.78] 便會增加一倍
[0532.78-0534.14] 換句話說呢
[0534.14-0535.18] 處理器的性能
[0535.18-0537.50] 大約每兩年翻一倍
[0537.50-0540.98] 同時價格下降為之前的一半
[0540.98-0544.18] 這就是著名的摩爾定律
[0544.18-0545.62] 半導體集成電路
[0545.62-0547.54] 50多年的發展歷程
[0547.54-0549.06] 證明了摩爾定律
[0549.06-0550.90] 對半導體芯片工業
[0550.90-0552.58] 發展前景的預測
[0552.58-0554.82] 是基本準確的
[0554.82-0555.78] 近年來
[0555.78-0557.86] 隨著半導體芯片的設計
[0557.86-0561.80] 製造以及封裝和測試技術的發展
[0561.80-0562.92] 半導體工藝
[0562.92-0565.99] 以接近半導體集成電路極限
[0565.99-0567.59] 半導體芯片的發展
[0567.59-0571.10] 開始逐漸偏離摩爾定律的預測
[0571.10-0573.02] 從2013年開始
[0573.02-0576.84] 逐步放緩至三年翻一番
[0576.84-0579.88] 這是英爾公司的典型微處理器
[0579.88-0581.40] 也就是CPU
[0581.40-0586.28] 從1970年到2015年的發展情況
[0586.28-0590.07] 這是製程工藝的發展情況
[0590.07-0594.92] 這是集成經濟管數量的發展情況
[0594.92-0596.68] 我還深深的記得
[0596.68-0598.12] 我在1992年
[0598.12-0601.29] 擁有了自己的第一台計算機
[0601.29-0606.57] 當時採用的CPU是80386SX-33
[0606.57-0608.57] 這個33的意思就是
[0608.57-0611.42] 主頻只有33兆Hz
[0611.42-0613.58] 內存為2兆字節
[0613.58-0616.02] 硬盤為40兆字節
[0616.02-0618.50] 是的 大家沒有聽錯
[0618.50-0621.46] 這與今天的計算機硬件配置相比
[0621.46-0623.90] 簡直是天壤直別
[0623.90-0625.90] 當時使用的操作系統
[0625.90-0629.27] 是微軟公司的到此5.0
[0629.27-0633.30] 不知道同學們的第一台計算機的配置是什麼
[0633.30-0637.22] 使用的操作系統又是什麼
[0637.22-0638.10] 另外
[0638.10-0640.90] 再給同學們布置一個小任務
[0640.98-0643.86] 查查看自己當前使用的計算機
[0643.86-0646.66] 採用的CPU的具體型號
[0646.66-0649.62] 它的製程工藝是多少納米
[0649.62-0653.29] 集成經濟管數量又是多少
[0653.29-0654.09] 最後
[0654.09-0655.69] 我們再來簡單介紹一下
[0655.69-0658.17] 計算機軟件的發展
[0658.17-0661.05] 在計算機發展的早期階段
[0661.05-0664.70] 人們使用機器語言來編寫程序
[0664.70-0666.78] 機器語言用二進之代碼
[0666.78-0669.83] 來表示不同的機器指令
[0669.83-0671.67] 計算機能夠直接識別
[0671.67-0674.65] 和執行這些機器指令
[0674.65-0677.45] 這對編成人員的要求極高
[0677.45-0679.45] 一方面要求編成人員
[0679.45-0682.57] 對計算機的硬件結構非常熟悉
[0682.57-0683.77] 另一方面
