[0004.46-0009.50] 同學們好 歡迎大家來到我的計算機組成原理維克堂
[0009.50-0014.18] 本節課 我們簡單介紹一下計算機軟件的相關內容
[0014.18-0019.27] 我想同學們都知道 僅包含計算機硬架的計算機系統
[0019.27-0021.71] 是沒有任何使用價值的
[0021.81-0023.69] 人們使用計算機的目的
[0023.69-0028.17] 就是要讓計算機幫助人們解決各類營運問題
[0028.17-0032.19] 這就需要人們針對具體營運問題編寫程序
[0032.35-0035.31] 讓程序在計算機硬架上運行
[0035.31-0037.55] 進而解決營運問題
[0037.55-0041.13] 程序是軟件的重要組成部分
[0041.13-0044.49] 一臺計算機中的全部程序和數據
[0044.49-0047.83] 就構成了這臺計算機的軟件系統
[0047.83-0053.63] 一般將計算機軟件分為系統軟件和應用軟件兩大類
[0053.63-0058.42] 系統軟件是為了用戶能夠高效安全的使用
[0058.42-0060.98] 和管理計算機硬架資源
[0060.98-0066.71] 以及為開發和運行應用軟件而編織的各種軟件
[0066.71-0071.46] 系統軟件介於計算機硬架系統與應用軟件之間
[0071.46-0075.09] 通常它與具體應用關係不大
[0075.09-0077.89] 系統軟件主要包括操作系統
[0077.89-0079.57] 數據庫管理系統
[0079.57-0081.29] 語言處理程序
[0081.29-0083.37] 例如徽編程序
[0083.37-0084.53] 編譯程序
[0084.53-0085.89] 解釋程序等
[0085.89-0087.64] 服務性程序
[0087.80-0089.52] 例如診斷程序
[0089.52-0090.84] 排座程序等
[0090.84-0094.72] 應用軟件是為用戶使用計算機
[0094.72-0098.36] 來解決某些應用問題而編證的程序
[0098.36-0101.13] 例如科學計算程序
[0101.13-0102.69] 工程設計程序
[0102.69-0104.25] 數據處理程序
[0104.25-0105.69] 企業管理程序
[0105.69-0107.25] 自動控制程序等
[0107.25-0111.11] 我們平時經常使用的網頁瀏覽機軟件
[0111.11-0112.47] 邦容軟件
[0112.47-0113.71] 遊戲軟件
[0113.71-0116.91] 視頻播放軟件等都是應用軟件
[0117.46-0119.54] 隨著計算機的廣泛應用
[0119.54-0122.86] 應用軟件的種類越來越多
[0122.86-0126.42] 在電子數字計算機發展的早期階段
[0126.42-0129.26] 人們使用機器語言來編程
[0129.26-0133.66] 也就是使用機器指令的二鏡子編碼編寫程序
[0133.66-0136.02] 這種方式編成繁瑣
[0136.02-0138.70] 一出錯卻不易排錯
[0138.70-0141.00] 限制了計算機的使用
[0141.00-0145.04] 但是計算機可以直接識別和執行
[0145.04-0147.64] 用機器語言編寫的程序
[0147.64-0149.56] 即機器語言程序
[0149.56-0151.76] 有成為目標程序
[0151.76-0154.46] 其執行速度最快
[0154.46-0157.42] 為了克服機器語言程序可讀性差
[0157.42-0160.40] 易出錯和難排錯的缺點
[0160.40-0162.36] 人們想到了一種辦法
[0162.36-0164.84] 那就是使用一些變於技藝
[0164.84-0167.92] 並且能夠表示指令功能的註記符
[0167.92-0169.92] 來編寫程序
[0169.92-0171.16] 這些註記符
[0171.16-0173.80] 以及使用它們進行編程的規則
[0173.80-0176.38] 就構成了繪編語言
[0176.46-0178.98] 相比於使用機器語言編程
[0178.98-0180.66] 使用繪編語言編程
[0180.66-0183.98] 在一定程度上降低了編程難度
[0183.98-0186.22] 簡化了編程過程
[0186.22-0188.54] 編程更加靈活
[0188.54-0192.26] 但是由於使用繪編語言編寫的程序
[0192.26-0194.02] 即繪編語言程序
[0194.02-0195.66] 是由一些註記符
[0195.66-0198.96] 所表示的不同機器指令構成的
[0198.96-0201.92] 因此計算機不能直接識別
[0201.92-0204.71] 和執行繪編語言程序
[0204.71-0205.99] 繪編語言程序
[0205.99-0207.79] 必須通過繪編器
[0207.79-0209.95] 也就是繪編程序
[0209.95-0213.86] 翻譯成機器語言程序才能執行
[0213.86-0216.10] 儘管使用繪編語言編程
[0216.10-0220.05] 比使用機器語言編程的難度有所降低
[0220.05-0224.35] 但是繪編語言仍然是面向機器的語言
[0224.35-0226.87] 人們在使用繪編語言編程前
[0226.87-0229.15] 還是要花費很多時間
[0229.15-0232.43] 熟悉所使用計算機的指令級
[0232.43-0235.87] 然後才能使用其相應的符號語言
[0235.91-0239.20] 繪編語言來編寫程序
[0239.20-0242.10] 因此還是很不方便
[0242.10-0244.98] 為了使不熟悉具體計算機硬價結構
[0244.98-0246.82] 和相應指令級的人
[0246.82-0250.97] 也能很方便的為這台計算機編寫程序
[0250.97-0256.14] 人們又創造了各種接近於人類語言的高級語言
[0256.14-0259.34] 高級語言不是面向機器的語言
[0259.34-0262.55] 也就是與具體的計算機無關
[0262.55-0266.26] 而是面向使用者的程序設計語言
[0266.26-0268.70] 只要使用者稍加學習
