[0004.02-0008.46] 同學們好 歡迎大家來到我的計算機組成原理威克堂
[0008.46-0013.06] 本節課 我們簡單介紹一下計算機系統的層次結構
[0013.06-0016.18] 也就是計算機系統的分層思想
[0016.18-0018.94] 計算機是一個非常複雜的系統
[0018.94-0022.62] 為了簡化對計算機系統的研究和實現
[0022.62-0028.58] 可採用分層思想將計算機系統化分成一個層次結構的系統
[0029.16-0034.84] 系統中的每一層都向其上層提供一個簡潔和抽象的接口
[0034.84-0039.48] 每一層的實現細節對其上層而言都是看不見的
[0039.48-0041.28] 也就是透明的
[0041.28-0043.51] 計算機解決問題的過程
[0043.51-0047.35] 就是層次結構中的各層逐層轉換的過程
[0047.35-0051.70] 學習過或正在學習計算機網絡課程的同學
[0051.70-0054.86] 對上面的敘述應該並不陌生
[0054.86-0057.57] 因為在計算機網絡課程的第一章
[0057.73-0060.45] 計算機網絡體系結構的分層思想
[0060.45-0063.38] 就是這一章的重點和難點
[0063.38-0065.10] 需要說明的是
[0065.10-0068.14] 與計算機網絡體系結構的分層不同
[0068.14-0070.74] 計算機系統的分層方式
[0070.74-0073.57] 目前並沒有統一的標準
[0073.57-0080.29] 本課程介紹一種將計算機系統化分成六個抽象層次的層次結構
[0080.29-0085.26] 自下而上依次為第一層到第六層
[0085.26-0087.78] 第一層是邏輯電路層
[0087.94-0090.94] 該層是計算機應鑒系統的底層
[0090.94-0094.46] 由邏輯門、計存器等邏輯電路組成
[0094.46-0100.20] 這些內容同學們在數字電路這門課程中已經學習過了
[0100.20-0102.76] 第二層是微程序層
[0102.76-0104.96] 微程序的基本思想是
[0104.96-0109.28] 將一條機器指令編寫成一段微程序
[0109.28-0113.12] 每一個微程序包含若干條微指令
[0113.12-0117.81] 每一條微指令對應一條或多條微操作
[0117.81-0120.13] 在有微程序的系統中
[0120.13-0123.53] CPU內部有一個控制存儲器
[0123.53-0127.98] 由於存放各種機器指令對應的微程序
[0127.98-0130.62] 當CPU執行機器指令時
[0130.62-0135.86] 會在控制存儲器裡尋找與該機器指令對應的微程序
[0135.86-0142.22] 找到後取出微程序中的微指令來控制執行各個微操作
[0142.22-0145.37] 從而完成機器指令的功能
[0145.37-0148.45] 第三層是指令及體系結構
[0148.77-0151.25] 其英文縮寫詞為ISA
[0151.25-0154.33] 該層定義了一臺具體的計算機
[0154.33-0157.57] 可以執行的所有機器指令的集合
[0157.57-0160.31] 規定了對於每條機器指令
[0160.31-0163.11] 計算機應該執行什麼操作
[0163.11-0166.51] 所處理的操作數應存放的位置
[0166.51-0168.98] 以及操作數的類型等
[0168.98-0170.14] 因此
[0170.14-0171.98] 一個機器原程序
[0171.98-0176.58] 就是一個符合ISA規定的多條機器指令的序列
[0176.78-0180.50] 計算機硬價執行機器原程序的過程
[0180.50-0186.07] 就是執行程序所包含的每一條機器指令的過程
[0186.07-0188.89] 第四層是操作系統層
[0188.89-0190.37] 該層的作用是
[0190.37-0196.16] 對計算機的硬價資源和軟件資源進行統一管理和調度
