[0004.08-0008.68] 同學們好 歡迎大家來到我的計算機組成員裡威克堂
[0008.68-0013.04] 本節課 我們介紹計算機系統的性能指標
[0013.04-0017.22] 首先介紹什麼是計算機系統的性能指標
[0017.22-0022.00] 計算機系統的性能指標是用來衡量計算機系統
[0022.00-0025.36] 在各種操作和任務中的工作效率
[0025.36-0028.56] 執行速度以及處理能力的標準
[0028.69-0030.65] 計算機系統的性能指標
[0030.65-0034.77] 可以幫助人們評估計算機系統的整體表現
[0034.77-0040.33] 從而更好的瞭解系統在不同方面的優勢和限制
[0040.33-0044.37] 如果同學們學習過計算機網絡課程的第一章
[0044.37-0049.17] 就會發現計算機網絡也有其相關的性能指標
[0049.17-0052.25] 同學們可以將其與本課程中
[0052.25-0056.10] 計算機系統的性能指標一起總結記憶
[0056.10-0060.90] 由於計算機系統有軟件和硬件兩部分構成
[0061.29-0067.21] 因此 計算機系統的性能與軟件和硬件都有關係
[0067.21-0071.54] 我們首先來看硬件與計算機系統性能的關係
[0071.54-0075.59] 硬件是構建計算機系統的物理組件
[0075.59-0079.19] 例如CPU、內存、外部設備等
[0079.19-0083.70] 硬件對於計算機系統的性能有著重要影響
[0083.70-0086.94] 因為它決定了系統的計算能力
[0086.94-0089.90] 數據傳入速率和存儲容量
[0090.36-0093.04] 例如 CPU的時鐘頻率
[0093.04-0097.20] 決定了CPU每秒鐘可以執行的指令數量
[0097.36-0101.52] 而內存貸寬會影響數據的讀寫速率
[0102.03-0105.79] 再來看軟件與計算機系統性能的關係
[0105.79-0111.22] 軟件包括用於控制、管理、應用計算機系統的
[0111.22-0114.10] 各類系統軟件和應用軟件
[0114.10-0119.14] 軟件的優化可以顯著影響計算機系統的性能
[0119.30-0122.26] 因為合理的算法和代碼實現
[0122.26-0125.38] 可以更有效的利用硬件資源
[0125.38-0128.50] 例如操作系統的調度算法
[0128.50-0130.98] 會影響多任務處理的效率
[0130.98-0133.81] 從而影響系統的響應時間
[0134.16-0136.24] 在圖像處理任務中
[0136.24-0141.20] 優化的軟件算法可以減輕CPU和內存的負擔
[0141.20-0143.71] 提高圖形處理的速度
[0143.71-0145.95] 軟件層面的並行計算
[0145.95-0148.43] 可以更好的利用多核處理器
[0148.51-0150.03] 提高存土量
[0150.03-0151.97] 通常所說
[0151.97-0153.97] 計算機系統的性能指標
[0153.97-0157.65] 涵蓋了硬件和軟件兩個層面
[0157.65-0160.26] 它們之間密切相關
[0160.26-0165.38] 優化硬件可以提供更強大的計算和傳輸能力
[0165.38-0169.81] 而優化軟件可以更有效的利用這些硬件資源
[0169.81-0173.33] 從而共同實現更好的系統性能
[0173.62-0175.30] 正確的硬件選擇
[0175.30-0178.90] 可以為軟件提供更好的執行環境
[0179.23-0181.12] 反之一然
[0181.12-0183.52] 由於計算機組成原理課程
[0183.52-0187.73] 主要介紹計算機硬件的底層工作原理
[0187.73-0188.69] 因此
[0188.69-0190.13] 在本課程中
[0190.13-0196.16] 我們請介紹一些典型的計算機硬件相關性能指標
[0196.16-0198.40] 分為基本性能指標
[0198.40-0202.40] 和運算速度相關的性能指標
[0202.40-0204.16] 基本性能指標包括
[0204.16-0205.52] 機器自長
[0205.52-0206.80] 儲存容量
[0206.80-0207.84] 存土量
[0207.84-0210.58] 以及響應時間
[0210.66-0213.78] 與運算速度相關的性能指標包括
[0213.78-0217.14] CPU始終頻率和始終週期
[0217.14-0218.50] CPI
[0218.50-0220.78] CPU執行時間
[0220.78-0222.54] IPC
[0222.54-0223.92] MIPS
[0223.92-0225.65] MFLOWS
[0225.65-0227.25] 那麼本節課呢
[0227.25-0229.97] 我們介紹基本性能指標
[0229.97-0233.92] 首先來看機器自長這個性能指標
[0233.92-0239.28] 機器自長是指CPU一次能夠處理的二進之數據的位數
[0239.36-0243.71] 也就是構成二進之數據的比特數量
[0243.71-0250.51] 機器自長與CPU內部用於整數運算的算數邏輯單元ALU的位數
[0250.51-0254.05] 以及通用計存器的寬度相等
[0254.05-0255.73] 需要說明的是
[0255.73-0257.41] 在上一節課中
[0257.41-0259.25] 我們曾給同學們介紹過
[0259.25-0263.49] CPU的運算器中的算數邏輯單元ALU
[0263.49-0265.25] 累加器ACC
[0265.25-0267.41] 承商計存器MQ
[0267.41-0269.57] 操作數計存器X
[0269.57-0272.45] 以及控制器中的控制單元CU
[0272.45-0274.37] 承續技術器PC
[0274.37-0276.77] 指令計存器R
[0276.77-0281.33] 實際上現代CPU除包含上數計存器外
[0281.33-0285.04] 往往還會包含通用計存器組
[0285.04-0289.95] 機器自長對計算機系統性能的主要影響如下
[0289.95-0291.23] 自長越長
[0291.23-0293.31] 數的表示範圍就越大
[0293.31-0295.57] 精度也越高
[0295.57-0296.77] 自長越長
[0296.77-0299.41] 計算精度也越高
[0299.41-0302.64] 自長還會影響計算速度
[0302.64-0303.68] 這些知識
[0303.68-0306.08] 同學們在學習了第二章之後
[0306.08-0308.24] 才會有矯身課的理解
[0308.24-0311.46] 目前僅做一般了解計課
[0311.46-0313.62] 隨著硬件技術的發展
[0313.62-0317.06] 計算機的自長已經從早期的8位
