[0003.34-0007.86] 同學們好 歡迎大家來到我的計算機組成原理威克堂
[0007.86-0011.82] 從本節課開始 我們進入第二章的學習
[0011.82-0015.98] 第二章的內容是 計算機內部的數據表示
[0016.08-0020.40] 本節課 我們介紹數據表示的相關基本概念
[0020.40-0023.31] 通過第一章的學習 我們知道
[0023.31-0027.95] 電子數字計算機內部使用二進制來表示數據
[0027.95-0032.55] 我們日常生活中的數值 英文字符或漢字
[0032.78-0035.82] 音頻或視頻等信息
[0035.82-0038.78] 如果要讓計算機進行相關處理
[0038.78-0041.58] 則需要將它們通過輸入設備
[0041.58-0043.66] 轉換成二進制數據
[0043.66-0047.98] 並輸入到計算機內部的計存器或存儲器中
[0047.98-0049.93] 我們來舉例說明
[0049.93-0056.04] 假設這是計算機內部的某個32位計存器中存儲的二進制數據
[0056.04-0059.94] 它可能是某個數值的二進制編碼
[0060.18-0065.06] 也可能是某個文本文件的二進制編碼的一小部分
[0065.06-0069.50] 還可能是某個圖片的二進制編碼的一小部分
[0069.50-0074.50] 當然了 還有其他可能 我們就不再追數了
[0074.50-0076.82] 由於本章的主要內容是
[0076.82-0079.94] 數值數據在計算機內部的表示
[0079.94-0083.14] 因此 我們假設該計存器中
[0083.14-0086.82] 存儲的是某個數值數據的二進制編碼
[0086.82-0088.71] 該二進制編碼
[0088.71-0092.07] 可能表示的數值數據有以下幾種
[0092.07-0094.95] 這個數是一個無符號數
[0094.95-0097.19] 也就是它沒有正符號
[0097.19-0099.98] 例如我們生活中的門牌號
[0099.98-0101.90] 而在計算機內部
[0101.90-0105.37] 無符號數可用作存儲單元的地址
[0105.37-0108.25] 另外三個數是有符號數
[0108.25-0111.93] 也就是在數值前會有正號或符號
[0111.93-0114.01] 只不過在我們日常生活中
[0114.01-0116.44] 正號往往忽略不懈
[0116.44-0118.68] 另外 我們一般生活中
[0118.76-0123.59] 沒有必要用到無符號數和有符號數這兩個概念
[0123.59-0127.03] 只是當我們討論在計算機內部的數據表示
[0127.03-0129.88] 相關問題時才會用到
[0129.88-0132.60] 這個有符號數是個整數
[0132.60-0135.40] 這個有符號數是純小數
[0135.40-0138.52] 而這個有符號數是帶小數
[0138.52-0141.88] 這是我們小學階段就學習過的知識
[0141.88-0144.17] 就不用過多解釋了
[0144.17-0146.41] 對於整數和純小數
[0146.49-0149.27] 他們的小數點位置是固定的
[0149.27-0153.75] 整數的小數點位置固定在數值最低位的右側
[0153.75-0158.36] 而純小數的小數點固定在數值最高位的左側
[0158.36-0159.56] 換句話說
[0159.56-0163.32] 整數和純小數各自的小數點位置
[0163.32-0166.60] 是隱含約定好的固定不變的
[0166.60-0171.77] 因此 整數和純小數也被稱為定點數
[0171.77-0175.21] 由於定點數的小數點位置固定不變
[0175.21-0177.29] 因此在計算機內部
[0177.29-0182.41] 沒有必要針對定點數的小數點進行表示和存儲
[0182.41-0184.81] 可能有的同學對於整數
[0184.81-0187.85] 怎麼還有小數點感到比較别扭
[0187.85-0191.37] 這樣做的目的是為了對計算機內部的數據表示
[0191.37-0192.90] 進行分類
[0192.90-0195.37] 與伏點數已是區別
[0195.37-0198.55] 因此沒有必要鑽牛角尖
[0198.55-0200.15] 對於帶小數
[0200.15-0203.03] 他們的小數點位置並不是固定的
[0203.03-0205.42] 而是可以左右移動的
[0205.42-0208.78] 例如 本利中為負的8.25
[0208.78-0212.14] 而帶小數負82.5的小數點位置
[0212.14-0214.23] 就與本利中的不同
[0214.23-0216.71] 因此 在計算機內部
[0216.71-0220.46] 我們將帶小數又稱為伏點數
[0220.46-0224.68] 至此 可能有很多同學會產生這樣的疑問
