[0003.89-0008.41] 同學們好 歡迎大家來到我的計算機組成原理威克堂
[0008.41-0012.05] 從本節課開始 我們要分幾次課的時間
[0012.05-0014.85] 分別介紹定點數的四種編碼
[0014.85-0020.25] 這四種編碼分別是原碼、補碼、繁碼以及移碼
[0020.25-0025.85] 本節課 我們介紹四種編碼中最簡單的一種 也就是原碼
[0025.85-0031.77] 對於原碼 符號位為比特0表示正數 為比特1表示復數
[0031.77-0034.97] 而數值位為真值的絕對值
[0034.97-0040.10] 因此 原碼表示又稱為帶符號的絕對值表示
[0040.10-0041.94] 我們來舉例說明
[0041.94-0045.30] 首先來看定點整數的原碼表示舉例
[0045.30-0049.26] 假設真值X等於正的1110
[0049.26-0051.26] 這是其原碼表示
[0051.26-0054.78] 也就是符號位用比特0表示正號
[0054.78-0057.98] 而數值位去真值的絕對值即可
[0057.98-0061.80] 假設真值X等於負的1110
[0061.96-0063.96] 這是其原碼表示
[0063.96-0067.56] 也就是符號位用比特1表示負號
[0067.56-0071.27] 而數值位去真值的絕對值即可
[0071.27-0072.79] 為了閱讀方便
[0072.79-0075.83] 以及區分定點整數的原碼表示
[0075.83-0078.47] 與定點小數的原碼表示
[0078.47-0081.03] 規定在定點整數的原碼表示中
[0081.03-0085.11] 符號位與數值位之間用豆號隔開
[0085.11-0087.27] 在定點小數的原碼表示中
[0087.27-0091.48] 符號位與數值位之間用小數點隔開
[0091.56-0093.00] 我們來舉例說明
[0093.00-0095.82] 定點小數的原碼表示
[0095.82-0100.25] 假設真值X等於正的0.1101
[0100.25-0102.33] 這是其原碼表示
[0102.33-0104.97] 也就是小數點左側的符號位
[0104.97-0107.21] 用比特0表示正號
[0107.21-0111.00] 而數值位去真值的絕對值即可
[0111.00-0115.00] 假設真值X等於負的0.1101
[0115.00-0117.00] 這是其原碼表示
[0117.00-0119.56] 也就是小數點左側的符號位
[0119.56-0121.80] 用比特1表示負號
[0121.80-0125.61] 而數值位去真值的絕對值即可
[0125.61-0126.57] 接下來
[0126.57-0133.54] 請同學們完成以下練習
[0133.54-0135.78] 相信大家都能正確完成
[0135.78-0138.14] 我們就不再墜速了
[0138.14-0139.02] 下面
[0139.02-0142.14] 我們想辦法將原碼的編碼規則
[0142.14-0144.30] 寫成表達式的形式
[0144.30-0147.40] 也就是給出原碼的定義
[0147.40-0150.78] 首先來看定點整數的原碼定義
[0150.78-0153.58] 假設真值X為定點整數
[0153.58-0155.74] N為X的原碼表示中
[0155.82-0157.42] 數值位的位數
[0157.42-0159.78] 也就是比特數量
[0159.78-0163.96] 那麼真值X的原碼表示分兩種情況
[0163.96-0166.36] 一種是X大於等於0
[0166.36-0169.10] 小於2的N字方的情況
[0169.10-0171.02] 這裡需要說明的是
[0171.02-0173.90] 由於N為真值X的原碼表示中
[0173.90-0175.58] 數值位的位數
[0175.58-0179.78] 因此其最大值為2的N字方減1
[0179.78-0181.70] 所以我們給出的條件是
[0181.70-0184.73] X小於2的N字方
[0184.73-0186.09] 這種情況下
[0186.17-0188.17] 真值X要么是0
[0188.17-0190.33] 要么是個正整數
[0190.33-0192.65] 因此其原碼表示為0
[0192.65-0194.39] 抖號X
[0194.39-0196.55] 抖號左側的符號位為0
[0196.55-0198.07] 表示正號
[0198.07-0200.23] 抖號右側為數值位
[0200.23-0203.08] 取值就是真值X
[0203.08-0204.28] 另一種是
[0204.28-0207.40] X大於-2的N字方
[0207.40-0209.46] 小於等於0的情況
[0209.46-0210.66] 這種情況下
[0210.66-0212.66] 真值X要么是0
[0212.66-0214.82] 要么是一個負整數
[0214.82-0216.34] 其原碼表示為
[0216.34-0219.82] 2的N字方加X的絕對值
[0219.82-0222.70] 這相當於在X的絕對值前
[0222.70-0224.78] 添加了一個符號位
[0224.78-0228.09] 其位權值為2的N字方
[0228.09-0230.10] 我們來舉例說明
[0230.10-0232.42] 假設真值X等於負的
[0232.42-0235.26] b3,b2,b1,b0
[0235.26-0236.22] 很顯然
[0236.22-0238.63] 真值的位數N等於4
[0238.63-0240.55] 則X的原碼表示
[0240.55-0242.58] 可用該式寫出
[0242.58-0244.66] 借2的4字方
[0244.66-0249.61] 加上負的b3,b2,b1,b0的絕對值
[0249.61-0251.53] 脫去絕對值符號
[0251.53-0252.89] 將2的4字方
[0252.89-0255.16] 寫成二徑之形式
[0255.16-0257.80] 最後可得X的原碼表示為
[0257.80-0261.67] 1,b3,b2,b1,b0
[0261.67-0262.79] 不要忘記
[0262.79-0267.37] 用逗號將符號位和數值位隔開
[0267.37-0268.73] 如果有些同學
[0268.73-0270.09] 還不是很明白
[0270.09-0271.21] 沒有關係
[0271.21-0274.20] 我們再用具體數值來舉例
[0274.20-0275.24] 例如
[0275.24-0277.80] X等於正的1,1,1,0
[0277.80-0279.48] 則其原碼表示
[0279.48-0284.44] 可按該式寫出
[0284.44-0285.48] 又例如
[0285.48-0288.28] X等於負的1,1,1,0
[0288.28-0289.80] 則其原碼表示
[0289.80-0294.25] 可按該式寫出
[0294.25-0296.01] 脫去絕對值符號
[0296.01-0297.45] 將2的4字方
[0297.45-0299.45] 寫成二徑之形式
[0299.45-0302.01] 最後可得X的原碼表示為
[0302.01-0303.61] 1,1,1,1,0
[0303.61-0305.53] 其中左側第一個1
[0305.61-0307.13] 是符號位上的1
[0307.13-0308.49] 表示符號
[0308.49-0311.53] 而剩餘其他個位是數值位
[0311.53-0314.18] 取之為真值的絕對值
[0314.18-0315.22] 不要忘記
[0315.22-0319.14] 用逗號將符號位和數值位隔開
[0319.14-0320.02] 接下來
[0320.02-0322.98] 請同學們按定點整數的原碼定義
[0322.98-0329.96] 完成以下練習
[0329.96-0332.44] 相信大家都能正確完成
[0332.44-0335.27] 我們就不再增數了
[0335.27-0338.23] 相較於定點整數的原碼定義式
[0338.23-0341.75] 定點小數的原碼定義式比較簡單
[0341.75-0343.11] 該條件表明
[0343.11-0345.03] 真值X要麼是0
[0345.03-0347.51] 要麼是個正的純小數
[0347.51-0348.71] 其原碼表示
[0348.71-0350.87] 就是真值X自身
[0350.87-0351.75] 只不過
[0351.75-0354.63] 此時X中的小數點左側的0
[0354.63-0357.88] 作為符號位表示正號
[0357.88-0359.56] 而該條件表明
[0359.56-0361.40] 真值X要麼是0
[0361.40-0364.04] 要麼是個負的純小數
[0364.04-0365.56] 其原碼表示為
[0365.56-0368.55] 1加上X的絕對值
[0368.63-0371.03] 相當於在X絕對值前面
[0371.03-0373.59] 添加了一個取之為1的符號位
