[0003.86-0008.38] 同學們好,歡迎大家來到我的計算機組成員裡威克堂
[0008.38-0014.66] 在上節課中,我們給同學們介紹了機器碼中最簡單的一種,也就是圓碼
[0014.66-0018.90] 本節課,我們給同學們介紹另一種機器碼,補碼
[0018.90-0021.42] 通過上節課的學習,我們知道
[0021.42-0025.22] 曾之琳在圓碼中有兩種不同的表示
[0025.22-0028.42] 圓碼的符號位不能直接參與運算
[0028.42-0032.58] 而本節課要介紹的補碼則沒有這兩個缺點
[0032.74-0036.90] 為了更好的理解補碼,我們首先引入補書的概念
[0036.90-0041.63] 實際上,在我們日常生活中就存在著補書的概念
[0041.63-0043.39] 我們來舉例說明
[0043.39-0046.43] 這是我們日常生活中常用的鐘錶
[0046.43-0049.95] 為了簡單起見,我們只畫出了十針
[0049.95-0054.50] 假設十針當前指向六,而我們希望它指向二
[0054.50-0062.48] 我們可以逆十針搬動十針四格,如圖所示
[0062.64-0069.49] 也可以順十針搬動十針八格,如圖所示
[0069.49-0074.13] 假設我們規定,逆十針轉為負,順十針轉為正
[0074.13-0080.05] 則對於本力可以認為負四和正八是相互等價的
[0080.05-0083.17] 因為將十針從當前指向的六
[0083.17-0087.57] 無論是逆十針搬動四格,還是順十針搬動八格
[0087.57-0090.22] 最終十針都會指向二
[0090.22-0092.38] 那麼請同學們思考一下
[0092.46-0098.88] 本力中,這個等價式子背號隱藏了一個怎樣的條件呢?
[0098.88-0103.60] 沒錯,本力中這個等價式子只在十中的計量範圍
[0103.60-0106.26] 也就是十二內成立
[0106.26-0109.46] 這樣我們就引出了魔的概念
[0109.46-0114.82] 魔,或稱為魔術,是一個數值計量系統的計量範圍
[0114.82-0117.22] 記作MODE或MODE
[0117.22-0122.14] 例如,對於本力,魔術為十二,記作MODE十二
[0122.30-0126.86] 只要確定了魔,就可找到一個與負數等價的正數
[0126.86-0128.86] 來代替此負數
[0128.86-0132.30] 而這個正數就是此負數的補數
[0132.30-0137.58] 例如,在本力中,正八是負四以十二為魔的補數
[0137.58-0140.78] 至此,我們就要通過日常生活中的實例
[0140.78-0143.34] 引入了魔和補數的概念
[0143.34-0146.54] 請同學們注意,超過計量範圍的數
[0146.54-0148.78] 都應該自動設計魔數
[0148.78-0150.94] 我們來舉例說明
[0151.02-0153.31] 6加13等於19
[0153.31-0155.47] 在魔數為十二的條件下
[0155.47-0159.06] 會自動捨棄魔數12,結果為7
[0159.06-0161.38] 在時針指向流的時鐘上
[0161.38-0164.34] 將時針順時針搬動13格
