[0003.38-0007.62] 同學們好,歡迎大家來到我的計算機組成原理微課堂
[0007.62-0010.94] 從本節課開始,我們要用幾節課的時間
[0010.94-0013.70] 介紹俯點數表示的相關知識
[0013.70-0018.26] 本節課,我們介紹俯點數的表示形式和表示範圍
[0018.26-0022.30] 在介紹本節課的內容之前,我們有必要呼吸一下
[0022.30-0025.78] 我們之前學習過的定點數表示的相關知識
[0025.78-0031.94] 首先來看定點小數,也就是準小數在計算機中的表示形式
[0032.10-0039.71] 假設機器自長為n加1位,則定點小數由一個符號位和n個數值位構成
[0039.71-0044.83] 而小數點的位置位於符號位和數值位之間固定不變
[0044.83-0049.31] 因此,在計算機中無需記錄小數點的位置
[0049.31-0055.82] 需要說明是,在計算機中,定點小數主要用來表示浮點數的尾數
[0055.82-0059.02] 並沒有高級語言數據類型與之相對應
[0059.22-0063.38] 接下來,我們來一起總結一下定點小數的機器碼
[0063.38-0069.54] 也就是圓碼、反碼以及補碼所表示的最大正數、最小正數、0
[0069.54-0072.82] 最大幅數、最小幅數、分別是什麼
[0072.82-0077.87] 0的圓碼表示有兩種,一種是符號位為0表示正
[0077.87-0082.43] 數值位為n個0,另一種是符號位為1表示負
[0082.43-0087.86] 數值位為n個0,定點小數的圓碼所表示的最小正數為
[0087.94-0092.82] 符號位為0表示正數,n個數值位的最後一位為1
[0092.82-0097.06] 其餘位為0,由於數值位的最後一位為1
[0097.06-0102.26] 該位的位權值為2的負N次方,而其餘數值位為0
[0102.26-0105.78] 因此,最小正數的值為2的負N次方
[0105.78-0108.82] 這個知識點,我們在之前的競爲技術誌
[0108.82-0114.34] 及其數據之間的相互轉換那些課中,已經學習並練習過了
[0114.34-0116.48] 相信同學們還記得
[0116.56-0120.16] 定點小數的圓碼,所表示的最大正數為
[0120.16-0125.09] 符號位為0,表示正數,n個數值位全部為1
[0125.09-0129.25] 將各數值位的權值相加,計2的負1次方
[0129.25-0134.53] 加2的負2次方,加2的負3次方,一直加到2的負N次方
[0134.53-0140.29] 很明顯,這是一個公比為2的負1次方的等比數列的球合
[0140.29-0146.54] 套用球合公式,即可得到最大正數值為1-2的負N次方
[0146.62-0150.06] 定點小數的圓碼,所表示的最大負數為
[0150.06-0155.02] 符號位為1,表示負數,n個數值位的最後一位為1
[0155.02-0157.50] 其一位為0,可以看到
[0157.50-0161.10] 最大負數的圓碼表示與最小正數的圓碼表示
[0161.10-0164.86] 僅符號位不同,因此最大負數的值
[0164.86-0169.55] 僅在最小正數值前面添加一個負號即可
[0169.55-0173.15] 定點小數的圓碼,所表示的最小負數為
[0173.23-0177.98] 符號位為1,表示負數,n個數值位全部為1
[0177.98-0182.86] 可以看到最小負數的圓碼表示與最大正數的圓碼表示
[0182.86-0186.70] 僅符號位不同,因此最小負數的值
[0186.70-0190.61] 僅在最大正數值前面添加一個負號即可
[0190.61-0194.53] 我們知道,正數的反碼與圓碼是相同的
[0194.53-0198.45] 而負數的反碼是將負數圓碼的符號位保持不變
[0198.45-0200.69] 而數值位安慰取反
[0200.77-0203.57] 正數的補碼與圓碼也是相同的
[0203.57-0207.57] 而負數的補碼是在負數反碼的末位加以得來
[0207.57-0211.81] 補碼比圓碼和反碼能多表示一個最小負數
[0211.81-0215.49] 對於定點小數,這個最小負數為負1
[0215.49-0219.68] 其補碼形式就是負0的圓碼表示形式
[0219.68-0223.97] 再來看定點整數在計算機中的表示形式
[0223.97-0229.57] 假設機器資產為n加1位,則定點整數由一個符號位
[0229.65-0231.73] 和n個數值位構成
[0231.73-0235.97] 而小數點的位置位於數值位的右側固定不變
[0235.97-0240.61] 因此,在計算機中無需記錄小數點的位置
[0240.61-0243.41] 需要說明的是,在C語言中
[0243.41-0246.13] Char short in the long
[0246.13-0250.21] 也就是自符形短整形整形長整形
[0250.21-0252.45] 都屬於定點整數
[0252.45-0256.53] 接下來,我們來一起總結一下定點整數的機器碼
[0256.53-0260.05] 也就是圓碼、反碼、補碼以及儀碼
[0260.05-0263.73] 所表示的最大正數、最小正數、0
[0263.73-0267.47] 最大負數、最小負數分別是什麼
[0267.47-0269.87] 0的圓碼表示有兩種
[0269.87-0272.43] 一種是符號位為0表示正
[0272.43-0274.35] 數值位為n個0
[0274.35-0277.31] 另一種是符號位為1表示負
[0277.31-0279.55] 數值位為n個0
[0279.55-0283.15] 定點整數的圓碼所表示的最小正數為
[0283.15-0285.71] 符號位為0表示正數
[0285.79-0288.75] n個數值位的最後一位為1
[0288.75-0290.50] 其餘位為0
[0290.50-0293.22] 由於數值位的最後一位為1
[0293.22-0295.78] 該位的位權為2的0字方
[0295.78-0298.10] 而其餘數值位為0
[0298.10-0302.51] 因此最小正數的值為2的0字方等於1
[0302.51-0306.11] 定點整數的圓碼所表示的最大正數為
[0306.11-0308.51] 符號位為0表示正數
[0308.51-0310.91] n個數值位全部為1
[0310.91-0313.23] 將各數值位的全值相加
[0313.31-0316.59] 即2的0字方加2的1字方加2的2字方
[0316.59-0318.91] 一直加到2的n-1字方
[0318.91-0319.87] 很明顯
[0319.87-0323.87] 這是一個公比為2的1字方的等比數列的球合
[0323.87-0325.55] 套用球合公式
[0325.55-0330.30] 即可得到最大正數值為2的n-1
[0330.30-0333.74] 定點整數的圓碼所表示的最大負數為
[0333.74-0334.94] 符號位為1
[0334.94-0336.22] 表示負數
[0336.22-0338.78] n個數值位的最後一位為1
[0338.78-0340.46] 其餘位為0
[0340.46-0341.50] 可以看到
[0341.50-0343.10] 最大負數的圓碼表示
[0343.10-0345.10] 與最小正數的圓碼表示
[0345.10-0346.78] 僅符號位不同
[0346.78-0347.66] 因此
[0347.66-0348.94] 最大負數的值
[0348.94-0352.83] 僅在最小正數值前面添加一個負號計可
[0352.83-0356.43] 定點整數的圓碼所表示的最小負數為
[0356.43-0357.55] 符號位為1
[0357.55-0358.75] 表示負數
[0358.75-0360.99] n個數值位全部為1
[0360.99-0361.95] 可以看到
[0361.95-0363.71] 最小負數的圓碼表示
[0363.71-0365.55] 與最大正數的圓碼表示
[0365.55-0367.07] 僅符號位不同
[0367.07-0367.79] 因此
[0367.79-0368.99] 最小負數的值
[0368.99-0372.90] 僅在最大正數值前面添加一個負號計可
[0372.98-0373.86] 我們知道
[0373.86-0376.34] 正數的反碼與圓碼是相同的
[0376.34-0377.54] 而負數的反碼
[0377.54-0380.18] 是將負數圓碼的符號位保持不變
[0380.18-0382.34] 而數值位安慰取反
[0382.34-0384.98] 正數的補碼與圓碼也是相同的
[0384.98-0386.18] 而負數的補碼
[0386.18-0389.23] 是在負數反碼的末位加以得來
[0389.23-0390.83] 補碼比圓碼和反碼
[0390.83-0393.31] 能多表示一個最小負數
[0393.31-0394.83] 對於定點整數
[0394.83-0397.71] 這個最小負數為負的二人此方
[0397.71-0398.99] 其補碼形式
[0398.99-0401.97] 就是負0的圓碼表示形式
[0401.97-0402.93] 我們知道
[0402.93-0406.05] 以碼與補碼僅符號位相反
[0406.05-0407.73] 以碼比圓碼和反碼
[0407.73-0410.13] 能多表示一個最小負數
[0410.13-0413.01] 這個最小負數為負的二人此方
[0413.01-0414.37] 其以碼形式
[0414.37-0417.57] 就是證明的圓碼表示形式
[0417.57-0419.81] 從上述總結不難看出
[0419.81-0422.13] 定點數總能表示的數據範圍
[0422.13-0424.16] 與下列因素有關
[0424.16-0426.24] 一個是積極自長
[0426.24-0427.52] 自長越長
[0427.52-0430.38] 其表示的數據範圍就越大
[0430.38-0433.18] 另一個是所採用的積極碼
[0433.18-0436.38] 補碼和移碼所能表示的數據範圍
[0436.38-0439.34] 比圓碼和反碼所能表示的數據範圍
[0439.34-0442.00] 要多一個最小負數
[0442.00-0444.64] 實際上計算機中處理的數
[0444.64-0448.32] 不一定都是純小數或純整數
[0448.32-0451.95] 例如圓周率3.1415926
[0451.95-0452.91] 因此
[0452.91-0455.55] 這樣的數不能直接用定點小數
[0455.55-0457.87] 或定點整數來表示
[0457.87-0459.63] 我們來舉例說明
[0459.63-0460.91] 如圖所示
[0460.91-0463.47] 這是定點小數和定點整數
[0463.47-0465.55] 各自的表示形式
[0465.55-0467.31] 請同學們思考一下
[0467.31-0469.55] 3.1415926這個數
[0469.55-0472.43] 可以用定點小數或定點整數
[0472.43-0475.94] 直接表示嗎
[0475.94-0477.70] 顯然是不能的
[0477.70-0480.53] 有的同學可能會想到這樣的辦法
[0480.53-0481.33] 例如
[0481.33-0484.85] 以定點小數0.31415926
[0484.85-0488.37] 來間接表示3.1415926
[0488.37-0490.93] 只不過還要記得在使用時
[0490.93-0493.17] 給0.31415926
[0493.17-0495.47] 乘上時的一次方
[0495.47-0498.83] 也可以定點整數31415926
[0498.83-0502.27] 來間接表示3.1415926
[0502.27-0504.91] 只不過還要記得在使用時
[0504.91-0509.34] 給31415926乘上時的負7次方
[0509.34-0510.06] 這樣
[0510.06-0512.38] 儘管可以將3.1415926
[0512.38-0513.74] 這樣的伏點數
[0513.74-0516.22] 間接表示成一個定點數
[0516.22-0518.22] 乘上一個比例因子
[0518.22-0520.46] 然而對於不同的伏點數
[0520.46-0522.94] 需要乘上的比例因子可能不同
[0522.94-0524.22] 無法統一
[0524.30-0526.69] 使用起來非常麻煩
[0526.69-0527.57] 因此
[0527.57-0529.65] 我們希望將伏點數
[0529.65-0533.52] 以某種格式直接表示在計存器中
[0533.52-0535.60] 這就需要將小數點的位置
[0535.60-0538.96] 由計存器中指定數位的內容給出
[0538.96-0539.60] 另外
[0539.60-0544.27] 正負號也由計存器中指定數位的內容給出
[0544.27-0544.91] 這樣
[0544.91-0548.48] 我們就引出了伏點數的表示問題
[0548.48-0550.00] 二斤至伏點數
[0550.00-0554.16] 可採用類似實境至科學技術法的表示方法
[0554.16-0555.84] 我們來舉例說明
[0555.84-0558.72] 首先來看實境至伏點數的情況
[0558.72-0559.52] 例如
[0559.52-0562.32] 實境至伏點數408.32
[0562.32-0566.08] 可寫成多種類似科學技術法的表示方式
[0566.08-0568.40] 例如這種方式
[0568.40-0570.77] 又例如這種方式
[0570.77-0573.15] 還可以是這種方式
[0573.15-0574.27] 不難看出
[0574.27-0577.71] 在類似科學技術法的表示方式中的新數
[0577.71-0580.75] 與元數僅小數點的位置不同
[0580.75-0584.06] 也可理解為小數點的位置是浮動的
[0584.14-0588.30] 只要給這些新數各自乘以相應的十的密次
[0588.30-0591.22] 就可將它們轉換成元數
[0591.22-0592.66] 這裡的密次二
[0592.66-0596.58] 相當於將新數的小數點向右移動兩位
[0596.58-0599.86] 這樣就可將新數轉換成元數
[0599.86-0601.70] 這裡的密次負一
[0601.70-0605.22] 相當於將新數的小數點向左移動移位
[0605.22-0608.30] 這樣就可將新數轉換成元數
[0608.30-0609.66] 這裡的密次三
[0609.66-0613.18] 相當於將新數的小數點向右移動三位
[0613.18-0616.42] 這樣就可將新數轉換成元數
[0616.42-0620.34] 那麼現在我們參照實境制浮電數的這個舉例
[0620.34-0622.85] 來看二境制浮電數的情況
[0622.85-0625.41] 例如這個二境制浮電數
[0625.41-0629.25] 可寫成多種類似科學技術法的表示方式
[0629.25-0631.26] 例如這種方式
[0631.26-0633.47] 又例如這種方式
[0633.47-0636.05] 還可以是這種方式
[0636.05-0639.25] 與實境制浮電數表示形式進行比較
[0639.25-0640.61] 不難看出
[0640.61-0643.97] 我們給新數乘上的是二的相應密次
[0644.13-0646.53] 因為二境制數的基數為二
[0646.53-0649.58] 而不是實境制數的基數十
[0649.58-0653.50] 另外這裡將二的密次用二境制數表示
[0653.50-0655.82] 例如這裡的密次10
[0655.82-0657.58] 其實境制數為二
[0657.58-0661.42] 相當於將新數的小數點向右移動兩位
[0661.42-0664.67] 這樣就可將新數轉換成元數
[0664.67-0666.51] 這裡的密次負一
[0666.51-0668.75] 其實境制數為負一
[0668.75-0672.59] 相當於將新數的小數點向左移動移位
[0672.67-0675.84] 這樣就可將新數轉換成元數
[0675.84-0677.84] 這裡的密次11
[0677.84-0679.76] 其實境制數為3
[0679.76-0683.60] 相當於將新數的小數點向右移動三位
[0683.60-0686.83] 這樣就可將新數轉換成元數
[0686.83-0688.19] 那麼接下來呢
[0688.19-0690.83] 我們對本例中二境制浮電數的
[0690.83-0693.07] 類似科學技術法的表示方式
[0693.07-0694.75] 做進一步說明
[0694.75-0696.91] 為了後續描述方便
[0696.91-0701.63] 我們將新數和相應的二的密次交換一下位置
[0701.71-0704.83] 這裡的二就是二境制的基數R
[0704.83-0706.27] 我們在之前的
[0706.27-0710.43] 經濟技術制及其數據之間的相互轉換的那些課中
[0710.43-0712.51] 介紹過基數R的概念
[0712.51-0715.12] 這裡就不再墜數了
[0715.12-0717.76] 基數R的指數成為GMA
[0717.76-0720.24] 英文縮寫詞為大寫的E
[0720.24-0722.32] 這些新數成為偽數
[0722.32-0724.96] 英文縮寫詞為大寫的M
[0724.96-0727.92] 基數R在機器中是隱含約定的
[0727.92-0730.40] 一旦約定就不再變化
[0730.40-0731.44] 換句話說
[0731.44-0734.88] 不需要專門表示和存儲基數R
[0734.88-0739.36] 基數R的取值可以是2,4,8,16等
[0739.36-0742.32] GMA1用定點整數表示
[0742.32-0745.63] 而美數M用定點小數表示
[0745.63-0746.51] 因此
[0746.51-0751.31] 在本例給出的這三種類似科學技術法的表示方式中
[0751.31-0753.90] 只有最後這一條符合
[0753.90-0754.62] 這樣
[0754.62-0757.50] 我們就可以將任意一個二境制數N
[0757.50-0760.05] 表示成如下形式
[0760.05-0764.77] 而這種形式就比較容易在機器中表示了
[0764.77-0765.89] 在機器中
[0765.89-0771.82] 一個二境制浮電數由GMA1和偽數M兩部分構成
[0771.82-0776.10] GMA和偽數分別由若干個二境制位構成
[0776.10-0778.26] GMA的最高位是GF
[0778.26-0780.50] 用來表示GMA的正負
[0780.50-0784.38] 剩餘其他個位是GMA的數值部分
[0784.38-0787.74] GMA的位數決定了數據表示的範圍
[0787.82-0791.26] 位數越多能表示的數據範圍就越大
[0791.26-0794.35] GMA的值決定了小數點的位置
[0794.35-0796.67] 偽數的最高位是數幅
[0796.67-0798.99] 用來表示偽數的正負
[0798.99-0802.06] 相當於整個浮電數的正負
[0802.06-0806.05] 剩餘其他個位是偽數的數值部分
[0806.05-0809.49] 偽數的位數決定了數據的表示精度
[0809.49-0811.33] GMA長度相同時
[0811.33-0813.17] 分配給偽數的位數越多
[0813.17-0815.76] 數據表示的精度就越高
[0815.76-0817.28] 需要說明的是
[0817.36-0821.36] GMA可採用原碼補碼反碼移碼進行表示
[0821.36-0825.52] 而偽數可採用原碼補碼反碼進行表示
[0825.52-0827.04] 由於補碼和移碼
[0827.04-0830.64] 比原碼和反碼可以多表示一個最小幅數
[0830.64-0834.16] 因此採用不同積極碼的浮電數的表示範圍
[0834.16-0835.76] 會列有不同
[0835.76-0837.04] 那麼接下來呢
[0837.04-0838.72] 我們就要進一步討論一下
[0838.72-0840.72] 浮電數的表示範圍
[0840.72-0842.40] 當GMA取最大值
[0842.40-0844.64] 偽數取正數最大值
[0844.64-0847.20] 也就是偽數取最大值
[0847.20-0852.74] 此時由GMA和偽數構成的浮電數為正數最大值
[0852.74-0854.50] 當GMA取最小值
[0854.50-0856.82] 偽數取正數最小值
[0856.82-0862.34] 此時由GMA和偽數構成的浮電數為正數最小值
[0862.34-0865.49] 這個值也就是浮電數的最小精度
[0865.49-0867.17] 當GMA取最大值
[0867.17-0869.41] 偽數取負數最小值
[0869.41-0872.21] 也就是偽數取最小值
[0872.21-0877.25] 此時由GMA和偽數構成的浮電數為負數最小值
[0877.71-0879.47] 當GMA取最小值
[0879.47-0881.55] 偽數取負數最大值
[0881.55-0887.18] 此時由GMA和偽數構成的浮電數為負數最大值
[0887.18-0889.02] 如果有的同學一時
[0889.02-0893.18] 還無法完全理解浮電數的上數表示範圍
[0893.18-0894.22] 沒有關係
[0894.22-0896.08] 我們來舉例說明
[0896.08-0900.80] 假設浮電數由三位GMA和三位偽數構成
[0900.80-0904.56] 三位GMA包含一個接服和兩個數值位
[0904.64-0908.78] 三位偽數包含一個數服和兩個數值位
[0908.78-0910.62] 為了方便同學們理解
[0910.62-0913.92] GMA和偽數都採用原碼表示
[0913.92-0916.48] 另外請同學們不要忘記了
[0916.48-0918.32] 之前我們已經介紹過了
[0918.32-0920.08] GMA為定點整數
[0920.08-0922.54] 而偽數為定點小數
[0922.54-0924.30] 當GMA取最大值
