[0004.02-0008.44] 同學們好,歡迎大家來到我的計算機組成原理威克堂
[0008.44-0011.46] 本節課我們介紹算數儀位運算
[0011.46-0015.12] 在上節課中我們學習了邏輯儀位運算
[0015.12-0017.72] 邏輯儀位的對象是無符號數
[0017.72-0020.64] 而本節課將要介紹的算數儀位運算
[0020.64-0022.96] 其對象是有符號數
[0022.96-0026.04] 這裡的有符號數是指定點數
[0026.04-0029.04] 包括定點整數和定點小數
[0029.04-0031.06] 不論正數還是負數
[0031.06-0032.70] 符號位保持不變
[0032.70-0035.09] 僅對數值位進行儀位
[0035.09-0039.33] 對真值的圓碼、反碼和補碼進行算數儀位號
[0039.33-0043.33] 他們各自所對應的新的真值應該保持一致
[0043.33-0044.53] 我們知道
[0044.53-0046.37] 當真值為正數時
[0046.37-0049.37] 真值的圓碼、反碼和補碼都相同
[0049.37-0052.65] 因此,對他們進行算數儀位號
[0052.65-0055.17] 他們各自所對應的新的真值
[0055.17-0057.09] 自然是保持一致的
[0057.09-0059.45] 對於儀位號出現的空位
[0059.45-0061.08] 規定填補零
[0061.28-0063.20] 而當真值為負數時
[0063.20-0066.44] 真值的圓碼、反碼和補碼各不相同
[0066.44-0069.60] 因此,對他們進行算數儀位號
[0069.60-0073.88] 為了確保他們各自所對應的新的真值保持一致
[0073.88-0076.44] 對於儀位號出現的空位
[0076.44-0078.60] 填補規則各不相同
[0078.60-0083.44] 我們稍後會推導給出他們各自具體的填補規則
[0083.44-0085.53] 首先來看這個例子
[0085.53-0088.17] 假設機器數自長為8位
[0088.17-0089.93] 含1位符號位
[0090.05-0092.49] 若真值X等於正的26
[0092.49-0095.57] 請寫出X的圓碼、反碼、補碼
[0095.57-0097.61] 各自算數左移1位
[0097.61-0100.09] 2位3位後的表示形式
[0100.09-0102.49] 以及對應的真值ABC
[0102.49-0105.17] 並對儀位結果進行分析
[0105.17-0107.58] 我們來一起分析一下
[0107.58-0111.18] 這是本立給定的真值X的實進值
[0111.18-0114.04] 我們將其寫成二進值形式
[0114.04-0118.68] 進而,我們可以寫出真值X的圓碼、反碼和補碼
[0118.99-0121.07] 由於真值X為正數
[0121.07-0124.83] 因此X的圓碼、反碼和補碼都相同
[0124.83-0127.98] 本立給定機器數自長為8位
[0127.98-0129.82] 含1位符號位
[0129.82-0133.82] 因此X的圓碼、反碼和補碼都是8位的
[0133.82-0136.38] 符號位取之為0表示正數
[0136.38-0138.70] 剩餘7位為數值位
[0138.70-0141.88] 下面,我們以正數X的圓碼為例
[0141.88-0143.96] 對其進行算數1位
[0143.96-0145.72] 我們之前介紹了
[0145.72-0147.80] 不論正數還是復數
[0147.96-0149.56] 符號位保持不變
[0149.56-0151.72] 僅對數值位進行儀位
[0151.72-0154.06] 因此,對於本立
[0154.06-0156.14] 我們將符號位保持不變
[0156.14-0159.26] 僅對剩餘的7個數值位進行儀位
[0159.26-0164.40] 首先來看對X的圓碼進行算數左移儀位的操作
[0164.40-0165.95] 如讀所示
[0165.95-0172.08] 將移出的最高數值位B6的內容移除即可
[0172.08-0176.48] 而將移空的最低數值位B0的內容補0即可
[0177.13-0182.17] 這是對X的圓碼進行算數左移2位和3位的結果
[0182.17-0184.17] 相信同學們都能看懂
[0184.17-0186.04] 就不再墜數了
[0186.04-0187.40] 對比可知
[0187.40-0190.36] 算數左移1位號高位丟0
[0190.36-0193.48] 算數左移2位號高位丟0
[0193.48-0196.81] 算數左移3位號高位丟001
[0196.81-0198.65] 我們寫出真值X
[0198.65-0202.25] 以及將X的圓碼進行算數左移1位
[0202.25-0203.61] 算數左移2位
[0203.61-0205.05] 算數左移3位號
[0205.13-0208.09] 各自所對應的新的真值
[0208.09-0209.29] 不難看出
[0209.29-0210.33] 對於本例
[0210.33-0213.37] 算數左移1位號得到的新的真值
[0213.37-0217.71] 相當於原來的真值X乘以2的1次方
[0217.71-0220.75] 算數左移2位號得到的新的真值
[0220.75-0224.99] 相當於原來的真值X乘以2的2次方
[0224.99-0226.11] 上述之事
[0226.11-0227.55] 我們在第二章
[0227.55-0231.15] 浮練數的表示形式和表示範圍那些課中
[0231.15-0232.67] 已經涉及到了
[0232.67-0235.23] 只不過當時沒有深入討論
[0235.39-0236.51] 對於本例
[0236.51-0239.47] 算數左移3位號得到的新的真值
[0239.47-0241.47] 卻不滿足上述規律
[0241.47-0243.71] 而出現了錯誤的結果
[0243.71-0247.23] 這是因為高位丟棄的內容包含有1
[0247.23-0249.47] 這相當於一出了
[0249.47-0251.71] 再來看算數右移的情況
[0251.71-0254.51] 我們知道定點整數的小數點
[0254.51-0258.04] 默認銀行固定在最低數值位的右側
[0258.04-0260.28] 之前介紹算數左移時
[0260.28-0262.68] 我們並沒有強調這一點
[0262.68-0264.68] 在介紹算數右移時
[0264.76-0266.68] 我們卻強調了這一點
[0266.68-0267.56] 具體原因
[0267.56-0269.40] 等我們分析完成這個例子
[0269.40-0271.31] 大家就明白了
[0271.31-0272.27] 首先來看
[0272.27-0276.11] 對X的圓碼進行算數右移1位的操作
[0276.11-0278.56] 如讀所示
[0278.56-0282.80] 將移出的最低數值位B0的內容移除即可
[0282.80-0287.31] 而將移空的最高數值位B6的內容補0即可
[0287.31-0291.47] 這是對X的圓碼進行算數右移兩位的結果
[0291.47-0295.95] 將移出的數值位D位B1B0的內容移除即可
[0295.95-0301.32] 而將移空的數值位高位B6B5的內容補0即可
[0301.32-0303.40] 我們寫出針織X
[0303.40-0306.92] 以及將X的圓碼進行算數右移1位
[0306.92-0308.44] 算數右移兩位號
[0308.44-0311.44] 各自所對應的新的針織
[0311.44-0312.64] 不難看出
[0312.64-0313.84] 對於本例
[0313.84-0317.04] 算數右移1位號得到的新的針織
[0317.04-0321.12] 相當於原來的針織X除以二的一次方
[0321.12-0324.51] 或者說乘以二的負一次方
[0324.51-0327.47] 算數右移兩位號得到的新的針織
[0327.47-0331.15] 相當於原來的針織X除以二的二次方
[0331.15-0333.95] 或者說乘以二的負二次方
[0333.95-0337.92] 但是對於本例出現了精度缺失
[0337.92-0341.44] 這是因為被移除的D位包含有1
[0341.44-0344.64] 而1出現在小數點後的D位
[0344.64-0349.42] 該位的位權值為二的負一次方等於0.5
[0349.42-0351.26] 通過上述兩個舉例
[0351.34-0354.14] 我們可以得到當針織為正數時
[0354.14-0357.98] 其原碼繁碼和補碼進行算數一位號的結果
[0357.98-0361.82] 那就是左移相當於乘以二的N次方
[0361.82-0364.11] N為左移的次數
[0364.11-0367.39] 右移相當於除以二的N次方
[0367.39-0369.71] N為右移的次數
[0369.71-0372.59] 左移時若最高位丟1
[0372.59-0374.43] 則結果出錯
[0374.43-0376.99] 右移時若最低位丟1
[0376.99-0379.32] 則結果的精度缺失
[0379.48-0380.36] 接下來
[0380.36-0383.56] 請同學們完成兩個相關的練習
[0383.56-0385.72] 首先完成練習一
[0385.72-0392.97] 這是練習一的解析過程
[0392.97-0394.81] 我們就不再墜速了
[0394.81-0397.29] 再來完成練習二
[0397.29-0404.54] 這是練習二的解析過程
[0404.54-0406.38] 我們就不再墜速了
[0406.38-0409.92] 接下來我們介紹針織為負數時
[0409.92-0411.52] 算數一位的規則
[0411.52-0414.60] 我們知道當針織為負數時
[0414.60-0417.56] 針織的原碼繁碼和補碼各不相同
[0417.80-0418.68] 因此
[0418.68-0421.00] 對他們進行算數一位號
[0421.00-0424.36] 為了確保他們各自所對應的新的針織
[0424.36-0425.80] 保持一致
[0425.80-0428.20] 對於一位號出現的空位
[0428.20-0430.60] 填補規則各不相同
[0430.60-0432.60] 我們來舉例分析
[0432.60-0433.88] 圖中所示的是
[0433.88-0436.04] 某個針織X為正數時
[0436.04-0438.40] 其原碼表示形式
[0438.40-0441.44] 這是負X的原碼表示形式
[0441.44-0442.56] 對比可知
[0442.56-0444.40] 它們起符號為不同
[0444.40-0446.81] 而數值位是相同的
[0446.89-0448.49] 由於算數一位時
[0448.49-0450.65] 會保持符號位不變
[0450.65-0453.16] 僅對數值位進行一位
[0453.16-0454.04] 因此
[0454.04-0457.24] 不論針織X是正數還是負數
[0457.24-0459.88] 其原碼的算數一位的天譜規則
[0459.88-0462.80] 和丟位情況是相同的
[0462.80-0464.24] 簡單來說就是
[0464.24-0466.64] 出現的空位用0天譜
[0466.64-0467.92] 若高位丟1
[0467.92-0469.44] 則結果出錯
[0469.44-0470.72] 若低位丟1
[0470.72-0472.83] 則精度缺失
[0472.83-0476.03] 這是負X的繁碼表示形式
[0476.11-0479.39] 我們將其與負X的原碼表示形式
[0479.39-0481.31] 和繁碼表示形式
[0481.31-0482.91] 進行對比可知
[0482.91-0485.31] 其反碼的算數一位的天譜規則
