[0003.38-0007.98] 同學們好 歡迎大家來到我的計算機組成園裡維克堂
[0007.98-0012.46] 本節課 我們介紹一位全家企的硬件邏輯實現
[0012.46-0019.42] 在上節課中 我們給誇專業的同學們補充了邏輯代數和邏輯門的相關知識
[0019.42-0027.28] 本節課呢 我們就是要使用邏輯門來構建實現一位二進製加法的硬件邏輯電路
[0027.63-0032.99] 首先來回憶一下 我們手工進行二進製加法運算的過程
[0033.32-0037.09] 例如 這是一個八位的二進製數
[0037.09-0039.85] 這是另一個八位的二進製數
[0039.85-0044.09] 我們要讓這兩個數進行二進製加法運算
[0044.09-0046.06] 從第一位開始
[0046.06-0048.26] 1加0等於1
[0048.26-0050.62] 1加1等於10
[0050.62-0051.82] 寫0
[0051.82-0054.05] 向高位進1
[0054.05-0056.69] 1加0加1等於10
[0056.69-0057.85] 寫0
[0057.85-0059.65] 向高位進1
[0059.65-0062.74] 1加1加1等於11
[0062.74-0063.90] 寫1
[0064.10-0066.59] 向高位進1
[0066.59-0069.67] 0加0加1等於1
[0069.67-0071.91] 1加1等於10
[0071.91-0072.91] 寫0
[0072.91-0075.26] 向高位進1
[0075.26-0078.34] 0加0加1等於1
[0078.34-0080.61] 1加1等於10
[0080.61-0083.70] 寫0向高位進1
[0083.70-0089.39] 這樣我們就手工完成了兩個八位二進製數的加法運算
[0089.39-0091.11] 為了簡單起見
[0091.11-0096.07] 本節課我們僅介紹用邏輯門電路實現一位加法
[0096.11-0098.10] 而不是八位
[0098.10-0102.10] 但是我們可以通過剛剛這個八位二進製數
[0102.10-0105.26] 手工加法運算的例子找找規律
[0105.26-0110.61] 進而得出實現一位二進製數加法運算的邏輯電路
[0110.61-0112.69] 為了方便後續描述
[0112.69-0119.10] 我們將參與運算的兩個八位二進製數分別計為x和y
[0119.10-0120.82] 將運算結果
[0120.82-0124.10] 也就是和計為s
[0124.10-0126.98] 這是參與運算的各個數位
[0126.98-0131.85] 因此我們將s中的某個位計為xi
[0131.85-0135.37] 將外中的某個位計為y
[0135.37-0139.02] 將s中的某個位計為si
[0139.02-0142.55] 另外我們用c來表示進位
[0142.55-0145.75] 為了方便描述用c表示的進位
[0145.75-0149.43] 我們將當前計算的位稱為本位
[0149.43-0155.38] 那麼來自d位參與本位計算的進位計為ci
[0155.38-0159.75] 而本位向高位的進位計為ci加1
[0159.75-0161.39] 請同學們注意
[0161.39-0165.42] 若本位計算後未向高位產生進位
[0165.42-0168.50] 可認為本位向高位的進位為0
[0168.50-0172.07] 例如這個例子
[0172.07-0177.55] 接下來我們來找出在進行一位二進製數加法運算時
[0177.55-0181.98] 本位加數來自d位的進位
[0181.98-0184.01] 本位和
[0184.01-0187.01] 以及本位向高位的進位
[0187.05-0189.77] 他們之間的邏輯關係
[0189.77-0193.15] 進而得出相應的邏輯表達式
[0193.15-0199.18] 其中本位加數和來自d位的進位作為邏輯表達式的輸入
[0199.18-0205.25] 而本位和以及本位向高位的進位作為邏輯表達式的輸出
[0205.25-0209.46] 我們將找出的邏輯關係填入該針織表
[0209.46-0210.90] 那麼接下來呢
[0210.90-0214.54] 我們找出本位加數xi yi
[0214.54-0217.78] 來自d位的進位ci的各種組合
[0217.78-0223.62] 以及每種組合進行一位二進製加法運算後得到的本位和si
[0223.62-0227.63] 以及本位向高位的進位ci加1
[0227.63-0229.91] 當本位加數xi
[0229.91-0231.71] 本位加數yi
[0231.71-0235.55] 來自d位的進位ci都等於0時
[0235.55-0240.51] 進行二進製加法運算後得到本位和si等於0
[0240.51-0244.26] 本位向高位的進位ci加1等於0
[0244.26-0248.86] 我們將這組邏輯關係添加到針織表中
[0248.86-0251.42] 當本位加數xi等於0
[0251.42-0253.74] 本位加數yi等於0
[0253.74-0257.02] 來自d位的進位ci等於1時
[0257.02-0259.58] 進行二進製加法運算後
[0259.58-0262.26] 得到本位和si等於1
[0262.26-0265.98] 本位向高位的進位ci加1等於0
[0265.98-0270.82] 我們將這組邏輯關係添加到針織表中
[0270.82-0273.57] 當本位加數xi等於0
[0273.57-0276.29] 本位加數yi等於1
[0276.29-0279.49] 來自d位的進位ci等於0時
[0279.57-0282.05] 進行二進製加法運算後
[0282.05-0284.96] 得到本位和si等於1
[0284.96-0289.01] 本位向高位的進位ci加1等於0
[0289.01-0293.44] 我們將這組邏輯關係添加到針織表中
[0293.44-0296.08] 當本位加數si等於0
[0296.08-0298.56] 本位加數yi等於1
[0298.56-0301.68] 來自d位的進位ci等於1時
[0301.68-0304.16] 進行二進製加法運算後
[0304.16-0306.72] 得到本位和si等於0
[0306.72-0310.46] 本位向高位的進位ci加1等於1
[0310.46-0314.74] 我們將這組邏輯關係添加到針織表中
[0314.74-0317.54] 當本位加數xi等於1
[0317.54-0319.97] 本位加數yi等於0
[0319.97-0323.17] 來自d位的進位ci等於0時
[0323.17-0325.73] 進行二進製加法運算後
[0325.73-0328.40] 得到本位和si等於1
[0328.40-0332.11] 本位向高位的進位ci加1等於0
[0332.11-0336.40] 我們將這組邏輯關係添加到針織表中
[0336.40-0339.23] 當本位加數xi等於1
[0339.23-0341.92] 本位加數yi等於0
[0341.92-0345.15] 來自d位的進位ci等於1時
[0345.15-0347.71] 進行二進製加法運算後
[0347.71-0350.27] 得到本位和si等於0
[0350.27-0354.10] 本位向高位的進位ci加1等於1
[0354.10-0358.90] 我們將這組邏輯關係添加到針織表中
[0358.90-0361.46] 當本位加數si等於1
[0361.46-0363.94] 本位加數yi等於1
[0363.94-0366.98] 來自d位的進位ci等於0時
[0366.98-0369.46] 進行二進製加法運算後
[0369.46-0372.02] 得到本位和si等於0
[0372.10-0375.79] 本位向高位的進位ci加1等於1
[0375.79-0379.95] 我們將這組邏輯關係添加到針織表中
[0379.95-0382.59] 當本位加數si等於1
[0382.59-0385.07] 本位加數yi等於1
[0385.07-0388.30] 來自d位的進位ci等於1時
[0388.30-0390.70] 進行二進製加法運算後
[0390.70-0393.52] 得到本位和si等於1
[0393.52-0397.62] 本位向高位的進位ci加1等於1
[0397.62-0402.10] 我們將這組邏輯關係添加到針織表中
[0402.10-0406.42] 這樣我們就得到了本位加數si yi
[0406.42-0409.70] 來自d位的進位ci的各種組合
[0409.70-0411.46] 與本位和si
[0411.46-0416.72] 以及本位向高位的進位ci加1的邏輯關係的針織表
[0416.72-0418.40] 為了簡單起見
[0418.40-0422.02] 我們將該針織表拆分成兩個針織表
[0422.02-0424.34] 其中一個針織表用來表示
[0424.34-0426.74] 本位加數si yi
[0426.74-0429.78] 來自d位的進位ci的各種組合
[0429.86-0433.38] 與本位和si的邏輯關係
[0433.38-0435.86] 另一個針織表用來表示
[0435.86-0438.02] 本位加數si yi
[0438.02-0441.06] 來自d位的進位ci的各種組合
[0441.06-0445.63] 與本位向高位的進位ci加1的邏輯關係
[0445.63-0447.63] 我們首先根據該針織表
[0447.63-0450.27] 寫出本位加數si yi
[0450.27-0453.23] 來自d位的進位ci作為輸入
[0453.23-0457.09] 本位和si作為輸出的邏輯表達式
[0457.09-0459.81] 這是輸出為真的一種情況
[0459.89-0463.33] 也就是本位加數si yi都等於0
[0463.33-0467.20] 且來自d位的進位ci等於1的情況
[0467.20-0468.88] 我們用xi的非
[0468.88-0470.08] y的非
[0470.08-0474.30] ci這三者進行邏輯語來表達
[0474.30-0476.86] 相信同學們能夠根據針織表
[0476.86-0480.70] 寫出輸出為真的其他所有情況的邏輯表達
[0480.70-0482.99] 我們就不再追數了
[0482.99-0486.35] 將上述輸出為真的四種情況的邏輯表達
[0486.35-0488.11] 進行邏輯獲
[0488.19-0491.47] 就可得到本位加數si yi
[0491.47-0494.51] 來自d位的進位ci作為輸入
[0494.51-0498.53] 本位和si作為輸出的邏輯表達式
[0498.53-0500.29] 得到邏輯表達式號
[0500.29-0502.05] 根據邏輯表達式
[0502.05-0503.89] 用相應的邏輯門
[0503.89-0505.17] 就可構建出
[0505.17-0508.98] 實現該邏輯表達式功能的邏輯電路了
[0508.98-0510.50] 但一般情況下
[0510.50-0512.18] 我們會按設計要求
[0512.18-0514.50] 利用公式或卡諾圖
[0514.50-0516.66] 對邏輯表達式進行劃件
[0516.74-0520.61] 並轉換成滿足設計要求的邏輯表達式
[0520.61-0521.57] 例如
[0521.57-0523.41] 轉換成如下所示的
[0523.41-0527.09] 由兩次議會運算構成的邏輯表達式
[0527.09-0528.53] 該邏輯表達式
[0528.53-0530.37] 從另一個角度表示了
[0530.37-0532.53] 原邏輯表達式所表示的
[0532.53-0535.52] 輸入與輸出之間的邏輯關係
[0535.52-0537.44] 使得我們更容易看出
[0537.44-0540.48] 輸入si yi z的組合中
[0540.48-0542.24] 只要有基礎個一
[0542.24-0544.96] 輸出si就等於一
[0545.04-0546.56] 從針織表中的關係
[0546.56-0548.98] 也不能發現這一點
[0548.98-0551.06] 另外通過以上描述
[0551.06-0553.14] 學習過接有教院原理的同學
[0553.14-0554.69] 可能會想到
[0554.69-0557.25] 可以按照上面這個邏輯表達式的方式
[0557.25-0560.05] 來計算接有教院的教院位
