[0003.47-0007.91] 同學們好 歡迎大家來到我的計算機組成原理威克堂
[0007.91-0013.19] 本節課我們介紹無符號數懲罰運算的硬件邏輯實現
[0013.19-0018.15] 我們首先來分析一下筆算懲罰的過程及其背後的原理
[0018.15-0022.31] 進而想辦法使用硬件邏輯來實現懲罰
[0022.31-0027.78] 請同學們回憶一下我們最熟悉的實境制懲罰的筆算方法
[0027.78-0030.92] 除了我們熟悉於新的久久懲罰表
[0031.08-0033.64] 對於稍微複雜一點的多位懲罰
[0033.64-0037.04] 我們一般使用懲罰數式進行計算
[0037.04-0039.46] 例如這個懲罰數式
[0039.46-0042.50] 兩個純小數進行懲罰運算
[0042.50-0045.78] 其中0.408作為背懲數
[0045.78-0048.10] 0.132作為懲罰
[0048.10-0052.46] 想想看 我們平時是如何進行筆算的
[0052.46-0058.20] 一般情況下 我們首先會將背懲數和懲罰看成整數
[0058.20-0060.28] 也就是不考慮小數點
[0060.44-0063.96] 得到整數成績後再考慮小數點的位置
[0063.96-0066.24] 進而得出最終的成績
[0066.24-0069.52] 我們從最低位開始進行懲罰
[0069.52-0070.84] 對於本例
[0070.84-0074.80] 成數的最低位2乘以背成數408
[0074.80-0077.00] 得到成績816
[0077.00-0079.00] 我們稱其為背績
[0079.00-0083.04] 因為這是成數的某一位與背成數的成績
[0083.04-0087.87] 之後用成數的這一位乘以背成數408
[0088.03-0091.75] 得到成數相應位的位積1224
[0091.75-0097.30] 我們會將這個位積比之前得到的位積向前錯開一位
[0097.30-0102.34] 之後用成數的這一位乘以背成數408
[0102.34-0105.82] 得到成數相應位的位積408
[0105.82-0111.20] 我們會將這個位積比之前得到的位積向前錯開一位
[0111.20-0116.24] 之後將之前得到的三個位積進行加返運算
[0116.24-0118.30] 得到整數結果
[0118.58-0121.78] 最後我們要考慮小數點的位置
[0121.78-0123.02] 在本例中
[0123.02-0125.98] 背成數的小數點後面有三位
[0125.98-0128.98] 成數的小數點後面也有三位
[0128.98-0132.94] 因此成績的小數點後面應該有六位
[0132.94-0136.26] 而我們之前得到的整數結果為五位
[0136.26-0141.14] 需要在整數結果的左側添加一個0來錯過六位
[0141.14-0145.26] 然後在0的左側添加0和小數點計特
[0145.30-0150.42] 相信同學們對上述懲罰術士的比算方法是比較熟悉的
[0150.42-0154.28] 然而他背後的原理又是什麼呢
[0154.28-0156.59] 我們來一起分析一下
[0156.59-0163.30] 我們將背成數0.408寫成408乘以十到四三次方的形式
[0163.30-0168.64] 而將成數0.132寫成安全展開相加的形式
[0168.64-0174.84] 因此0.408乘以0.132可以寫成這樣的形式
[0174.84-0179.72] 其中這部分是成數的最低位乘以背成數
[0179.72-0184.29] 這部分是成數的另一位乘以背成數
[0184.29-0188.83] 這部分是成數的最高位乘以背成數
[0188.83-0192.31] 我們將該式整理成如下形式
[0192.31-0196.15] 然後再轉換成純小數相加的形式
[0196.15-0198.74] 最終得到運算結果
[0198.74-0203.38] 將上述純小數相加的形式寫成數式
[0203.42-0207.74] 這實際上是左側數式的完整形式
[0207.74-0210.58] 而與左側數式對比即可發現
[0210.58-0215.38] 左側數式每行得到的位積向前錯開一位的原因
[0215.38-0218.50] 就是為了確保小數量對齊
[0218.50-0220.38] 而在我們比算過程中
[0220.38-0221.98] 為了簡單起見
[0221.98-0224.51] 這部分是忽略不寫的
[0224.51-0227.87] 至此相信同學們應該已經理解了
[0227.87-0231.47] 實際上是懲罰比算數式背後的原理
[0231.47-0233.43] 由於電子數字計算機
[0233.43-0235.47] 內部採用二徑制
[0235.47-0239.51] 因此我們再來看看二徑制懲罰的比算方法
[0239.51-0242.61] 例如這個二徑制懲罰數式
[0242.61-0246.53] 我們仍然將背成數和成數看成整數
[0246.53-0248.99] 也就是不考慮小數點
[0248.99-0252.59] 得到整數成績後再考慮小數點的位置
[0252.59-0255.09] 竟然得出最終的成績
[0255.09-0258.26] 我們從最低位開始進行懲罰
[0258.26-0259.54] 對於本例
[0259.58-0261.46] 成數的最低位1
[0261.46-0264.10] 乘以背成數1101
[0264.10-0266.42] 得到成績1101
[0266.42-0268.34] 我們稱其為位積
[0268.34-0272.45] 因為這是成數的某一位與背成數的成績
[0272.45-0277.57] 之後用成數的這一位乘以背成數1101
[0277.57-0281.13] 得到成數相應位的位積1101
