[0003.63-0008.35] 同学们好,欢迎大家来到我的计算机组成原理威克唐。
[0008.35-0013.15] 本节课,我们介绍原码惩罚运算的硬件逻辑实现。
[0013.15-0020.86] 在上节课中,我们给同学们介绍了无符号数惩罚运算的硬件逻辑实现的相关知识。
[0020.86-0027.71] 由于原码表示,与无符号数非常类似,仅比无符号数多一个符号。
[0027.87-0034.27] 而成绩的符号可以通过参与运算的两个数各自符号的逻辑易获求得。
[0034.27-0044.03] 因此,上述无符号数惩罚运算的硬件逻辑实现可用于原码一味惩罚,仅需添加符号位处理即可。
[0044.03-0052.02] 需要说明的是,这里的一味惩罚并不是指参与惩罚运算的两个操作数都是一味的,
[0052.18-0058.90] 而是指,在惩罚运算过程中,每次根据成数中的一味来计算未击,
[0058.90-0065.70] 我们在上节课的无符号数惩罚运算的硬件逻辑实现中采用的就是一味惩罚。
[0065.70-0071.76] 接下来,我们就来介绍原码一味惩罚运算的硬件逻辑实现,
[0071.76-0077.74] 假设这是倍成数X和成数Y各自的原码表示形式。
[0077.98-0085.66] 其中,X0和Y0分别表示X的原码的符号位,Y的原码的符号位,
[0085.66-0092.62] 因此X的原码与Y的原码的惩罚运算和写成如下形式,
[0092.62-0102.56] 这部分是成绩的符号位,也就是X的原码的符号位与Y的原码的符号位异获运算的结果,
[0103.25-0110.24] 这部分是倍成数X的绝对值,这部分是成数Y的绝对值。
[0110.24-0117.82] 我们通过这个例子进行说明,首先写出X的原码与Y的原码,
[0117.82-0121.71] 它们的惩罚运算和写成如下形式。
[0121.71-0131.86] 那么接下来的工作就是要解决X的绝对值与Y的绝对值进行惩罚运算的硬件逻辑实现问题。
[0132.24-0136.00] 我们可将数的绝对值看作是无符号数,
[0136.00-0143.87] 因此问题就回归到了我们上节课介绍的无符号数惩罚运算的硬件逻辑实现问题。
[0143.87-0148.96] 这是相关的推导过程,我们就不再坠述了,
[0148.96-0157.12] 忘记了的同学可参看上节课中无符号数惩罚运算的硬件逻辑实现这部分的推导。
[0157.76-0167.52] 接下来呢,可以将X的绝对值的原码和Y的绝对值的原码带入到下图所示的硬件逻辑矿图中执行一遍。
[0167.52-0176.10] 对于本例,假设磊家器ACC,操作数计存器X,乘商计存器MQ都是5位的。
[0176.10-0184.82] 而小数点隐含固定在这个位置,小数点左侧为原码的符号位,右侧为原码的数值位。
[0185.14-0190.18] 需要说明的是,由于我们采用的是两个操作数的绝对值的原码,
[0190.18-0197.62] 因此可将它们看作是无符号数,所以右依一位的操作属于逻辑右依。
[0197.62-0206.77] 由于我们在上节课中已经给出过执行过程的动画掩饰了,因此本节课我们就不再重复掩饰了。
[0206.93-0210.29] 我们仅给出执行过程的流程图即可。
[0210.29-0217.30] 在初始阶段,被承述X的绝对值的原码被送入操作数计存器X中,
[0217.30-0222.26] 承述Y的绝对值的原码被送入承商计存器MQ中,
[0222.26-0226.50] 而用于保存家法器键为信号的触发器COUT,
[0226.50-0234.66] 以及用于保存家法结果和最终成绩的高位的磊家器ACC的内容被初始化为0。
[0235.01-0241.89] 技术器CN的内容被设置为原码数值位的程度,对于本例N取之为4。
[0241.89-0250.78] 若MQ的最低位MQ0等于1,则将X的内容加上ACC的内容,结果再写入ACC,
[0250.78-0262.14] 然后将COUT,ACC,MQ中的内容同时向右移动一位,否则不进行家法运算,而直接进行右移运算。
[0262.64-0269.68] 至此,已经完成了一轮家法和一位操作,将技术器CN的内容减1。
[0269.68-0280.74] 若CN的内容不等于0,则进行下一轮家法和一位操作,否则表明所有轮次的家法和一位操作已直径完毕。
[0280.74-0289.22] 最后,将X的原码的符号位与外的原码的符号位进行异会运算,得出成绩的符号位。
[0289.63-0291.07] 执行过程结束。
[0291.07-0301.02] 接下来,请同学们按照该流程图,将本例中每一部运算执行后的各相关计存器的内容填入下表。
[0301.02-0312.61] 我已经填写了初始状态,以及第一轮次家法和一位操作中,家法运算后的,以及右移一位后的各相关计存器的内容。
[0312.93-0320.05] 请同学们填写后面三个轮次的家法和一位操作后各相关计存器的内容。
[0320.05-0329.76] 相信同学们都能正确完成,我们就不再坠述了。
[0329.76-0339.14] 这部分,就是X的绝对值与外的绝对值的成绩,而这一位被舍弃,因为它是乘数外的符号位。
[0339.47-0349.95] 在该成绩前面,添加小数点和符号位,就可以得到X的圆满与外的圆满进行惩罚运算所得到的成绩。
[0349.95-0353.71] 好的,本节课到这里就结束了。
[0353.71-0368.93] 我们将本节课的内容,小节如下,需要说明的是,对于定年整数圆满惩罚,其过程与定年小数圆满惩罚完全相同。
[0369.09-0374.61] 紧将符号位与数值位之间的小数点改为豆号即可。
[0374.61-0382.29] 另外,如果每次根据成数中的两位来计算位积,则位积的数目会减少一半,
[0382.29-0389.23] 因此循环累加次数将减少一半,可以大大提升惩罚的运贺速度。
[0389.23-0395.47] 这种惩罚称为二位惩罚,有兴趣的同学可以查阅相关资料。
[0395.79-0398.67] 同学们,我们下节课见!
