[0003.41-0007.75] 同学们好,欢迎大家来到我的计算机组成原理,微课堂。
[0007.75-0012.07] 本节课,我们介绍补码惩罚运算的硬件逻辑实现。
[0012.07-0019.41] 在上节课中,我们给同学们介绍了原码一位惩罚运算的硬件逻辑实现的相关知识。
[0019.41-0023.81] 然而,由于计算机中采用补码表示数据。
[0023.81-0031.25] 如果用原码惩罚计算两个数的成绩,则运算前需要将补码转换为原码。
[0031.45-0040.29] 运算后还需要将原码转换为补码,这样会增加许多操作步骤,为了减少处理环节。
[0040.29-0047.39] 英国的不思夫妇于1950年提出了一种补码惩罚,又称为不思算法。
[0047.39-0060.28] 那么接下来,我们就来看看不思算法的推倒和分析,假设备成数为x,这是其补码表示,成数为y,这是其补码表示。
[0060.78-0066.18] 首先分析被成数x的符号任意,成数外的符号为正的情况。
[0066.18-0077.37] 根据定点小数补码的定义,可得x的补码的定义是,魔数为2,该定义是还可写成这种形式。
[0077.37-0090.30] 这是魔数的特点,由于成数外的符号为正,因此外的补码表示中,符号为0,表示正数,该数实际上就是真之外。
[0090.54-0106.66] 那么x的补码乘以y的补码,就可以写成x的补码乘以y,因为y的补码就等于y,将x的补码替换为上面的形式,可得如下形式。
[0106.66-0118.47] 将外乘进去,可得如下形式,将该式中左起第一个y,再入其真直,可得如下形式。
[0119.02-0130.33] 这是我们之前刚刚分析过的,将该式写成如下形式,竟然可以写成这种形式。
[0130.33-0145.26] 不难看出,这一部分,被写成了另一种形式,也就是将0.y12一直到y的小数点,又移n位,得到整数y12一直到yn。
[0145.67-0154.76] 根据魔术的性质,2乘以y12一直到yn,可以写成2,因此上式和写成这种形式。
[0154.76-0167.75] 这样x的补码乘以y的补码,就可以写成这种形式,将x乘以y看成是一个数,该式还可以写成这种形式。
[0168.46-0187.19] 这是根据定点小数补码定义得出的,这样我们就得到了一个重要的结论,那就是背乘数x的符号任义,乘数y的符号为正的情况下,x的补码乘以y的补码,与x和y乘积的补码是相等的。
[0187.19-0196.33] 另外,我们之前已经推导过了,x的补码乘以y的补码,与x的补码乘以y也是相同的,
[0196.65-0201.69] 因为y是正数,其真值与补码表示是相同的。
[0201.69-0213.85] 至此,我们就得到了背乘数x的符号任义,乘数y的符号为正的情况下,补码乘法的运算公式,我们将该式记为是1。
