[0003.63-0008.23] 同学们好,欢迎大家来到我的计算机组成原理维克堂
[0008.23-0012.75] 本节课,我们介绍无符号战略惩罚器的相关知识
[0012.75-0016.75] 在之前的几次课中,我们分别给同学们介绍了
[0016.75-0020.51] 无符号数惩罚运算的硬件逻辑实现
[0020.51-0024.62] 原码一位惩罚运算的硬件逻辑实现
[0024.62-0029.66] 补码一位惩罚运算不思算法的硬件逻辑实现
[0029.66-0034.76] 然而,原码补码一位惩罚的硬件逻辑实现
[0034.92-0036.80] 需要在始终结拍下
[0036.80-0038.80] 通过控制逻辑的控制
[0038.80-0043.08] 执行相应轮次的加法右移操作来实现
[0043.08-0044.58] 速度缴慢
[0044.58-0046.78] 为了提高运算速度
[0046.78-0049.54] 可以仅采用组合逻辑电路
[0049.54-0053.79] 以专用硬件方式构建阵略惩罚器
[0053.79-0056.39] 构建阵略惩罚器的基本思想是
[0056.39-0060.00] 模仿二进制惩罚的比算方法
[0060.00-0064.97] 那么接下来呢,我们来一起构建无符号阵略惩罚器
[0065.17-0067.57] 首先,我们来回忆一下
[0067.57-0070.62] 二进制惩罚的比算方法
[0070.62-0074.10] 假设备成数X为无符号数
[0074.10-0077.42] 从D位X0到高位X3
[0077.42-0079.40] 共4位构成
[0079.40-0081.72] 成数Y为无符号数
[0081.72-0084.52] 从D位Y0到高位Y3
[0084.52-0086.48] 共4位构成
[0086.48-0088.84] 对它们进行惩罚运算
[0088.84-0091.12] 从最低位开始
[0091.12-0093.68] 用成数Y的最低位Y0
[0093.72-0097.28] 乘以备成数X的最低位X0
[0097.28-0099.24] 得到一位结果
[0099.24-0101.65] 既为X0Y0
[0101.65-0102.61] 我们知道
[0102.61-0104.41] 对于一位二进制数
[0104.41-0107.27] 要么是1,要么是0
[0107.27-0109.59] 用成数Y的最低位Y0
[0109.59-0112.95] 乘以备成数X的X1位
[0112.95-0114.79] 得到一位结果
[0114.79-0117.78] 既为X1Y0
[0117.78-0120.46] 用成数Y的最低位Y0
[0120.46-0123.62] 乘以备成数X的X2位
[0123.62-0125.38] 得到一位结果
[0125.38-0128.11] 既为X2Y0
[0128.11-0130.91] 用成数Y的最低位Y0
[0130.91-0134.27] 乘以备成数X的X3位
[0134.27-0136.11] 得到一位结果
[0136.11-0138.34] 既为X3Y0
[0138.34-0143.28] 这样就得到了成数Y的最低位Y0的位积
[0143.28-0145.16] 用成数Y的Y1位
[0145.16-0148.56] 乘以备成数X的最低位X0
[0148.56-0150.36] 得到一位结果
[0150.36-0152.85] 既为X0Y1
[0152.89-0154.85] 用成数Y的Y1位
[0154.85-0157.61] 乘以备成数X的X1位
[0157.61-0159.17] 得到一位结果
[0159.17-0161.75] 既为X1Y1
[0161.75-0163.71] 用成数Y的Y1位
[0163.71-0166.59] 乘以备成数X的X2位
[0166.59-0168.15] 得到一位结果
[0168.15-0170.68] 既为X2Y1
