[0003.47-0007.71] 同学们好,欢迎大家来到我的计算机组成员里维克唐
[0007.71-0010.95] 从本节课开始,我们要用几次课的时间
[0010.95-0014.99] 给同学们介绍定点数除法运算的相关知识
[0014.99-0019.47] 本节课,我们介绍原码除法运算的恢复于数法
[0019.47-0025.11] 原码除法运算的方法,包含恢复于数法和不恢复于数法两种
[0025.11-0028.23] 本节课呢,我们介绍恢复于数法
[0028.23-0032.31] 由于原码表示,与无符号数非常类似
[0032.47-0035.03] 仅比无符号数多一个符号
[0035.03-0041.83] 因此,进行原码除法运算时,可将符号位与数值部分分开处理
[0041.83-0048.41] 商的符号由备除数和除数各自的符号进行异货运算求得
[0048.41-0053.77] 商的数值部分由备除数和除数各自的数值部分
[0053.77-0057.69] 也就是真值的绝对值,相处求得
[0057.99-0064.47] 也就是说,假设这是备除数X和除数Y各自的原码表示形式
[0064.47-0072.07] 其中X0和Y0分别表示X的原码的符号位,Y的原码的符号位
[0072.07-0077.77] X的原码与外的原码的除法运算和写成如下形式
[0077.77-0086.92] 这部分是商的符号位,也就是X的原码的符号位与外的原码的符号位异货运算的结果
[0087.30-0093.88] 这部分是备除数X的绝对值,这部分是除数Y的绝对值
[0093.88-0100.94] 以上是定年小数,也就是纯小数原码除法运算的处理方法
[0100.94-0106.94] 为了确保商和余数,也为定年小数,也就是不发生一戳
[0106.94-0113.02] 上述除法的条件为,备除数X的绝对值,小于除数Y的绝对值
[0113.43-0121.59] 同理,定年整数原码除法运算的条件为,备除数X的绝对值,大于等于除数Y的绝对值
[0121.59-0125.70] 从上所说,我们给出原码除法的法则
[0125.70-0129.37] 前提条件为,除数不等于0
[0129.37-0136.82] 对于定年小数,也就是纯小数,备除数的绝对值,小于除数的绝对值
[0136.82-0143.16] 对于定年整数,备除数的绝对值,大于等于除数的绝对值
[0143.56-0147.27] 商的符号与数值部分分开处理
[0147.27-0153.53] 商的符号由备除数的符号与除数的符号进行异会运算而求得
[0153.53-0159.46] 商的绝对值等于备除数的绝对值,除亦除数的绝对值
[0159.46-0166.90] 最后,将商的符号与商的绝对值拼接在一起,即可得到原码除法的结果
[0166.90-0172.52] 本节课,我们以定年小数的原码除法运算为例进行介绍
[0172.60-0178.92] 首先,我们模仿实进制除法的比算方法,来完成一个二进制除法
[0178.92-0185.48] 看看从中是否能够得到一些启发,以便在计算机内部实现原码除法运算
[0185.48-0192.76] 我们来一起分析,通过该式不能看出,我们可将定年小数的除法运算
[0192.76-0195.96] 转换成定年整数的除法运算
[0195.96-0201.42] 这是备除数1001,这是除数1011
[0202.25-0207.13] 由于备除数小于除数,因此上商0
[0207.13-0211.94] 0乘以除数1011,等于0000
[0211.94-0219.59] 因此简确0000得到于数1001,这实际上是备除数
[0219.59-0224.81] 由于这不是最终于数,我们称其为中间于数
[0224.81-0231.50] 一般来说,我们需要运算到商的位数与除数的位数,相同时结束运算
[0231.66-0239.42] 在商0的后面添加一个小数点,然后在中间于数的尾部添加一个0
[0239.42-0250.17] 可以发现其大于除数,因此上商1,之后减去除数,得到新的中间于数
[0250.17-0256.81] 不知同学们是否还记得进行二进制减法的方法,口诀是借一当二
[0256.81-0261.96] 我们在第二章有关补码的那些课中,曾给同学们介绍过
[0262.12-0265.24] 忘记了的同学,可以快速复习一下
[0265.24-0271.75] 当然了,也可将二进制数转换成实进制数号进行减法
[0271.75-0276.54] 然后将得到的实进制数转换成二进制数
[0276.54-0280.30] 在新得到的中间于数的尾部添加一个0
