[0003.28-0007.88] 同学们好,欢迎大家来到我的计算机组成原理微课堂
[0007.88-0012.71] 本节课,我们介绍原码处法运算的不恢复余术法
[0012.71-0018.71] 在上节课中,我们给同学们介绍了原码处法运算的恢复余术法
[0018.71-0021.81] 通过举例和练习,我们知道
[0021.81-0026.31] 在使用恢复余术法进行原码处法运算的过程中
[0026.31-0033.31] 可能需要恢复余术,并且恢复余术的次数和具体的操作数相关
[0033.57-0038.07] 极端情况下,每一步运算都需要恢复余术
[0038.07-0043.67] 因此,恢复余术法的最大缺点是,运算时间不确定
[0043.67-0047.43] 另外,其控制电路也比较复杂
[0047.43-0053.52] 接下来,我们对恢复余术法进行分析,以便最起改进
[0053.52-0060.42] 将运算过程中,某次的余术,即为Ri,将相应的上上位,即为Qi
[0060.62-0067.92] 当余术Ri大于等于0时,则上上1,也就是上上位Qi等于1
[0067.92-0076.25] 然后将余术Ri左移移位,再减去除数外,得到新余术Ri加1
[0076.25-0078.85] 这是相应的计算表达式
[0078.85-0086.96] 例如,本例中的这一部分,就是某次余术大于等于0时的运算过程
[0087.16-0094.42] 当余术Ri小于0时,则上上0,也就是上上位Qi等于0
[0094.42-0100.05] 然后将余术Ri加上除数外,来恢复之前的余术
[0100.05-0107.71] 将恢复好的余术左移移位,减去除数外,得到新余术Ri加1
[0107.71-0116.80] 这是相应的计算表达式,这部分就是恢复余术,之后乘以2,就是左移移位
[0116.90-0122.26] 最后再减去除数外,得到新余术Ri加1
[0122.26-0129.70] 例如,本例中的这一部分,就是某次余术小于0时的运算过程
[0129.70-0133.88] 该式可以进一步写成这种形式
[0133.88-0142.88] 不难看出,当余术Ri小于0时,可以将余术Ri直接左移移位后,加上除数外
[0142.88-0150.54] 来得到下一个新余术Ri加1,这样就跳过了恢复余术这一步
[0150.54-0156.07] 因此成为不恢复余术法,由以上两个式子可以看出
[0156.07-0161.80] 计算下一个余术Ri加1的过程,可统一为固定步骤
[0161.80-0165.88] 步骤1,将余术Ri左移移位
[0166.08-0175.18] 步骤2,根据一位前余术Ri的符号,决定是进行减,还是加除数外的运算
[0175.18-0180.20] 这一条做,用可控加减法电路,非常容易实现
[0180.20-0185.93] 由于运算过程中,分别用加法和减法交替计算余术
[0185.93-0190.52] 所以,不恢复余术法,也称为加减交替法
[0190.52-0196.62] 接下来,我们通过一个使用不恢复余术法进行原码除法运算的例子
[0196.62-0200.79] 加深同学们对不恢复余术法运算过程的理解
[0200.79-0203.09] 我们来一起分析一下
[0203.09-0212.78] 首先,需要写出备除数x的绝对值的补码,除数外的绝对值的补码,除数外的绝对值的相反数的补码
[0212.78-0220.38] 这样做的目的,我们在上节课,介绍原码除法运算恢复余术法时,进行了详细说明
[0220.38-0226.64] 本节课就不再坠述了,将余术计为R,商计为Q
[0226.64-0231.93] 另外,我们还要记录一下加法器的计位输出COUT
[0231.93-0239.36] 出示余术R0,就是备除数x,这实际上是x的绝对值的补码
[0239.36-0244.82] 而商Q,被出示化为0,也就是0.0000
[0244.92-0252.24] 只好减去除数外,这实际上是加上外的绝对值的相反数的补码
[0252.24-0257.17] 得到加法器的净位输出,和中间余术R1的补码
[0257.17-0264.83] 通过其符号位唯一可知,其相应的帧值小于0,需要执行以下操作
[0264.83-0274.21] 首先,上商0,然后将当前的余术R和商Q一起左翼移位
[0274.31-0280.34] 这是一位后得到的结果,然后加上除数外
[0280.34-0284.79] 这实际上是加上外的绝对值的补码
[0284.79-0289.98] 得到加法器的净位输出,和中间余术R2的补码
[0289.98-0297.61] 通过其符号位唯0可知,其相应的帧值大于0,需要执行以下操作
[0297.61-0305.50] 首先,上商1,然后将当前的余术R和商Q一起左翼移位
[0305.50-0311.12] 这是一位后得到的结果,然后减去除数外
[0311.12-0316.20] 这实际上是加上外的绝对值的相反数的补码
[0316.20-0321.05] 得到加法器的净位输出,和中间余术R3的补码
[0321.05-0328.58] 通过其符号位唯0可知,其相应的帧值大于0,需要执行以下操作
[0328.58-0337.06] 首先,上商1,然后将当前的余术R和商Q一起左翼移位
[0337.06-0342.83] 这是一位后得到的结果,然后减去除数外
[0342.83-0348.09] 这实际上是加上外的绝对值的相反数的补码
[0348.09-0353.18] 得到加法器的净位输出,和中间余术R4的补码
[0353.18-0361.06] 通过其符号位唯1可知,其相应的帧值小于0,需要执行以下操作
[0361.06-0370.10] 首先,上商0,然后将当前的余术R和商Q一起左翼移位
[0370.10-0375.94] 这是一位后得到的结果,然后加上除数外
[0375.94-0380.35] 这实际上是加上外的绝对值的补码
[0380.35-0385.37] 得到加法器的净位输出,和最终余术R5的补码
[0385.37-0390.86] 通过其符号位唯0可知,其相应的帧值大于0
[0390.86-0397.36] 因此上商1,这次我们就要得到了商的绝对值
[0397.36-0404.96] 而商的符号由被除出X和除数外,各自的符号进行异货运算求得
[0404.96-0410.36] X的原码的符号位唯1,外的原码的符号位为0
[0410.36-0414.82] 异货运算的结果唯1,表明商为副术
[0414.82-0419.14] 因此可以得出本利的原码出发运算的商
[0419.14-0426.90] 而实际余术还要将运算得到的最终余术R5在乘以2的副四四方
[0426.90-0434.37] 请同行注意,在最后一次运算上商时,若余术小于0
[0434.37-0438.07] 此时虽然所有上商位都已经得到了
[0438.07-0443.16] 但副余术还需要加上除数外恢复成正数
[0443.16-0452.15] 另外,不能发现上商位与净位位Cout的值是相同的,如同所示
[0452.35-0455.25] 因此,在印加尔逻辑实现时
[0455.25-0459.65] 可以用加法器的净位输出作为上商的控制信号
[0459.65-0463.83] 以及可控加减法电路的控制信号
[0463.83-0468.23] 接下来,请同学们参照刚刚介绍过的这个例子
[0468.23-0473.78] 完成该练习
[0473.78-0479.88] 相信同学们都能正确完成,我们就不再追数了
[0479.88-0487.51] 最后,我们简单介绍一下原码除发运算不恢复余术法的印加尔逻辑实现
[0487.71-0493.17] 这是我们之前刚刚介绍过的不恢复余术法的相应操作
[0493.17-0497.60] 这部分表示将余术RI左移移位
[0497.60-0504.14] 采用补马表示,可将补马减法运算转换成补马加法运算
[0504.14-0509.10] 相应的,这里的加法运算也是补马的加法运算
[0509.10-0511.40] 这使得我们不但想到
[0511.40-0516.00] 之前曾介绍过的原码成法运算的印加尔逻辑实现
[0516.00-0519.76] 也用到了加法运算和一位运算
[0519.76-0524.56] 不同之处在于,在原码成法运算的印加尔逻辑实现中
[0524.56-0527.16] 一位运算为逻辑右移
[0527.16-0531.16] 而在原码除发不恢复余术法的印加尔逻辑实现中
[0531.16-0533.42] 一位运算为左移
[0533.42-0535.72] 由于采用补马表示
[0535.72-0540.12] 因此,需要在原码成法的印加尔逻辑实现的基础上
[0540.12-0542.85] 添加相应的求补电路
[0542.85-0546.25] 另外,加法器的净位输出COUT
[0546.25-0548.75] 可作为上商的控制信号
[0548.75-0552.74] 以及可控加电法电路的控制信号
[0552.74-0554.44] 还需要注意的是
[0554.44-0556.14] 对于除发运算
[0556.14-0560.24] 操作数计存器X用于存放除数
[0560.24-0564.97] 累加器ACC用于存放备除数和余数
[0564.97-0569.18] 乘商计存器MQ用于存放商
[0569.18-0572.68] 好的,本节课到这里就结束了
[0572.78-0589.22] 请同学们快速回忆一下本节课的主要内容
[0589.22-0591.72] 同学们,我们下节课见
