[0003.28-0007.88] 同学们好,欢迎大家来到我的计算机组成原理,威克唐。
[0007.88-0012.38] 本节课,我们介绍辅典惩罚运算的相关知识。
[0012.38-0016.10] 假设X和Y是两个辅典数,
[0016.10-0019.60] EX和EY分别是它们各自的接码,
[0019.60-0024.00] MX和MY分别是它们各自的尾数,
[0024.00-0028.40] 则X和Y各自可表示为以下形式,
[0028.40-0033.24] 因此X乘以外可得如下形式,
[0034.46-0037.56] 不难看出,两个辅典数的惩罚运算,
[0037.56-0040.96] 实际上需要将它们各自的接码相加,
[0040.96-0043.22] 尾数相乘,
[0043.82-0045.22] 接码相加,
[0045.22-0047.72] 才用定年整数加法运算,
[0047.72-0050.02] 当两个接码同号时,
[0050.02-0052.34] 可能会发生一戳,
[0052.34-0053.84] 尾数相乘,
[0053.84-0056.34] 才用定年小数惩罚运算,
[0056.34-0059.74] 可能需要规格化和舍入处理。
[0059.74-0061.14] 通常所说,
[0061.14-0064.90] 辅典惩罚运算包含以下三个步骤,
[0065.10-0067.92] 步骤一,接码相加,
[0067.92-0070.61] 步骤二,尾数相乘,
[0070.61-0074.10] 步骤三,规格化和舍入,
[0074.10-0076.50] 在进行接码相加时,
[0076.50-0079.10] 才用定年整数加法运算,
[0079.10-0081.10] 可能会发生一戳,
[0081.10-0083.90] 因此应做一戳判断,
[0083.90-0087.16] 以便通知计算机做一戳处理,
[0087.16-0089.56] 在进行尾数相乘时,
[0089.56-0091.86] 才用定年小数惩罚,
[0091.86-0095.86] 运算结果可能需要进行规格化和舍入处理,
[0096.85-0098.85] 而规格化和舍入处理,
[0098.85-0101.85] 与辅典加减法是相同的,
[0101.85-0105.20] 对于HB 1754辅典书,
[0105.20-0107.20] 接码运算,
[0107.20-0109.20] 才用一码的运算规则,
[0109.20-0111.52] 尾数相乘时,
[0111.52-0113.52] 隐藏位也要参与运算,
[0113.52-0116.91] 才用HB 1754的规格化
[0116.91-0120.36] 和溢出检测与处理方法,
[0120.36-0122.36] 需要特别注意的是,
[0122.36-0125.36] HB 1754辅典惩罚运算中,
[0125.36-0127.36] 都存在向左规格化操作,
[0127.36-0131.25] 不知同学们是否已经发现了,
[0131.25-0136.25] 辅典惩罚运算所涉及到的定年整数加法运算,
[0136.25-0138.25] 定年小数惩罚运算,
[0138.25-0141.35] 辅典加减法的溢出判断,
[0141.35-0143.35] 规格化和舍入处理,
[0143.35-0145.35] 我们在之前的几节课中,
[0145.35-0147.35] 都已经学习过了,
[0147.35-0150.70] 因此就不再坠述了,
[0150.70-0153.70] 好的,本节课到这里就结束了,
[0153.70-0156.70] 同学们,我们下节课见!
