[0003.12-0007.36] 同学们好,欢迎大家来到我的计算机组成员里韦克唐
[0007.36-0010.56] 在上节课中,我们给同学们介绍了
[0010.56-0015.92] 开始主存系统地址应设的其中一种方式,即直接硬设方式
[0015.92-0019.68] 本节课是有关直接硬设方式的习迪克
[0019.68-0023.68] 以帮助同学们对直接硬设方式的理解和记忆
[0023.68-0029.28] 首先,我们一起来复习一下上节课介绍的直接硬设方式的特点
[0029.60-0033.84] 每个主存数据块,硬设到开始中的一个固定行
[0033.84-0039.20] 这会导致开始利用率低,命中率低,冲突率高
[0039.20-0045.04] 也就是开始未满时,也可能出现需要进行数据块替换的情况
[0045.04-0049.95] 对于快速查找的硬价实践,直接硬设方式的成本角低
[0049.95-0052.99] 仅需要一码器和一个比较器
[0052.99-0059.23] 而不像下节课将会介绍的全相连硬设需要相连存主器来实现
[0059.47-0064.11] 因此,直接硬设方式适合于大容量开始使用
[0064.27-0068.43] 另外,直接硬设方式的替换算法较简单
[0068.43-0072.99] 如果访问不命中,则直接替换相应开始行即可
[0072.99-0076.75] 但是,若该开始行存在脏数据
[0076.75-0082.27] 则需要将脏数据写入二级存主器,以保证数据的一致性
[0082.27-0087.15] 在我们复习了上节课介绍的直接硬设方式的特点后
[0087.31-0089.71] 我们给同学们讲解两个立题
[0089.71-0095.90] 在每个立题之后,会请同学们挑战一道类似的408考研真题
[0095.90-0101.84] 本节课的最后,我们还会一起来完成一道408考研的综合大题
[0101.84-0104.64] 接下来,我们来看立题一
[0104.64-0108.80] 请同学们暂停播放视频,务必认真审题
[0108.80-0110.88] 之后,我们来一起分析
[0110.88-0118.50] 我们来一起分析
[0118.50-0123.62] 如都所示,这是将主存划分成了若干个等长的数据块
[0123.62-0127.78] 题目给定,每个主存数据块的大小为16字节
[0127.78-0132.18] 如都所示,这是包含有若干个太长的开始
[0132.18-0136.58] 题目给定,开始数据区的大小为64k字节
[0136.58-0140.34] 我们知道,各太长中的数据块副本的大小
[0140.34-0143.54] 与主存数据块的大小是相同的
[0143.78-0149.82] 因此,我们可以计算出本题中的开始所包含的开始行的数量
[0149.82-0153.10] 用开始数据区的大小64k字节
[0153.10-0156.86] 除以一个主存数据块的大小16字节
[0156.86-0159.22] 结果为2到12字方
[0159.22-0164.42] 因此,本题中的开始包含有2到12字方的开始行
[0164.42-0168.67] 开始行的编号从0到2到12字方-1
[0168.67-0171.95] 题目给定,主存地址为32位
[0172.03-0176.83] 我们之前刚刚计算出,太长的数量为2到12字方个
[0176.83-0182.27] 因此,主存地址中的开始行号部分所占的位数为12
[0182.27-0186.75] 因为12个二进之位可有2到12字方个组合
[0186.75-0189.98] 每个组合作为一个开始行号
[0189.98-0193.58] 需要说明的是,我们上节课已经介绍过了
[0193.58-0196.54] 主存地址中的开始行号部分也称为
[0196.54-0199.18] 开始行所引或index
[0199.26-0203.02] 在上节课中,为了让同学们更容易理解
[0203.02-0207.34] 我们一开始称其为主存分区中的数据块的编号
[0207.34-0210.16] 简称为区内数据块号
[0210.16-0214.80] 在同学们了解了直接硬设规则和编制方法后
[0214.80-0221.04] 将主存地址的这部分称为开始行号是最简单最直接的
[0221.04-0223.44] 主存地址中的框内地址部分
[0223.44-0228.72] 在上节课中,我们称其为数据块内偏移或offset
[0228.80-0231.60] 上节课,我们称其为框内地址
[0231.60-0233.20] 这样更简单
[0233.20-0235.92] 同时也是为了让同学们多了解一些
[0235.92-0238.96] 主存地址各部分的不同名称
[0238.96-0244.10] 因为不同教材、习题中使用的名称可能不同
[0244.10-0248.18] 题目给定,每个主存数据块的大小为16字节
[0248.18-0250.26] 主存按字节编制
[0250.26-0252.58] 因此,我们可以计算出
[0252.58-0256.50] 主存地址中的框内地址部分所占的位数为4
[0256.58-0260.98] 因为4个2进之位可有2的4次方共16个组合
[0260.98-0265.54] 用来对每个主存数据块中的16个字节进行编号
[0265.54-0270.40] 我们将框内地址部分所占的位数标记在上图中
[0270.40-0272.88] 这样,我们就很容易计算出
[0272.88-0279.25] 主存地址中主存分级号部分所占的位数,计算如下
[0279.25-0284.50] 我们将主存分级号部分所占的位数也标记在上图中
[0284.50-0286.18] 需要说明的是
[0286.26-0288.98] 主存分级号也称为标记Type
[0288.98-0292.96] 但称为主存分级号,同学们更容易理解
[0292.96-0297.92] 由于本地中,主存地址中的主存分级号部分占16位
[0297.92-0303.28] 因此可知,主存被划分成了2的16次方共分期
[0303.28-0310.67] 分期编号从0到2的16次方简衣,如同所示
[0310.67-0313.63] 我们知道,在直接硬核方式中
[0313.63-0316.51] 每个分期中所包含的数据块数量
[0316.59-0320.11] 与Type中Type行的数量是相同的
[0320.11-0323.23] 这也是主存地址中Type行号部分
[0323.23-0325.79] 又被称为区内数据块号的原因
[0325.79-0331.15] 因此,在本地中每个分区中包含有0到4095号
[0331.15-0333.23] 共4096个数据块
[0333.23-0336.91] 这正好与Type行中的2的12次方个
[0336.91-0341.02] 也就是4096个Type行一一对应
[0341.02-0346.54] 例如,这是分区0中各数据块与各Type行的对应关系
[0347.09-0352.51] 这是分区1中各数据块与各Type行的对应关系
[0352.51-0358.06] 这是最后一个分区中各数据块与各Type行的对应关系
[0358.06-0362.26] 接下来,我们来计算本地中Type的总容量
[0362.26-0365.94] 我们知道,在不考虑写出策略的情况下
[0365.94-0367.86] 在直接硬核方式中
[0367.86-0375.30] 每个Type行包含有,有效位,主存分期号,数据块副本共3个部分
[0375.55-0378.11] 其中,有效位为1位
[0378.11-0383.70] 对于本地,主存分期号的程度是我们刚刚计算出的16位
[0383.70-0387.38] 而数据块副本的大小,就是题目给定的
[0387.38-0390.13] 主存数据块的大小16字节
[0390.13-0397.98] 这样,我们就可以计算出一个开场的容量为1比特加16比特加16字节
[0397.98-0403.82] 我们之前分析过,本地中的开始包含有2的12次方个开始行
[0403.98-0408.86] 因此,本地中开始的总容量,计算如下
[0408.86-0413.34] 请同学们注意,计算结果,我们以比特为单位
[0413.34-0418.62] 因此,不要忘记,将括号中的16字节的数值16乘以8
[0418.62-0421.92] 并将字节单位改为比特单位
[0421.92-0425.60] 至此,我们就完成了Bt1的解析
[0425.60-0431.28] 接下来,请同学们趁热打铁,挑战这道408考研真题
[0431.36-0435.36] 请同学们暂停播放视频,动手练习一下
[0435.36-0444.24] 然后给出你的答案,为选项A
[0444.24-0446.08] 大家都选对了吗?
[0446.08-0450.14] 如果同学们忽略了我们之前提醒大家注意的
[0450.14-0455.42] 本题中的关键词,仅按照Bt1的方法来解决本题
[0455.42-0459.98] 则会得出答案为选项B,这已经很不错了
[0459.98-0464.85] 而更细致的同学,应该能够完全证券完成本题
[0465.25-0468.05] 本题与之前的立题一相比
[0468.05-0472.29] 主要的差别就是每个开场多包含有一位
[0472.29-0475.63] 用于写入策略的脏数据标志位
[0475.63-0479.23] 本题给定的具体写入策略为回写策略
[0479.23-0484.35] 也就是我们在之前有关开始的读写流程的那些课中
[0484.35-0487.63] 给同学们简单介绍过的写回策略
[0487.63-0491.54] 只不过,本题称其为回写策略
[0491.54-0494.10] 接下来,我们来看立题二
[0494.48-0498.88] 请同学们暂停播放视频,务必认真审题
[0498.88-0501.20] 之后,我们来一起分析
[0501.20-0508.11] 好的,我们来一起分析
[0508.11-0513.47] 如同所示,这是将主存划分成了若干个等长的数据划
[0513.47-0516.83] 本题给定,计算题字长为32位
[0516.83-0518.75] 也就是四字节
[0518.75-0521.47] 主存数据划大小为4个字
[0521.47-0526.19] 因此可知,主存数据划大小为4字节乘以4
[0526.19-0527.71] 根据提议
[0527.79-0530.51] 我们给每个主存数据划中的4个字
[0530.51-0533.87] 也就是本题第一问中所谓的主存单元
[0533.87-0535.15] 进行编号
[0535.15-0537.46] 以方便后续描述
[0537.46-0539.46] 根据本题所给的议制量
[0539.46-0543.54] 我们可以计算出开始中所包含开场的数量
[0543.54-0546.34] 用开始数据区大小1k字节
[0546.34-0548.82] 除以主存数据划的大小
[0548.82-0551.30] 也就是4字节乘以4
[0551.30-0553.22] 结果为64
[0553.22-0557.54] 因此,我们可以划出本题中的开始数据区
[0557.54-0558.98] 逛64行
[0558.98-0561.50] 编号从0到63
[0561.50-0562.54] 我们知道
[0562.54-0564.38] 各开场中的数据区
[0564.38-0567.42] 用来保存一个主存数据块副本
[0567.42-0570.62] 因此,各开场中的数据区的大小
[0570.62-0574.40] 与主存数据块的大小是相同的
[0574.40-0577.44] 各开场中,除了包含数据区
[0577.44-0579.92] 还包含有一个有效位
[0579.92-0582.64] 初始阶段,有效位取之为0
[0582.64-0585.47] 表明开场中的信息无下
[0585.47-0587.55] 对于直接映射方式
[0587.63-0591.07] 各开场中还包含有主存分区号
[0591.07-0593.31] 或者称为标记Type
[0593.31-0595.23] 由于本题中用不到
[0595.23-0598.67] 为了简单起见,就不再划出了
[0598.67-0600.67] 本题第一问给定
[0600.67-0606.19] CPU要依次从主存的0到25号单元读出26个字
[0606.19-0608.35] 每次读出一个字
[0608.35-0611.07] 并重复此顺序5次
[0611.07-0614.27] 要求我们计算开始访问的命中率
[0614.27-0616.46] 我们来具体分析一下
[0616.54-0618.54] 从该图可以看出
[0618.54-0620.46] 0到3号主存单元
[0620.46-0624.51] 所在主存数据块对应第0行开始
[0624.51-0627.63] 4到7号主存单元所在主存数据块
[0627.63-0629.47] 对应第1行开始
[0629.47-0630.67] 以此类推
[0630.67-0634.43] 24到27号主存单元所在主存数据块
[0634.43-0636.50] 对应第6行开始
[0636.50-0640.18] 要读取主存中0号单元的内容
[0640.18-0643.46] 首先会在开始中进行快速查找
[0643.46-0644.66] 未命中
[0644.74-0648.34] 于是,将主存中0号单元所在的数据块
[0648.34-0651.01] 再入到开始的第0行
[0651.01-0653.89] 并将该行的有效位质疑
[0653.89-0657.66] 表示该行所包含的信息有效
[0657.66-0658.86] 不难看出
[0658.86-0664.19] 之后要读取主存中1到3号单元的内容
[0664.19-0667.07] 在开始中进行快速查找
[0667.07-0668.94] 都会命中
[0668.94-0673.44] 这里我们用颜色来区分是否命中
[0673.44-0677.01] 要读取主存中4号单元的内容
[0677.09-0680.61] 首先会在开始中进行快速查找
[0680.61-0681.89] 未命中
[0681.89-0685.57] 于是将主存中4号单元所在的数据块
[0685.57-0688.35] 再入到开始的第1行
[0688.35-0691.34] 并将该行的有效位质疑
[0691.34-0694.70] 表示该行所包含的信息有效
[0694.70-0695.90] 不难看出
[0695.90-0700.88] 之后要读取主存中5到7号单元的内容
[0700.88-0703.76] 在开始中进行快速查找时
[0703.76-0705.20] 都会命中
[0705.20-0706.32] 以此类推
[0706.32-0708.66] 我们就不在这一数了
[0708.66-0712.34] 上图展示了对主存0到25号单元
[0712.34-0714.66] 进行第一轮次读取时
[0714.66-0716.66] 开始人命中率的情况
[0716.66-0718.50] 共26次读取
[0718.50-0720.74] 其中7次未命中
[0720.74-0722.42] 19次命中
[0722.42-0724.42] 由于第一轮次的读取
[0724.42-0726.74] 使得主存0到25号单元
[0726.74-0728.42] 所在主存数据块
[0728.42-0731.28] 都再入到了相应的开始行中
[0731.28-0733.84] 因此在之后的4轮
[0733.84-0735.76] 每轮26次读取中
[0735.76-0738.18] 每次读取都会命中
[0738.34-0739.06] 这样
[0739.06-0741.38] 我们就可以计算出本题第一问
[0741.38-0745.34] 要求我们计算的开始访问命中率
[0745.34-0746.62] 本题第二问
[0746.62-0749.50] 要求我们计算在该命中率下
[0749.50-0752.70] 开始主存系统的平均访问时间
[0752.70-0756.40] 计算过程和结果如下所示
[0756.40-0758.00] 用第二问给定的
[0758.00-0760.16] 开始访问时间10那秒
[0760.16-0762.24] 乘以开始访问命中率
[0762.24-0765.28] 得到开始访问的平均时间
[0765.28-0766.80] 用第二问给定的
[0766.80-0769.04] 主存访问时间100那秒
[0769.04-0771.04] 乘以数据缺失率
[0771.04-0772.16] 也就是
[0772.16-0774.40] 一减去开始访问命中率
[0774.40-0777.46] 得到主存访问的平均时间
[0777.46-0779.62] 将开始访问的平均时间
[0779.62-0782.26] 加上主存访问的平均时间
[0782.26-0787.54] 就得到了开始主存系统的平均访问时间
[0787.54-0788.58] 本题第三问
[0788.58-0789.78] 要求我们计算
[0789.78-0792.90] 开始主存系统的访问效率
[0792.90-0794.42] 用第二问给定的
[0794.42-0796.82] 开始访问时间10那秒
[0796.82-0798.18] 除以第二问
[0798.18-0799.62] 我们所计算出的
[0799.62-0802.42] 开始主存系统的平均访问时间
[0802.42-0804.18] 14.86那秒
[0804.18-0805.14] 即可得到
[0805.14-0809.38] 开始主存系统的访问效率
[0809.38-0810.18] 实际上
[0810.18-0811.86] 有关开始命中率
[0811.86-0813.14] 数据缺失率
[0813.14-0815.78] 开始主存系统的平均访问时间
[0815.78-0817.94] 访问效率的相关知识
[0817.94-0819.38] 我们在之前的
[0819.38-0822.10] 开始的相关基本概念的那些课中
[0822.10-0824.50] 已经给同学们介绍过了
[0824.50-0826.90] 本题相当于又复习了一遍
[0826.90-0828.61] 这些知识点
[0828.61-0829.49] 接下来
[0829.57-0831.49] 请同学们趁热打铁
[0831.49-0834.29] 小干热到408考研真题
[0834.29-0836.77] 请同学们暂停播放视频
[0836.77-0838.37] 动手练习一下
[0838.37-0844.42] 然后给出你的答案
[0844.42-0846.58] 本题的答案为选项C
[0846.58-0848.34] 大家都选对了吗
[0848.34-0850.72] 我们来一起分析一下
[0850.72-0852.08] 如同所示
[0852.08-0854.00] 这是根据体议画出的
