[0003.34-0007.34] 同学们好,欢迎大家来到我的计算机组成原理维可堂。
[0007.34-0014.34] 从本节课开始,我们要用几次课的时间,给同学们介绍替换算法的相关知识。
[0014.34-0021.41] 这里的替换算法是指开始中,主存数据块的替换算法,获成淘汰算法。
[0021.41-0026.41] 我们首先来看看,在开始主存系统中,何时使用替换算法?
[0026.41-0032.54] 这取决于所使用的地质因者方式,进而引出常用的替换算法。
[0032.54-0036.70] 首先来看,直接映射方式下,何时使用替换算法?
[0036.70-0044.70] 我们知道,在直接映射方式下,每个主存数据块只能映射到开始中的一个固定行。
[0044.70-0056.70] 例如在本例中,主存分区林中的数据块0123只能分别映射,或者说再入到开始中相应的行0123。
[0056.70-0064.24] 主存分区1中的数据块0123,也只能分别映射到开始中相应的行0123。
[0064.24-0073.56] 假设在仿存过程中,主存分区林中的数据块012,被一次再入开始中的相应行,如都所示。
[0073.56-0083.30] 之后,主存分区1中的数据块2,也要被再入开始中的相应行。
[0084.30-0092.30] 然而,开行之前已经再入了主存分区林中的数据块2,这样就产生了冲突。
[0092.30-0096.53] 尽管此时,开始中的第三行是空闲的。
[0096.53-0106.53] 通过本例可以看出,在直接映射方式下,开始未满时,最有可能出现冲突,需要进行开始中主存数据块的替换。
[0106.53-0115.72] 由于每个主存数据块只对应一个固定的开始行,因此不需要使用任何替换算法,直接替换即可。
[0115.72-0120.04] 再来看全相连映射方式下,何时使用替换算法。
[0120.04-0128.17] 我们知道,在全相连映射方式下,每个主存数据块可以映射到开始中的任意以行。
[0128.17-0134.20] 例如,在本例中,主存数据块0和映射到开始中的任意以行。
[0134.20-0138.20] 主存数据块7,也可映射到开始中的任意以行。
[0138.20-0147.87] 依此类推,假设在仿存过程中,主存数据块0、1、2、3被依次再入开始中,如同所示。
[0147.87-0159.39] 需要说明的是,尽管在全相连映射方式下,主存数据块可以映射到开始中的任意以行。
[0159.39-0166.39] 但是为了简单起见,本例中,我们按照开始行号从小到大的顺序进行存放。
[0166.39-0171.68] 之后,主存数据块7,也要被再入开始中。
[0171.68-0176.68] 按照全相连映射规则,它可被再入到开始中的任意以行。
[0176.68-0183.68] 然而,此时开始隐瞒,因此,不管将其再入到开始中的哪一行,都会产生冲突。
