[0002.51-0007.11] 同学们好,欢迎大家来到我的计算机组成原理维克堂。
[0007.11-0019.39] 在上节有关替换算法的习题课中,我们通过一道立题,给同学们对比了,使用LFU算法的仿存过程,与使用LRU算法的仿存过程。
[0019.39-0024.95] 之后,还请同学们参照立题,自行完成了一道相关的习题。
[0025.15-0034.95] 本节课呢,我们请同学们挑战两道有关替换算法的408考研真题,一道为选择题,另一道为综合大题。
[0034.95-0044.63] 首先,请同学们挑战这道选择题,请同学们暂停播放视频,动手练习一下,然后给出你的答案。
[0044.63-0056.22] 本题的答案是选项A,大家都选对了吗?我们来一起分析一下,如都所示,
[0056.38-0072.50] 这是题目给定的,包含有四个开始行的开始,题目给定,采用LFU阴设方式,也就是将行0和行1划分到组0,行2和行3划分到组1,每个组包含两个行。
[0072.50-0084.62] 因此,该开始仅包含有两个开始组,这样我们还可以划出组存数据块的分区情况,每个组存分区中包含有两个数据块,
[0084.78-0101.10] 分别对应开始中的一个组,例如,组存分区0中的数据块0和数据块1,分别对应开始中的组0和组1,组存分区1中的数据块0和数据块1,分别对应开始中的组0和组1。
[0101.26-0118.26] 以此类推,我们就不再坠述了,我们知道,对于组相连硬实方式,在组内采用的是全相连硬实方式,例如,组存分区0中的数据块0固定对应开始组0,但可对应组0内的任何一行。
[0118.26-0129.18] 同理,组存分区4中的数据块1固定对应开始组1,但可对应组1内的任何一行,以此类推,我们就不再坠述了。
[0129.66-0142.80] 题目给定,组存数据块的大小为一个字,并且组存按字编织,因此我们可写出各组存数据块的地址,这是题目给定的,在访问的组存地址序列。
[0143.12-0169.46] 不能看出,地址0中的组存数据块只能再入到开始组0,我们将组号记录在地址0的上方,地址4中的组存数据块只能再入到开始组0,我们将组号记录在地址4的上方,地址8中的组存数据块只能再入到开始组0,我们将组号记录在地址8的上方,以此类推,我们就不再坠述了。
[0170.03-0198.97] 通过上述分析,我们不能发现,对于题目给定的访存序列,本题转换成了,仅包含有两个开始行的全相连印设,接下来,我们就来分析题目给定的,采用LRU替换策略的访存过程,首先访问组存地址0中的数据块,由于此时各开始行为空,因此,开始访问为命中,需要将该地址中的组存数据块再入到开始组。
[0199.45-0214.29] 之前我们已经分析过了,题目转换成了全相连印设方式,因此,组存数据块可再入到任意一个开始行,为了简单起见,我们按照开始行号从小到大的顺序进行再入。
[0214.29-0227.56] 另外,为了简单起见,我们就用组存地址来表示组存数据块,组存数据块被再入到开始行0,相应的,需要将该行的淘汰技术器的值设置为0。
[0227.56-0257.17] 接下来,访问组存地址4中的数据块,这是各开始行的当前状态,可以发现,开始访问为命中,将组存数据块再入到开始行1,相应的,需要将该行的淘汰技术器的值设置为0,而其他技术值不为空的行,各自的技术器被加1,这是加1后的结果,此时,开始一满,接下来访问组存地址8中的数据块,这是各开始行的当前状态,
[0257.69-0287.61] 可以发现,开始访问为命中,需要将组存数据块再入到开始中,由于此时开始一满,根据LRU算法,技术值最大的开始行中的组存数据块被替换,因此,开始行0中的组存数据块被替换,此时,该行中的组存数据块被替换为组存地址8中的数据块,相应的,需要将该行的淘汰技术器的值清零,而其他技术值不为空的行,
[0287.61-0318.15] 各自的技术器被加1,结果如下,接下来访问组存地址2中的数据块,这是各开始行的当前状态,可以发现,开始访问为命中,需要将组存数据块再入到开始中,根据LRU算法,技术值最大的开始行中的组存数据块被替换,因此,开始行1中的组存数据块被替换,此时,该行中的组存数据块被替换为组存地址2中的数据块被替换,此时,该行中的组存数据块被替换为组存地址2中的数据块被替换,此时,该行中的组存数据块被�
[0318.15-0348.44] 组存数据块,相应的,需要将该行的淘汰技术器的值清零,而其他技术值不为空的行,各自的技术器被加1,结果如下,接下来访问组存地址0中的数据块,这是各开始行的当前状态,可以发现,开始访问为命中,需要将组存数据块再入到开始中,根据LRU算法,技术值最大的开始行中的组存数据块被替换,因此,开始行0中的组存数据块被替换,此时,该行中的组存数据块被替换,此时,该行中的组存数据块被替换,此时,该行中的组存
[0348.44-0378.82] 数据块被替换,此时,该行中的组存数据块被替换为组存地址0中的数据块,相应的,需要将该行的淘汰技术器的值清零,而其他技术值不为空的行,各自的技术器被加1,结果如下,接下来访问组存地址6中的数据块,这是各开始行的当前状态,可以发现,开始访问为命中,需要将组存数据块再入到开始中,根据LRU算法,组存地址6中的数据块,这是各开始行的当前状态,可以发现,开始访问为命中,需要将组存数据块再入到开始中,根据LRU
[0378.82-0409.34] 算法,技术值最大的开始行中的组存数据块被替换,因此,开始行一中的组存数据块被替换,此时,该行中的组存数据块被替换为组存地址6中的数据块,相应的,需要将该行的淘汰技术器的值清零,而其他技术值不为空的行,各自的技术器被加1,结果如下,接下来访问组存地址8中的数据块,这是各开始行的当前状态,
[0409.34-0439.34] 可以发现,开始访问为命中,需要将组存数据块再入到开始中,根据LRU算法,技术值最大的开始行中的组存数据块被替换,因此,开始行一中的组存数据块被替换,此时,该行中的组存数据块被替换为组存地址8中的数据块,相应的,需要将该行的淘汰技术器的值清零,而其他技术值不为空的行,各自的组存数据块被替换为组存地址8中的数据块,相应的,需要将该行的淘汰技术器的值清零,而其他技术值不为空的行,各自的组存
[0439.34-0469.26] 各自的技术器被加一,结果如下,接下来访问组存地址6中的数据块,这是各开场的当前状态,可以发现开始访问命中,相应的,需要将该行的淘汰技术器的值清零,而其他技术值不为空的行,各自的技术器被加一,结果如下,接下来访问组存地址4中的数据块,这是各开场的当前状态,可以发现
[0469.26-0499.65] 开始访问为命中,需要将组存数据块再入到开始中,根据LRU算法,技术值最大的开场中的组存数据块被替换,因此,开场0中的组存数据块被替换,此时,该行中的组存数据块被替换为组存地址4中的数据块,相应的,需要将该行的淘汰技术器的值清零,而其他技术值不为空的行,各自的技术器被加一,结果如下,接下来访问组存地址6中的数据块,这是各开场的当前状态,可以发现开始访问组存地址4中的数据块,这是各开场的当前
[0499.65-0529.78] 接下来访问组存地址8中的数据块,这是各开场的当前状态,可以发现开始访问为命中,需要将组存数据块再入到开始中,根据LRU算法,技术值最大的开场中的组存数据块被替换,因此,开场1中的组存数据块被替换,此时,该行中的组存数据块被替换为组存地址8中的数据块,相应的,需要将该行的淘汰技术器的值清零,
[0529.78-0561.44] 而其他技术值不为空子行,各自的技术器被加一,结果如下,这样,我们就记录下了本题中LRU算法的法文过程,可以看到,在十次访存中,仅有一次命中,从上所述,本题的答案是选项A,然而,本题的官方答案是选项C,我们来解释一下原因,如同所示,这是本课程中,我们给同学们介绍的
[0561.44-0591.66] 组相连印射方式的举例,经过之前的理论教学和相应的习迪克练习,相信同学们已经掌握了这种组相连印射方式的规则,这种规则,也是国内计算机组成原理相关典型教材中介绍的规则,然而,除了这种规则外,在这本被大家称之为计算机黑皮书之一的计算机组成原理的相关教材中,还给出了另一种规则,我们来简单介绍一下,
[0591.66-0619.07] 对于本题,主存分析0对应组0,主存分析1对应组1,主存分析2对应组0,主存分析3对应组1,以此类推就不再追数了,题目给定,主存数据化的大小为一个字,并且主存按字编织,因此,我们可写出个主存数据化的地址,这是题目给定的,待访问的主存地址系列,
[0619.37-0627.37] 不难看出,地址0中的主存数据化,只能再入到開始组0,我们将组号记录在地址0的上方。
[0627.37-0634.92] 地址4中的主存数据化,只能再入到开始组0,我们将组号记录在地址4的上方。
[0634.92-0642.70] 地址8中的组织数据化,只能再入到开始组0。我们将组号记录在地址8的上方。
[0642.70-0647.41] 地址2中的主存数据化,只能再入到开始组1。
[0647.41-0650.41] 我们将组哈记录在地址二的上方
[0650.41-0653.41] 依此类推,我们就不再追数了
[0653.41-0656.54] 接下来,请同学们自行完成
[0656.54-0659.54] 采用LRU替换策略的仿存过程
[0659.54-0661.54] 请同学们注意
[0661.54-0663.54] 我们之前刚刚分析过了
[0663.54-0665.54] 这些主存地址中的数据框
[0665.54-0669.86] 只能再入到开始组邻中的任意开场
[0669.86-0671.86] 而这些主存地址中的数据框
[0671.86-0675.86] 只能再入到开始组一中的任意开场
[0675.86-0678.78] 为了统一起见
[0678.78-0680.78] 再入主存数据框时
[0680.78-0684.78] 我们按开始行号从小到大的顺序进行再入
[0684.78-0686.78] 而进行主存数据框替换时
[0686.78-0690.04] 采用LRU替换策略
[0690.04-0693.04] 好的,请同学们暂停播放视频
[0693.04-0695.04] 务必动手练习一下
[0695.04-0702.20] 相信同学们都能正确完成
[0702.20-0704.33] 我们就不再追数了
[0704.33-0708.33] 可以看到,命中开始的次数为3
[0708.33-0711.33] 因此,本题官方答案是选项C
[0711.33-0715.46] 至此,可能有些同学会产生这样一个疑问
[0715.46-0719.46] 那就是,为什么在国内典型教材
[0719.46-0720.46] 以及本课程中
[0720.46-0723.46] 都没有介绍这种祖乡连印射规则呢?
[0723.46-0726.00] 我们来举例说明
[0726.00-0727.00] 如同所示
[0727.00-0731.29] 这是我们已经非常熟悉的祖乡连印射规则
[0731.29-0732.29] 如同所示
[0732.29-0736.29] 这是本节课才引入的另一种祖乡连印射规则
[0736.29-0741.58] 假设依次访问主存分区邻中的数据跨0123
[0741.58-0743.58] 然后重复一次
[0743.58-0745.58] 请同学们思考一下
[0745.58-0747.58] 上述两种祖乡连印射规则
[0747.58-0750.58] 在使用RRUT换策略的情况下
[0750.58-0755.69] 开始命中率为多少呢?
[0755.69-0757.69] 相信同学们都能正确得出
[0757.69-0759.69] 因为这种练习
[0759.69-0761.69] 我们从上节课到这节课
[0761.69-0763.69] 已经练习了多次
[0763.69-0765.69] 通过本例可以看出
[0765.69-0767.69] 在顺序访问的情况下
[0767.69-0770.69] 也就是满足程序访问局不幸的情况下
[0770.69-0774.69] 右侧这种祖乡连印射规则的开始命中率高
[0774.69-0775.69] 这次
[0775.69-0777.69] 相信同学们已经理解了
[0777.69-0778.69] 在本课程中
[0778.69-0782.69] 为什么只介绍了右侧这种祖乡连印射规则
[0782.69-0785.85] 请同学们进一步思考一下
[0785.85-0789.85] 上述两种祖乡连印射规则的主存地址结构
[0789.85-0790.85] 是否相同呢?
[0790.85-0795.19] 这是本课程所介绍的
[0795.19-0798.19] 这种祖乡连印射规则的主存地址结构
[0798.19-0802.19] 是要求同学们必须记住并会应用的
[0802.19-0806.19] 而左侧这种祖乡连印射规则的主存地址结构
[0806.19-0808.19] 与右侧的是不同的
[0808.19-0811.19] 有兴趣的同学可自行推导看看
[0811.19-0813.61] 我们就不再深入介绍了
[0813.61-0814.61] 接下来
[0814.61-0816.61] 我们来一起挑战这道
[0816.61-0819.61] 2020年的408考研真题
[0819.61-0822.61] 请同学们暂停播放视频
[0822.61-0823.61] 认真审题
[0823.61-0825.61] 之后我们来一起分析
[0825.61-0830.74] 好的
[0830.74-0831.77] 我们来一起分析
[0831.77-0833.77] 如读所示
[0833.77-0835.77] 这是将本题所给的已知量
[0835.77-0837.77] 带入到我们已经非常熟悉的
[0837.77-0839.77] 祖乡连印射分析模板中的结果
[0839.77-0842.77] 相信同学们都能正确完成
[0842.77-0844.77] 我们就不再坠述了
[0844.77-0847.80] 在之前的有关替换算法的那些课中
[0847.80-0849.80] 我们给同学们介绍了
[0849.80-0851.80] ILRU位的概念
[0851.80-0853.80] 它是ILRU算法中
[0853.80-0856.80] 各开场的淘汰技术器的数值
[0856.80-0859.80] 对于包含有N个开场的全乡连印射
[0859.80-0861.80] ILRU位所占的位数
[0861.80-0864.80] 等于LOG以2为底N的对数
