[0003.28-0007.68] 同学们好,欢迎大家来到我的计算机组成员里威克唐。
[0007.68-0033.40] 在之前的几次课中,我们一次给同学们介绍了开始的相关基本概念,开始的读写流程,开始主存系统的第一个硬设,包括直接硬设,前箱列硬设,组箱列硬设,开始替换算法,包括随机替换,fifo算法,lfu算法,lru算法,开始的写入策略。
[0033.40-0042.97] 包括写开始命中情况下的写回法和写穿法,写开始未命中情况下的写分配法和非写分配法。
[0042.97-0051.70] 本节课作为本课程中有关开始的最后一节课,我们给同学们介绍开始的分类和应用。
[0051.70-0062.47] 在计算机系统中,存在性能差异的地方都可以使用开始技术,开始可分为硬点开始和软件开始两大类。
[0062.90-0080.14] 硬点开始按其技术发展阶段一般分为早期的统一开始,对其改进后的分离开始,目前主流的多级开始,而软件开始常用的有buffer开始,web开始。
[0080.14-0093.34] 接下来,我们首先来看属于硬点开始的统一开始,如都所示,在开始发展的早期阶段,指令和数据都存放在同一个开始中,
[0093.54-0122.06] 称为统一开始,其优点是设计和实现都相对简单,而且缺点是,对于后面出现的指令预计技术,存取数据与取指令会发生冲突,为了解决该问题,发展出了分离开始,将开始分成各自独立的数据开始与指令开始,则不存在存取数据与取指令发生冲突的问题。
[0122.56-0144.04] 需要说明的是,指令预计技术是指令流水线的重要组成部分,同学们暂时不理解也没有关系,我们将在后续章节中进行介绍,各自独立的指令开始与数据开始,还可以充分利用指令和数据的不同局部性来优化性能。
[0144.76-0161.92] 在分离开始的基础上,如果能够将开始集成到CPU内部,就可以减少对外部总线的访问,进一步提高系统性能,这样就引出了目前广泛使用的CPU片内多级开始。
[0161.92-0169.34] 例如,下图所示的是,典型的英特尔库瑞I7CPU片内多级开始结构。
[0169.81-0190.92] 我们来进一步介绍,该多级开始结构分为三级,级为L1开始,L2开始,L3开始,成为一级开始,二级开始,三级开始,每个CPU盒包含有两个独立的一级开始,分别是数据开始和指令开始。
[0191.68-0203.08] 每个CPU盒还包含有一个二级开始,由该盒内两个独立的数据开始和指令开始共用,因此成为二级联合开始。
[0203.94-0213.69] 在这个多盒CPU中,还包含有一个三级开始,由所有盒共享,因此成为三级联合开始。
[0213.69-0241.42] 查阅该CPU的相关信息就可以知道,其片内各级开始的数据区大小,硬射方式,以及存取时间等信息,每个一级开始的数据区大小均为32k字节,采用八度组相连硬射方式,存取时间为4个时钟周期,每个二级开始的数据区大小均为256k字节,采用八度组相连硬射方式,
[0241.42-0255.94] 存取时间为11个时钟周期,三级开始的数据区大小均为8兆字节,采用16度组相连硬射方式,存取时间为30-40个时钟周期。
[0255.94-0271.93] 而该CPU所有片内开始所对应的主存数据块的大小均为64字节,通过本力可以看出,越靠近CPU内核的开始,存取速度越快,但容量越小。
[0271.93-0296.56] 接下来,给同学们布置两个小任务,一个是按上述方式给出你目前使用计算机中CPU的片内开始结构,另一个是请查阅资料,看看最早使用三级开始的CPU是哪款CPU,当时三级开始是否已经集成到CPU内部。
[0296.56-0310.04] 好的,再来看属于软件开始的BUSHER开始,BUSHER开始通常指操作系统或数据库系统中用于存处经常访问的数据的一种缓存机制。
[0310.04-0326.07] 操作系统使用BUSHER开始来缓存文件系统的数据,当应用程序请求读取或写入数据时,操作系统可从内存中的BUSHER开始中快速提供数据,而不是每次都从磁盘读取。
[0326.07-0339.23] 例如,上图所示,机械硬盘与主存之间的速度、容量、成本都相差巨大,才用BUSHER开始技术,可以优化机械硬盘的仿佛性能。
[0339.23-0351.52] 需要说明的是,机械硬盘内部也集成有硬件开始,以提升读写性能,其容量通常为8兆字节到512兆字节。
[0351.52-0363.52] 目前,固态硬盘已逐渐替代机械硬盘成为主流,有些固态硬盘中带有硬件开始,而有些固态硬盘中不带硬件开始。
[0363.52-0372.97] 那么,你会选择哪一种呢?我想,这需要结合应用程序、性价比等综合因素进行选择。
[0372.97-0379.54] 数据库系统需要BUSHER开始来缓存数据库表和所引的数据。
[0379.54-0390.64] 当查询设计到的数据已经在BUSHER开始中时,数据库系统可以快速响应查询请求,而不需要从磁盘读取数据。
[0390.64-0395.22] 另一种常见的软件开始是web开始。
[0395.22-0404.22] 我们在计算机网络课程第六章中,有关万维网的那些课中有进一步介绍,这里就不再坠述了。
[0404.22-0411.38] 接下来,请同学们趁热打铁,挑战热到相关的408考研整体。
[0411.44-0417.44] 请同学们暂停播放视频,思考一下,然后给出你的答案。
[0417.44-0427.24] 相信同学们都能正确完成,我们就不再坠述了。
[0427.24-0430.91] 好的,本节课到这里就结束了。
[0430.91-0434.91] 我们将本节课的主要内容小节如下。
[0434.91-0440.79] 同学们,我们下节课见!
