[0003.09-0007.39] 同学们好,欢迎大家来到我的计算级组成原理微课堂。
[0007.39-0014.29] 在上礼课中,我们给同学们介绍了夜市虚拟存主器的相关概念和基本工具原理。
[0014.29-0019.99] 我们知道了,采用夜市虚拟存主器由于缺业处理的代价较大,
[0019.99-0026.39] 因此,主存与复存之间采用全相连硬射方式,以提高运动率。
[0026.59-0033.29] 那么,本节课呢,我们就给同学们介绍夜市虚拟存主器采用的全相连硬射方式,
[0033.29-0036.59] 以及用于记录这种硬射关系的页表。
[0036.59-0043.92] 实际上,我们在之前学习开始主存系统时,就已经学习过全相连硬射了。
[0043.92-0051.22] 我们来一起回忆一下,如同所示,在开始主存系统中,全相连硬射的规则是,
[0051.42-0056.32] 每个主存数据块都可硬射到开始中的任何一个开厂。
[0056.32-0062.22] 例如,主存数据块必零,可以硬射到开始中的任何一个开厂。
[0062.22-0068.72] 又例如,这个主存数据块也可以硬射到开始中的任何一个开厂。
[0068.72-0074.55] 对于主存中的某个信息,我们可以用该信息所在主存数据块的地址,
[0074.55-0079.65] 以及块内添移两部分来描述其在主存中的位置。
[0079.98-0085.98] 这样,我们就得到了在开始主存系统中,信息的主存地址构成。
[0085.98-0090.38] 对于开始中的每个开始行,即数据块的负本缓中区,
[0090.38-0097.98] 用于存放一个主存数据块的负本,而标记Tag用于存放相应的主存数据块地址。
[0097.98-0103.00] 有效位用于指示该开始行中的数据是否有效。
[0103.00-0108.50] 当要访问主存中的某个信息时,首先会通过该信息的主存地址,
[0108.50-0115.40] 在开始中进行快速查找,也就是用该信息主存地址中的主存数据块地址,
[0115.40-0119.40] 与各开始行中的标记Tag进行并发比较。
[0119.40-0126.20] 比较结果相等的那个开始行,如果其有效位的值为一,则该开始行被命中。
[0126.20-0132.20] 也就是说,带访的信息位于该开始行中的数据块负本缓中区中,
[0132.20-0136.30] 而带访的信息主存地址中的块内偏移的值,
[0136.40-0141.80] 用于指示带访的信息在数据块负本缓中区中的位置。
[0141.80-0146.80] 在回忆了开始主存系统中的全相连应设的相关支持后,
[0146.80-0151.49] 我们来看夜市虚拟存主器采用的全相连应设。
[0151.49-0158.99] 在夜市虚拟存主器中,每个虚拟业可以存放到主存中的任何一个空显的物理业,
[0158.99-0164.98] 例如诱毒所示,虚拟业VPR存放在了物理业PP0中,
[0165.08-0168.78] 虚拟业VP3存放在了物理业PP1中,
[0168.78-0172.58] 虚拟业VP5存放在了物理业PP2中,
[0172.58-0176.54] 虚拟业VP7存放在了物理业PP3中,
[0176.54-0180.14] 而这些是某个进程相关的虚拟业,
[0180.14-0182.54] 它们存主在辅存中。
[0182.54-0189.38] 通过本地可以看出,该进程的某些虚拟业已从辅存掉入了主存。
[0189.38-0193.08] 在本地中,我们仅展示了一个进程的情况,
[0193.08-0196.48] 实际上,对于多任无系统中的每个进程,
