[0003.31-0007.41] 同学们好,欢迎大家来到我的计算机组成员历维克堂。
[0007.41-0010.91] 从本节课开始,我们进入第六章的学习。
[0010.91-0013.41] 第六章的内容是中央处理器。
[0013.41-0016.91] 本节课,我们对中央处理器进行概述。
[0016.91-0022.51] 中央处理器的英文缩写词为CPU,它是整个计算机的核心。
[0022.51-0029.00] CPU会按照指定的要求,控制计算机的各部件协调工作,
[0029.00-0033.60] 并且还要对信息处理过程中出现了异常情况进行处理。
[0034.02-0040.62] CPU商量复位后,就进入了取指异码执行指定的永久工作循环。
[0040.62-0046.09] 实际上,我们在第一章有关计算机的基本工作原理的那些课中,
[0046.09-0052.89] 就通过举例给同学们简单介绍过CPU进行取指异码执行指定的过程。
[0052.89-0057.18] 在同学们学习了第一章到第五章的相关知识后,
[0057.18-0062.58] 大家现在已经具备了进一步深入学习CPU相关知识的能力。
[0062.78-0070.34] 接下来,我们首先介绍CPU应该实现的主要功能和分为程序控制、
[0070.34-0077.13] 操作控制、实序控制、以及异常和中段处理等四个方面。
[0077.13-0081.51] 程序控制是指控制程序的执行顺序。
[0081.51-0084.71] 通过之前相关章节的学习,我们知道,
[0084.71-0089.71] 通常情况下,程序中的指定按存储顺序自动执行。
[0089.91-0093.31] 若遇到分支指令且分支条件满足,
[0093.31-0098.31] 或者遇到跳转指令,则会改变程序的执行顺序。
[0098.31-0102.71] CPU必须能够正确获取到下一条指定的地址。
[0102.71-0109.24] 操作控制是指产生指令执行过程中所需的若干操作控制信号,
[0109.24-0113.84] 以控制相应部件按指令规定的操作正确运行。
[0114.26-0120.79] 持续控制是指控制每个操作控制信号的开始时刻和持续时长,
[0120.79-0124.39] 以便按规定的持续执行每个操作。
[0124.39-0127.05] 异常和中段处理是指,
[0127.05-0130.85] 当出现内部异常或外部中段请求时,
[0130.85-0134.45] CPU应暂时中段当前执行的程序,
[0134.45-0137.05] 并进行异常或中段处理。
[0137.05-0141.45] 处理完成后,还要返回钻点,继续执行程序。
[0142.10-0143.90] 常见的内部异常有,
[0143.90-0147.50] 未定义指令,整数出零,缺业等,
[0147.50-0150.90] 而中段请求,一般由外部设备产生。
[0150.90-0153.93] 上述四个方面主要功能的实现,
[0153.93-0156.73] 与CPU的结构密切相关。
