[0003.44-0007.44] 同学们好,欢迎大家来到我的计算机组成原理微课堂。
[0007.44-0013.44] 在上级课中,我们给同学们介绍了指令周期各阶段的数据流。
[0013.44-0017.44] 本节课,我们给同学们介绍数据通路的相关知识。
[0017.44-0022.44] 数据通路是指数据在各功能部件之间传送的路径。
[0022.44-0029.50] 而CPU内部的数据通路,就是指运算器与各计存器之间的数据传送路径。
[0029.50-0034.73] 数据在数据通路中的传送操作,需要在控制信号的控制下进行。
[0034.73-0040.73] 不同指令,在指令周期的不同阶段,可能使用不同的数据通路。
[0040.73-0046.89] 同一指令,在指令周期的不同阶段,也可能使用不同的数据通路。
[0046.89-0052.92] 综上所说,数据通路的结构,对CPU内各种数据的传送路径,
[0052.92-0059.92] 各种指令执行所需要的微操作控制信号,以及控制器的设计等都有重要影响。
[0059.92-0064.98] 所谓微操作,是指最基本的,不可再松革的动作。
[0064.98-0073.94] 数据通路的基本结构,一般分为以下两种,一种是总线,另一种是专用通路。
[0073.94-0081.65] 三节课,以及之后的三次习题课,我们将微操总线结构的数据通路进行展开。
[0081.65-0088.81] 之后,我们还要用几次课的时间,给同学们介绍专用通路结构的数据通路。
[0088.81-0094.97] 接下来,我们就微操政府图,给同学们介绍总线结构的数据通路。
[0094.97-0099.54] 这部分是CPU,这是CPU的内部总线。
[0099.54-0107.93] 它连接运算器和各类计存器,构成了CPU内部的单总线结构的数据通路。
[0107.93-0118.70] 这是CPU外部的总线,用于连接CPU、主存以及Io设备等部件,也称为系统总线或外部总线。
[0118.70-0125.70] 这是CPU内部的算数逻辑单元ALU,与其配套的有暂存计存器X和Z。
[0125.70-0137.89] 其中X用于暂存ALU的其中一个操作数,Z用于暂存ALU的运算结果,而ALU的另一个操作数来自CPU的内部总线。
[0137.89-0149.21] 这是CPU内部的程序状态字计存器PSW,用于暂存ALU的运算状态标志,状态标志将送入操作控制器。
[0149.21-0155.39] 这是CPU内部的通用计存器组,也称为计存器堆。
[0155.39-0164.58] 它包含一组通用计存器,可通过通用计存器的编号对相应的通用计存器进行读写操作。
[0164.58-0170.71] 该短口为输出计存器编号,而该短口为写入计存器编号。
[0170.71-0177.06] 指令计存器AL中的指令,经过指令一码七的一码,送入操作控制器。
[0177.06-0191.10] 在时中信号的配合下,产生操作控制信号,例如CPU内的各种控制信号,又例如,这是CPU外的通过控制总线传送给主存的读写控制信号。
[0191.10-0206.42] 另外,CPU内的存主器地址计存器MAR和存主器数据计存器MBR,不仅与CPU内部的单总线相连,还通过外部总线中的数据总线和地址总线与主存相连。
[0206.42-0211.77] 为了简单起见以及方面描述,我们做以下假设。
[0211.77-0216.83] 一,主存和所有计存器都是32位的。
[0216.83-0226.09] 二,写入操作,例如像计存器或主存写入信息,有统一的时中控制,上升延有效。
[0226.09-0240.09] 请同行注意,对于采用单总线结构的CPU内部总线,CPU内的运算器、控制器、专用计存器、通用计存器等核心部件都通过这条内部的公众总线连接。
[0240.09-0247.25] 同一时刻,只能有一个部件向总线发动数据,否则会出现数据冲突。
[0247.25-0258.28] 因此,连接到总线上的部件都需要进行输出控制,也就是在使用图中所示的三太门,以防止总线上出现数据冲突。
[0258.28-0262.28] 而各部件可同时接收总线上的数据。
[0262.28-0274.47] 另外,本地中的单总线并不是指由一根物理传输线构成的总线,而是指CPU内部各部件都共享该公众总线来传输信号。
[0274.47-0286.92] 接下来,我们以MIPS32指令为例,基于上述所示的CPU内部单总线结构,分析不同类型指令的执行流程及其所涉及到的数据通路。
[0286.92-0295.92] 请同学们注意,实际上MIPS32架构处理器内部采用的并不是单总线结构,但这并不影响我们学习。
[0295.92-0303.92] 我们之所以这样举例,是因为我们之后会介绍数据通路的另一种基本结构,也就是专用通路。
[0303.92-0312.92] 在介绍专用通路时,我们仍然采用MIPS32指令,以方便与采用单总线结构的数据通路进行对比。
[0312.92-0325.14] 可能有些同学还会产生这样的疑问,那就是,我们没有学习过MIPS32指令级,直接以MIPS32指令为例,介绍相应的数据通路能行吗?
[0325.14-0330.87] 请同学们放心,我们一样能够学得很好。
[0330.87-0341.87] 不知大家是否还记得,我们在上一章,也就是第五章,指令系统的第二次综合系统课中,一起分析过这道408考研综合大题。
[0341.87-0354.87] 该题并没有告诉我们所采用的具体指令级是什么,只是给出了R型,I型,J型三种指令格式,及其先用的指令功能,但这并不影响我们解题。
[0354.87-0365.87] 实际上,该题所采用的指令级与MIPS32指令级比较相似,只不过是16位定长指令级,而MIPS32是32位定长指令级。
[0365.87-0377.03] 接下来,我们就以MIPS32指令为例,分析不同类型指令,基于CPU内部单总线结构的执行流程,及其所涉及到的数据通路。
[0377.03-0390.10] 首先来看LW指令,LW是Load World的英文缩写词,该指令的功能是从主存读取一个32位的存储字到通用计存器RG。
[0390.10-0395.70] 这是该指令的会变代码,这是该指令主要执行的操作。
[0395.70-0407.22] 我们来具体说明,这部分表示将16位有符号立即数imm进行符号扩展,扩展为32位有符号数。
[0407.22-0416.73] 这部分表示,编号为RS的通用计存器的内容,上述两部分相加,就得到了操作数的主存地址。
[0416.73-0423.79] 请同学们想想看,该指令的操作数群指方式属于哪种群指方式呢?
[0423.79-0427.75] 没错,属于变值群指方式。
[0427.75-0435.75] 我们在上一章,也就是第五章指令系统,有关操作数群指方式的第二次课中,曾给同学们介绍过。
[0435.75-0446.91] 这次,相信很多同学已经看出来了,这部分表示的就是主存中的操作数,而这部分表示编号为RT的通用计存器。
[0446.91-0458.10] 请同学们注意,尽管这两部分的表示方法相同,但是作为一员,用来表示计存器的内容,作为目标,用来表示计存器。
[0459.42-0467.42] 接下来,我们就要基于呆图,给同学们介绍LW指令的执行流程,及其所涉及到的数据通路。
[0467.42-0472.58] 我们首先给出该指令的指令周期,如同所示。
[0472.58-0480.54] 这四个CPU时中周期,构成取指周期,用于从主存取出一条指令。
[0480.54-0487.80] 接下来的两个CPU时中周期,构成计算周期,用于计算操作数的有效地址。
[0487.80-0497.38] 接下来的三个CPU时中周期,构成执行周期,用于实现指令功能,为了后续描述方便。
[0497.38-0510.66] 我们将每个CPU时中周期比喻为一个节拍,这是取指周期的四个节拍,这是计算周期的两个节拍,这是执行周期的三个节拍。
[0510.66-0516.66] 我们来看看对于LW指令,其指令周期的二个节拍,所要执行的操作。
[0516.66-0522.01] 这是LW指令取指周期的第一个节拍,所要执行的操作。
[0522.01-0532.46] 也就是将程序计算器PC的值,送入存处器地址计算器MAR,同时还要送入暂存计算器X。
[0532.46-0537.46] 这是LW指令取指周期的第二节拍,所要执行的操作。
[0537.46-0544.46] 也就是以MAR的内容为地址,从主存取出指令,并送入存处器数据计算器MBR。
[0544.46-0551.68] 同时将暂存器S的内容与四相加,运算结果送入暂存计算器Z。
[0551.68-0554.68] 这是后续各节拍,所要执行的操作。
[0554.68-0561.68] 稍后我们会将每个节拍所执行的操作都带入之前的那幅图中进行演示。
[0561.68-0566.68] 因此,目前就不再介绍每个节拍,所要执行的具体操作了。
