[0004.24-0008.60] 同學們好 歡迎大家來到我的計算機組成原理維克堂
[0008.60-0011.52] 在上禮課中 我們給同學們介紹了
[0011.52-0016.92] 早期計算機採用狀態周期 節拍電位和節拍脈衝3D時序
[0016.92-0019.76] 對操作控制信號進行定時控制
[0019.76-0024.84] 本節課 我們給同學們介紹能夠產生這3D時序的硬件
[0024.84-0029.28] 也就是時序發生器的工作原理和設計方法
[0029.28-0030.56] 如讀所示
[0030.72-0035.20] 這是傳統3D時序中的時序發生器的組成框圖
[0035.20-0038.56] 其中 晶體震盪器作為脈衝元
[0038.56-0041.16] 經過時序整形和分頻號
[0041.16-0044.42] 得到3D時序中的節拍脈衝信號
[0044.42-0047.70] 它作為時序發生器的其中一個輸入源
[0047.70-0049.42] 經過時序發生器
[0049.42-0054.02] 產生3D時序中的狀態周期信號和節拍電位信號
[0054.02-0057.14] 對於定場指定周期的同步控制方式
[0057.14-0059.86] 狀態周期信號和節拍電位信號
[0059.86-0064.50] 僅與節拍脈衝信號相關 如讀所示
[0064.50-0067.66] 對於定場指定周期的同步控制方式
[0067.66-0070.70] 狀態周期信號和節拍電位信號的產生
[0070.70-0074.82] 還可能與指定一碼信號和返回信息信號相關
[0074.82-0076.10] 如讀所示
[0076.10-0079.44] 除上述輸入信號外
[0079.44-0084.08] 時序發生器還應具有啟動 停止 膚味等控制信號
[0084.08-0087.20] 以確保節拍電位從第一個節拍開始
[0087.20-0089.08] 到最後一個節拍結束
[0089.08-0092.08] 這樣可以確保狀態周期的完整性
[0092.47-0096.39] 在同學們了解了時序發生器的輸入輸出信號號
[0096.39-0098.15] 接下來的問題就是
[0098.15-0101.63] 應該如何實現時序發生器呢?
[0101.63-0105.83] 實際上時序發生器就是一個同步時序電路
[0105.83-0108.51] 這是數點課程中的一個重點內容
[0108.51-0110.95] 不知學習過數點課程的同學們
[0110.95-0113.03] 對其是否還有印象
[0113.03-0116.67] 同步時序電路可以利用摩爾晴有線狀態機
[0116.67-0118.43] 進行設計 實現
[0118.43-0119.99] 具體來說就是
[0119.99-0122.95] 利用有線狀態機描述狀態周期
[0122.95-0126.86] 以及節拍電位各種不同狀態的變化情況
[0126.86-0129.38] 至此 相信大部分同學
[0129.38-0133.50] 多少能夠回憶起來一些數點課程中的相關知識
[0133.50-0137.34] 大家在數點課程中一定學習過技術器
[0137.34-0140.50] 甚至做過技術器相關的課程設計
[0140.66-0143.02] 技術器通常被認為是
[0143.02-0147.40] 同步時序電路中最經典和常見的例子之一
[0147.40-0150.00] 沒有學習過數點課程的同學
[0150.00-0151.72] 又或者是學習過
[0151.72-0154.84] 但已經忘記了利用摩爾晴有線狀態機
[0154.84-0156.56] 進行設計的同學
[0156.56-0158.30] 也不用糾結
[0158.30-0161.82] 接下來 我們就以上節課給同學們介紹過的
[0161.82-0164.74] 某種定場指令周期的三級時序為例
[0164.74-0166.14] 給同學們介紹
[0166.14-0171.10] 如何設計能夠產生這種三級時序的時序發動器
[0171.10-0175.02] 這段時間 取指周期信號和節拍電位一信號
[0175.02-0178.38] 都處於有效電瓶 也就是高電瓶
[0178.38-0181.94] 表示當前處於取指周期的節拍電位一
[0181.94-0185.15] 我們將其繼為狀態S0
[0185.15-0186.91] 接下來的這段時間
[0186.91-0191.27] 取指周期信號和節拍電位二信號都處於有效電瓶
[0191.27-0194.75] 表示當前處於取指周期的節拍電位二
[0194.75-0198.10] 我們將其繼為狀態S1
[0198.10-0199.78] 接下來的這段時間
[0199.78-0204.18] 取指周期信號和節拍電位三信號都處於有效電瓶
[0204.18-0207.38] 表示當前處於取指周期的節拍電位三
[0207.38-0210.59] 我們將其繼為狀態S2
[0210.59-0212.39] 接下來的這段時間
[0212.59-0217.07] 取指周期信號和節拍電位四信號都處於有效電瓶
[0217.07-0220.35] 表示當前處於取指周期的節拍電位四
[0220.35-0224.42] 我們將其繼為狀態S3
[0224.42-0226.14] 接下來的這段時間
[0226.14-0230.82] 計算周期信號和節拍電位一信號都處於有效電瓶
[0230.82-0234.54] 表示當前處於計算周期的節拍電位一
[0234.54-0237.95] 我們將其繼為狀態S4
[0237.95-0239.67] 接下來的這段時間
[0239.67-0244.39] 計算周期信號和節拍電位二信號都處於有效電瓶
[0244.43-0248.07] 表示當前處於計算周期的節拍電位二
[0248.07-0251.77] 我們將其繼為狀態S5
[0251.77-0253.53] 接下來的這段時間
[0253.53-0258.29] 計算周期信號和節拍電位三信號都處於有效電瓶
[0258.29-0261.69] 表示當前處於計算周期的節拍電位三
[0261.69-0265.33] 我們將其繼為狀態S6
[0265.33-0267.09] 接下來的這段時間
[0267.09-0271.61] 計算周期信號和節拍電位四信號都處於有效電瓶
[0271.61-0274.93] 表示當前處於計算周期的節拍電位四
[0274.93-0278.54] 我們將其繼為狀態S7
[0278.54-0280.30] 接下來的這段時間
[0280.30-0284.70] 執行周期信號和節拍電位一信號都處於有效電瓶
[0284.70-0287.94] 表示當前處於執行周期的節拍電位一
[0287.94-0290.71] 我們將其繼為狀態S8
[0290.71-0292.55] 接下來的這段時間
[0292.55-0297.15] 執行周期信號和節拍電位二信號都處於有效電瓶
[0297.15-0300.31] 表示當前處於執行周期的節拍電位二
[0300.31-0303.26] 我們將其繼為狀態S9
[0303.26-0305.06] 接下來的這段時間
[0305.06-0309.78] 執行周期信號和節拍電位三信號都處於有效電瓶
[0309.78-0313.26] 表示當前處於執行周期的節拍電位三
