[0004.05-0008.27] 同學們好 歡迎大家來到我的計算機組成原理維克堂
[0008.27-0012.51] 在上幾課中 我們給同學們介紹了維程序的設計
[0012.51-0017.61] 例如 這是採用下指字段法的BQ指令的維程序
[0017.61-0022.76] 這是採用技術技法的BQ指令的維程序
[0022.76-0027.32] 需要說明是 在上幾課中
[0027.32-0031.22] 維指令的操作控制字段採用的是直接表示法
[0031.22-0035.50] 也就是每個二經之位定義為一個維命領位
[0035.50-0040.14] 取之為一 表示需要產生相應的維操作控制信號
[0040.14-0044.86] 取之為零 表示不需要產生相應的維操作控制信號
[0044.86-0049.55] 這樣 當從控制存儲器中取出一條維指令號
[0049.55-0053.19] 其操作控制字段中取之為一的維命領位
[0053.19-0057.47] 就可直接用於控制數據通路中的執行部架
[0057.47-0062.37] 直接表示法的優點是 簡單 維操作的並行能力強
[0062.37-0063.81] 操作速度快
[0064.07-0068.59] 直接表示法的缺點是 對於比較複雜的計算機系統
[0068.59-0072.39] 其維命領的數量比較大 甚至上百個
[0072.39-0076.23] 如果維指令的操作控制字段採用直接表示法
[0076.23-0080.27] 則操作控制字段就需要包含大量的維命領位
[0080.27-0082.59] 這會導致維指令過長
[0082.59-0084.32] 那麼本節課呢
[0084.32-0089.64] 我們給同學們介紹維指令中操作控制字段的另一種表示方法
[0089.80-0091.84] 那就是編碼表示法
[0091.84-0094.64] 也稱為自斷一碼法
[0094.64-0099.12] 之後還會介紹將直接表示法和編碼表示法
[0099.12-0102.02] 結合起來的混合表示法
[0102.02-0105.43] 我們首先來看編碼表示法
[0105.43-0107.65] 如同所示
[0107.65-0114.71] 將維指令格式中用於操作控制的所有維命領位編碼到若干個字段中
[0114.71-0119.67] 各字段中包含的若干個維命領位相應的維操作控制信號
[0119.67-0121.30] 均為互制的
[0121.30-0124.02] 各字段通過相應的一碼器生成
[0124.02-0125.54] 或者說激活
[0125.54-0128.50] 一個有效的維操作控制信號
[0128.69-0130.61] 這些維操作控制信號
[0130.61-0132.13] 僅時間同步後
[0132.13-0135.25] 再去控制數據通路中的相關部架
[0135.25-0137.05] 例如下途所示
[0137.05-0139.90] 請同學們思考一下
[0139.90-0143.74] 我們在本課程的哪部分用到過一碼器
[0143.74-0146.17] 還記得一碼器的作用嗎?
[0146.17-0152.50] 我們在本課程的第四章
[0152.50-0154.38] 存儲系統的多次課中
[0154.38-0156.34] 都用到過一碼器
[0156.54-0157.38] 例如
[0157.38-0159.30] 這是曾經同學們介紹過的
[0159.30-0162.74] 單一碼結構的地址一碼器
[0162.74-0167.97] 以及雙一碼結構的航地址一碼器和列地址一碼器
[0167.97-0168.97] 又例如
[0168.97-0170.93] 這是曾經同學們介紹過的
[0170.93-0175.89] 進行儲存自擴展時需要使用的相應一碼器
[0175.89-0177.77] 接下來我們舉例說明
[0177.77-0181.78] 維旨令中操作控制字段的編碼表示法
[0181.78-0184.58] 假設維旨令中用於操作控制的
[0184.58-0188.43] 各互制維命令字段均為三位編碼
[0188.43-0194.41] 因此各互制維命令字段需要使用三八一碼器進行一碼
[0194.41-0199.04] 假設互制維命令字段一的內容為編碼001
[0199.04-0201.16] 這是一碼結果
[0201.16-0202.60] 一表示有效
[0202.60-0204.24] 零表示無效
[0204.24-0209.12] 這相當於激活一個有效的微操作控制信號
