[0004.46-0008.62] 同學們好 歡迎大家來到我的計算機組成原理維克堂
[0008.62-0011.78] 在上節課中 我們給同學們介紹了
[0011.78-0014.78] 異常與中斷的相關基本概念
[0014.78-0020.94] 儘管不同計算機體系結構對異常和中斷的定義不完全相同
[0020.94-0025.30] 但是 異常與中斷的處理方式基本一致
[0025.30-0028.52] 為了簡單起見 除必要情況
[0028.52-0031.72] 我們將異常和中斷統稱為中斷
[0032.21-0034.93] 在同學們了解了上述基本概念後
[0034.93-0039.73] 本節課 我們給同學們介紹異常與中斷的處理過程
[0039.95-0042.23] 當發生中斷事件時
[0042.23-0045.19] CPU會收到相應的中斷請求
[0045.19-0049.76] 進入中斷想贏週期 進行想贏處理
[0049.76-0052.80] 請同學們注意 一般情況下
[0052.80-0055.08] 在當前指令執行結束時
[0055.08-0059.28] CPU才會進入中斷想贏週期 進行想贏處理
[0059.50-0064.06] 但是 若當前指令的執行引發了故障異常
[0064.06-0065.94] 例如缺業異常
[0065.94-0071.22] 則CPU必須立即進入中斷想贏週期 進行想贏處理
[0071.22-0074.97] CPU在中斷想贏週期內的主要任務是
[0074.97-0079.76] 關中斷 保存斷點 中斷識別
[0079.76-0081.77] 我們來具體說明
[0081.77-0086.51] 關中斷是指臨時禁止中斷請求
[0086.51-0090.07] 這樣做是為了在中斷想贏週期的操作
[0090.07-0093.39] 以及後續進入的中斷服務程序中
[0093.39-0096.39] 進行保護現場的操作的完整性
[0096.39-0099.30] 以確保中斷服務程序執行完畢後
[0099.30-0101.94] 能夠返回斷點正確執行
[0101.94-0104.13] 對於單級中斷
[0104.13-0107.85] 只有在中斷返回時才需要開中斷
[0107.85-0110.22] 對於多級嵌套中斷
[0110.22-0111.98] 完成現場保護後
[0111.98-0114.38] 就可以通過指令開中斷
[0114.38-0116.34] 以方便中斷嵌套
[0116.34-0119.02] 這裡解釋一下中斷嵌套
[0119.18-0120.74] 所謂中斷嵌套
[0120.74-0123.86] 是指在支持中斷優先級的系統中
[0123.86-0128.06] 當一個腳底優先級的中斷服務程序執行過程中
[0128.06-0130.74] 主動重新打開了中斷允許
[0130.74-0133.74] 通常是在必要的關鍵代碼段之後
[0133.74-0138.32] 此時 如果出現了一個更高優先級的中斷請求
[0138.32-0140.90] CPU將暫停當前
[0140.90-0144.54] 也就是腳底優先級中斷服務程序的執行
[0144.54-0146.46] 保存期上下文
[0146.54-0147.98] 並立即相應處理
[0147.98-0151.27] 該更高優先級中斷的中斷服務程序
[0151.27-0152.63] 處理完畢後
[0152.63-0155.07] CPU返回並繼續執行
[0155.07-0158.47] 被暫停的低優先級中斷服務程序
[0158.47-0162.51] 最後再返回到主程序
[0162.51-0164.15] 保存斷點是指
[0164.15-0166.67] 保存中斷服務程序結束後
[0166.67-0168.03] 應返回到的
[0168.03-0171.06] 之前被中斷的程序中的位置
[0171.06-0173.50] 對於已經執行完畢的指令
[0173.50-0176.78] 應保存的斷點是下一條指令的位置
[0176.94-0178.26] 需要注意的是
[0178.26-0181.29] 有可能不是順序指令地址
[0181.29-0186.17] 對於切業故障、斷錯誤等執行指令引起的故障異常
[0186.17-0188.65] 由於指令並沒有執行成功
[0188.65-0193.25] 因此保存的斷點應該是異常指令本身的TC值
[0193.25-0197.38] 以便異常處理後重新執行該指令
[0197.38-0199.86] 為了支持多級嵌套中斷
[0199.86-0201.54] 對於X86解構
[0201.54-0204.90] 應將自動將斷點壓入內存堆佔
[0205.06-0206.86] 通過佔的後勁先出
[0206.86-0209.22] 也就是LIFO特性
[0209.22-0211.61] 天然支持多級嵌套
[0211.61-0213.21] 對於MIPS架構
[0213.21-0215.13] 硬架僅將斷點存入
[0215.13-0218.82] 亦被覆蓋的異常指令計存器EPC
[0218.82-0221.70] 需要軟架在中斷服務程序中
[0221.70-0225.06] 立即將EPC的內容保存至內存
[0225.06-0226.74] 例如內核佔
[0226.74-0227.62] 否則
[0227.62-0228.78] 見到發生時
[0228.78-0231.22] 新中斷會覆蓋EPC
[0231.22-0233.50] 從而導致原始斷點丟失
[0233.50-0236.17] 無法正確返回
[0236.17-0237.97] 中斷識別是指
[0237.97-0240.25] 根據當前的中斷請求
[0240.25-0242.45] 識別出中斷來源
[0242.45-0246.41] 也就是識別出具體發生了什麼中斷
[0246.41-0249.57] 並將該中斷的中斷服務程序入口地址
[0249.57-0252.89] 送入程序基礎器PC
[0252.89-0253.73] 至此
[0253.73-0255.57] 我們就給同學們介紹了
[0255.57-0259.54] CPU在中斷響應週期中的三個主要任務
[0259.54-0261.40] 請同學們注意
[0261.40-0263.28] 中斷響應週期內的操作
[0263.28-0265.12] 全部由硬架實現
[0265.12-0267.51] 並且不可被打斷
[0267.51-0269.55] 中斷響應週期結束後
[0269.55-0273.15] CPU從當前PC中取出中斷服務程序的
[0273.15-0275.55] 第一條指令開始執行
[0275.55-0277.51] 直到中斷返回
[0277.51-0280.66] 這部分任務是軟件實現的
[0280.66-0281.74] 總上所說
[0281.74-0283.38] 整個中斷處理過程
[0283.38-0287.06] 是硬架和軟架協同實現的
[0287.06-0288.14] 那麼下節課
[0288.14-0289.74] 我們給同學們介紹
[0289.74-0291.98] 中斷處理的相關硬架
[0291.98-0293.38] 下節課
[0293.46-0296.85] 我們給同學們介紹中斷服務程序
[0296.85-0297.65] 好的
[0297.65-0300.05] 本節課到這裡就結束了
[0300.05-0300.89] 同學們
[0300.89-0302.21] 我們下節課見
