[0003.98-0008.22] 同學們好,歡迎大家來到我的階段級組成原理威克堂
[0008.22-0012.30] 之前,我們用三次課的時間給同學們介紹了
[0012.30-0016.38] 如何為CPU增加中斷處理功能的相關知識
[0016.38-0020.86] 包括對數據通路的改造,對控制器的改造
[0020.86-0024.26] 這些都屬於硬件修改和擴充
[0024.26-0029.14] 我們知道,中斷機制是硬件和軟件協同的機制
[0029.14-0032.78] 有了硬件支持,還需要為各種中斷請求
[0032.78-0035.34] 編寫相應的中斷服務程序
[0035.34-0038.26] 本節課呢,我們給同學們介紹
[0038.26-0041.62] 中斷服務程序主要包含的四個步驟
[0041.62-0044.22] 步驟一是保護現場
[0044.22-0047.41] 步驟二是中斷服務
[0047.41-0050.35] 步驟三是恢復現場
[0051.18-0053.50] 步驟四是中斷返回
[0053.50-0055.89] 保護現場的目的是
[0055.89-0060.13] 確保被中斷的程序在執行完中斷服務程序之後
[0060.13-0061.73] 還能正確執行
[0061.73-0064.29] 這就需要將中斷服務程序中
[0064.37-0066.53] 會被改寫的任何機存器
[0066.53-0070.05] 例如,程序狀態自PSW機存器
[0070.05-0071.41] 通用機存器
[0071.41-0075.49] 多級嵌套中斷時的異常指令地址EPC機存器
[0075.49-0077.97] 壓佔到內存堆佔中
[0077.97-0079.49] 請同學們注意
[0079.49-0081.25] 這裡所謂的現場
[0081.25-0082.77] 與函數調用中
[0082.77-0087.33] 需要由調用者保存機存器的概念並不完全相同
[0087.33-0090.29] 由於中斷服務程序沒有調用者
[0090.29-0093.65] 因此,需要由中斷服務程序自身負責
[0093.65-0096.77] 將任何可能被改寫破壞的機存器
[0096.77-0099.79] 作為現場進行壓佔保護
[0099.79-0101.39] 保護現場結束後
[0101.39-0104.51] 就進入中斷服務階段
[0104.51-0107.47] 針對該中斷進行所需的操作
[0107.47-0108.35] 例如
[0108.35-0112.51] 針對網卡收到新的數據針所觸發的印紮中斷
[0112.51-0115.30] 中斷服務所需的操作如下
[0115.30-0116.90] 從網卡緩衝區
[0116.90-0118.82] 快速提取數據針
[0118.82-0121.87] 對數據針進行循環容易教驗
[0121.87-0124.59] 將數據針轉入內存安全區
[0124.82-0126.74] 解析數據針首部
[0126.74-0129.49] 設置待處理數據針標誌位
[0129.49-0132.26] 喚醒後臺網絡協議站現場
[0132.26-0135.87] 通知調度器由網絡任務待處理
[0135.87-0137.89] 請同兄注意
[0137.89-0141.09] 中斷服務需要遵循二把法則
[0141.09-0145.57] 也就是中斷服務僅完成20%的必要工作
[0145.57-0148.21] 80%轉交後臺處理
[0148.21-0150.18] 這並不難理解
[0150.18-0152.18] 例如案件處理中斷
[0152.18-0155.14] 如果在中斷服務中處理大量工作
[0155.30-0158.74] 則在中斷服務過程中再次出現案件中斷
[0158.74-0160.74] 則不能及時響應
[0160.74-0163.39] 使用戶感受到卡頓
[0163.39-0164.99] 中斷服務結束後
[0164.99-0167.31] 就進入恢復現場階段
[0167.31-0170.51] 按於壓佔相反的順序
[0170.51-0172.35] 對之前保護現場時
[0172.35-0176.70] 壓佔的各計存器內容進行初戰恢復
[0176.70-0178.38] 恢復現場結束後
[0178.38-0181.38] 就進入中斷返回階段
[0181.38-0182.34] 例如
[0182.34-0184.90] 使用密布斯32中的一RET指令
[0184.90-0187.06] 返回被中斷的程序
[0187.49-0189.09] 需要說明的是
[0189.09-0192.77] 以上給出的是針對簡單的單級中斷
[0192.77-0196.59] 其中斷服務程序所包含的四個步驟
[0196.59-0199.07] 根據之前的學習我們知道
[0199.07-0201.23] 進入中斷服務程序之前
[0201.23-0203.31] 是中斷響應週期
[0203.31-0206.19] 所執行的操作是關中斷
[0206.19-0207.39] 保存斷點
[0207.39-0209.66] 進入中斷服務程序
[0209.66-0212.38] 而在中斷服務程序的最後一個步驟
[0212.38-0214.38] 也就是中斷返回中
[0214.38-0217.10] 所執行的操作是返回斷點
[0217.18-0218.59] 開中斷
[0218.59-0222.19] 這是我們上節課就學習過的內容
[0222.19-0223.87] 這是中斷響應週期的
[0223.87-0225.07] 第一個節拍電位
[0225.07-0229.17] 所執行的關中斷和保存斷點的操作
[0229.17-0230.85] 這是中斷響應週期的
[0230.85-0233.09] 第二個節拍電位所執行的
[0233.09-0236.56] 進入當前中斷服務程序的操作
[0236.56-0239.12] 這是中斷返回指令的執行週期
[0239.12-0243.44] 所執行的返回斷點和開中斷的操作
[0243.44-0246.45] 相信同學們都還記得
[0246.45-0249.25] 那麼對於多級嵌桃中斷呢
[0249.25-0251.73] 保護現場後應該開中斷
[0251.73-0255.66] 以確保中斷服務程序還可以被中斷
[0255.66-0258.62] 而恢復現場前應該關中斷
[0258.62-0261.74] 以確保恢復現場的完整性
[0261.74-0266.05] 我們將這兩個步驟標記在上圖中
[0266.05-0267.65] 需要說明的是
[0267.65-0269.25] 對於單級中斷
[0269.25-0271.73] 同時出現多個中斷請求時
[0271.73-0274.27] 按中斷優先級順序處理
[0274.27-0275.95] 對於嵌桃中斷
[0275.95-0278.59] 遵循優先級搶佔規則
[0278.59-0280.59] 也就是高優先級中斷
[0280.59-0285.25] 可以中斷低優先級中斷的中斷服務程序
[0285.25-0288.45] 好的本節課到這裡就結束了
[0288.45-0290.85] 同學們我們下節課見
