[0003.82-0007.82] 同學們好 歡迎大家來到我的計算機組成原理威克堂
[0007.82-0010.62] 在上期課中 我們給同學們介紹了
[0010.62-0017.52] 指令流水線中由於結構相關和控制相關所導致的流水線衝突及其相應的解決方案
[0017.52-0022.02] 例如下屬所示 增加加法部件以避免運算衝突
[0022.02-0027.42] 採用獨立的指令存儲器和數據存儲器以避免仿存衝突
[0027.42-0031.12] 所解決的這兩種衝突都屬於結構衝突
[0031.12-0034.32] 又例如 在執行程序分支校轉時
[0034.32-0038.12] 清除指令流水線中分支指令後續的弱干條誤取指令
[0038.12-0041.32] 所解決的這種衝突屬於控制衝突
[0041.32-0043.72] 本節課 我們給同學們介紹
[0043.72-0048.02] 數據相關所導致的指令流水線衝突 簡稱數據衝突
[0048.02-0053.22] 而在後續兩次課中 給同學們介紹數據衝突的兩種解決方案
[0053.22-0058.48] 數據相關是指 當前指令需要用到前續指令尚未產出的數據
[0058.48-0061.28] 導致當前指令無法繼續執行
[0061.38-0065.38] 我們來舉例說明 這是某段程序中的兩條指令
[0065.38-0071.58] 指令一的操作是將計存器R3的值與計存器R4的值進行邏輯與運算
[0071.58-0074.48] 將運算結果寫回到計存器R2
[0074.48-0079.08] 指令二的操作是將計存器R2的值減去計存器R4的值
[0079.08-0081.88] 將運算結果寫回到計存器R3
[0081.88-0084.38] 若不考慮指令流水線的情況下
[0084.38-0089.68] 指令一執行完成後才執行指令二 則不會引起數據衝突
[0090.04-0093.44] 但是 若採用我們之前介紹過的指令流水線
[0093.44-0095.94] 則存在寫後讀衝突
[0095.94-0100.24] 請同學們注意 寫後讀的英文為 Read After Read
[0100.24-0102.64] 其縮寫詞為R-A-W
[0102.64-0107.44] 當我們在相應的上下文環境中看到R-A-W這個縮寫詞時
[0107.44-0110.04] 應該想到其意思是寫後讀
[0110.04-0111.74] 但是不要搞糊塗了
[0111.74-0116.44] 按R和W自作到右的順序 錯讀為讀後寫了
[0116.44-0119.44] 好的 我們來看為什麼這兩條指令
[0119.44-0124.24] 在我們之前介紹過的指令流水線中會產生R-A-W衝突
[0124.24-0127.04] 通過前幾次課的學習 我們知道
[0127.04-0131.04] 指令一進入到指令流水線中的寫回公通段處理時
[0131.04-0135.24] 才能將結果寫回到位於一碼公通段中的計存器組
[0135.24-0136.44] 如同所示
[0136.44-0139.84] 這是在寫回公通段使用的相關控制信號
[0139.84-0143.34] 這是在寫回公通段使用的相關數據信號
[0143.34-0147.44] 他們都是通過之前的各級流水計存器的足跡所存
[0147.44-0150.04] 進而傳遞到寫回公通段的
[0150.04-0154.04] 該數據信號傳送的是帶寫回計存器的編號
[0154.04-0157.44] 對於指令一就是計存器R的編號二
[0157.44-0161.24] 該數據信號傳送的是帶寫回計存器的內容
[0161.24-0164.04] 對於指令一就是計存器R3的值
[0164.04-0167.97] 與計存器R4的值進行邏輯與運算的結果
[0167.97-0169.07] 從上所述
[0169.07-0173.27] 指令一在寫回公通段對計存器R2進行寫操作
[0173.27-0176.67] 然而我們知道對計存器組進行讀操作
[0176.67-0179.97] 是在指令出於一碼公通段時進行處理的
[0179.97-0184.67] 對於指令二讀取的是計存器R2和計存器R4的內容
[0184.67-0185.87] 但是此時
[0185.87-0188.57] 指令一還沒有流入寫回公通段
[0188.57-0191.37] 將運算結果寫回到計存器R2中
[0191.37-0196.37] 而指令二就已經位於一碼公通段對R2進行了讀操作
[0196.37-0198.77] 這就產生了RAW衝突
[0198.77-0200.47] 通過本例可以看出
[0200.47-0204.97] 如果後一條指令的原操作數是前一條指令的目的操作數
[0204.97-0207.57] 這種情況就屬於RAW相關
[0207.57-0212.43] 在密布斯的標準五段流水線中就會產生RAW衝突
[0212.43-0214.83] 接下來請同學們思考一下
[0214.83-0220.06] 對於指令一和指令二中的計存器R3是否存在數據相關呢
[0220.06-0223.36] 這種數據相關在密布斯的標準五段流水線中
[0223.36-0228.42] 是否會引起數據衝突呢
[0228.42-0232.82] 回答是指令二的目的操作數是指令一的原操作數
[0232.82-0235.52] 這種數據相關屬於讀後寫相關
[0235.52-0237.92] 其英文縮解詞為WAR
[0237.92-0242.22] 將這兩條指令帶入密布斯的標準五段流水線進行分析
[0242.22-0244.82] 他們並不會產生WAR衝突
[0244.82-0249.02] 但是在亂序調度流水線中可能出現衝突
[0249.02-0253.12] 亂序調度流水線以超出本科城的教學大綱
[0253.12-0256.42] 有興趣的同學可自行查閱相關資料
[0256.42-0259.42] 請同學們再思考一下
[0259.42-0264.22] 對於指令一和指令二中的計存器R4是否存在數據相關呢
[0264.32-0270.02] 這種數據相關在密布斯的標準五段流水線中是否會引起數據衝突呢
[0270.02-0275.70] 回答是指令一和指令二讀取同一個計存器
[0275.70-0279.80] 不管誰先讀誰後讀讀到的都是相同的內容
[0279.80-0281.20] 結果都不會錯
[0281.20-0283.90] 因此在討論數據衝突時
[0283.90-0287.40] 讀後讀這種數據相關不被認為是一個問題
[0287.40-0289.30] 也就是無需考慮
[0289.30-0290.93] 再來看這個例子
[0290.93-0292.53] 請同學們思考一下
[0292.53-0295.53] 對於指令一和指令二中的計存器R2
[0295.63-0297.83] 是否存在數據相關呢
[0297.83-0305.29] 這種數據相關在密布斯的標準五段流水線中是否會引起數據衝突呢
[0305.29-0309.69] 回答是指令二和指令一的目的操作數是相同的
[0309.69-0312.69] 這種數據相關屬於寫後寫相關
[0312.69-0315.69] 其英文縮寫詞為waw
[0315.69-0319.69] 將這兩條指令帶入密布斯的標準五段流水線進行分析
[0319.69-0322.79] 他們並不會產生waw衝突
[0322.79-0328.21] 但是在亂緒調度流水線中可能出現衝突
[0328.21-0331.61] 好的,我們將之前介紹的這四種數據相關
[0331.61-0336.51] 以及他們各自是否在密布斯的標準五段流水線中產生相應的衝突
[0336.51-0338.31] 總結到下表中
[0338.31-0340.51] 請同學們暫停播放視頻
[0340.51-0341.81] 快速瀏覽一遍
[0341.81-0348.09] 以加深記憶
[0348.09-0354.19] 好的,接下來請同學們挑戰幾道與本節課相關的408考研一年整體
[0354.19-0357.22] 首先來挑戰2010年的提示9
[0357.22-0358.42] 需要說明的是
[0358.42-0361.42] 本題中包含有我們尚未介紹的內容
[0361.52-0366.02] 但是同學們可以基於前幾次課以及本節課所學知識
[0366.02-0368.22] 利用排除法來解題
[0368.22-0370.42] 請同學們暫停播放視頻
[0370.42-0371.32] 思考一下
[0371.32-0377.55] 然後給出你的答案
[0377.55-0379.35] 本題的答案是選項A
[0379.35-0380.75] 大家都選對了嗎
[0380.75-0382.65] 我們來一起分析一下
[0382.65-0383.75] 如讀所示
[0383.75-0385.55] 選項C中的條件轉移
[0385.55-0391.24] 是我們上節課給同學們介紹過的分支指令會引起控制衝突
[0391.24-0393.04] 選項D中的資源衝突
[0393.04-0397.06] 是我們上節課給同學們介紹過的結構衝突
[0397.06-0402.36] 而數據相關是我們本節課給同學們介紹過的這三種數據相關
[0402.36-0404.86] 他們都可能產生數據衝突
[0404.86-0405.86] 從上所述
[0405.86-0407.06] 利用排除法
[0407.06-0409.26] 只有選項A中的數據旁路
