[0003.79-0007.59] 同學們好,歡迎大家來到我的計算機組成員里威克堂
[0007.59-0012.29] 在上期課中,我們給同學們介紹了總限定時的相關知識
[0012.29-0017.09] 本節課,我們給同學們介紹總限上信息的傳送方式
[0017.09-0025.69] 總限上信息的傳送方式可分為病情傳送、串型傳送、病串型傳送、以及分識傳送
[0025.69-0031.29] 其中串型傳送,又分為同步串型通信和一步串型通信兩種
[0031.29-0037.59] 對於病情傳送和串型傳送,我們在之前本章有關總限分類的那些課中
[0037.59-0042.19] 就給同學們介紹過了,並且還通過列表對他們進行的對比
[0042.19-0049.89] 由於在現代計算機中,高速串型總限已成為系統互聯的主流技術,例如PCIE總限
[0049.89-0054.89] 因此,本節課我們有必要對串型傳送做進一步的介紹
[0054.89-0059.89] 串型傳送又分為同步串型通信和一步串型通信兩種
[0060.09-0062.49] 我們首先來看同步串型通信
[0062.49-0066.76] 通過之前的學習,同學們知道,對於串型傳送
[0066.76-0073.26] 一般情況下,手法雙方通過一條數據線或一對差分數據線來傳送數據
[0073.26-0080.36] 此外,手法雙方還需要一條時鐘信號線,在時鐘信號的控制下協調發送和接收
[0080.36-0086.26] 接下來,我們以SPI總限時序的模式林為例,介紹同步串型通信
[0086.66-0091.46] 我們在該時序圖中標註出時鐘信號的每個時鐘週期
[0091.46-0096.86] 對於SPI總限時序的模式林,時鐘控制時的電頻為低電頻
[0096.86-0102.06] 接收方在每個時鐘信號的上升延對數據總限進行採樣
[0102.06-0105.46] 也就是在比特信號的中間時刻進行採樣
[0105.46-0112.35] 發送方在每個時鐘信號的下降延進行切換,也就是發送下一個比特的信號
[0112.55-0115.15] 以此類推,我們就不再追數了
[0115.15-0124.54] 需要說明的是,SPI總限時序除模式林外還有其他模式
[0124.54-0128.74] 這是為了兼容不同芯片對時鐘控制時的電頻
[0128.74-0133.14] 以及一個時鐘週期內採樣與發送的動作順序
[0133.14-0138.66] 這兩種不同設計要求,2x2的組合便產生了四種模式
[0138.66-0141.26] 給同學們佈置一個客戶練習
[0141.26-0148.66] 那就是,根據表格證的內容,畫出SPI總限時序模式1到模式3各自的時序圖
[0148.66-0151.13] 可能很多同學會有這樣的疑問
[0151.13-0155.73] 為什麼以SPI總限為例來介紹同步串行通信?
[0155.73-0158.18] 這就是總限的用途是什麼呢?
[0158.18-0161.78] 相信同學們在閱讀該表格後,就能得到答案
[0161.78-0166.78] 請同學們暫停播放視頻,快速瀏覽一遍該表格的內容
[0166.78-0176.66] 此外,FMC總限也是同步串行通信的典型代表
[0176.66-0187.47] 請同學們暫停播放視頻,快速瀏覽一遍該表格中有關FMC總限的內容
[0187.47-0189.87] 給同學們佈置一個客戶任務
[0189.87-0194.87] 那就是在自己的計算機中,找到這兩種使用同步串行通信的芯片
[0194.87-0203.06] 實際上,SPI總限和FMC總限在資源受限的嵌入式系統領域的應用更加廣泛
[0203.06-0207.66] 有過嵌入式系統相關開發經歷的同學,應該深有體會
[0207.66-0211.56] 好的,我們回到之前舉例的同步串行通信
[0211.76-0217.76] 這種通信單獨使用一條線傳輸實中信號,這在簡單場景中工作良好
[0217.76-0223.16] 但是,隨著系統複雜度增加,例如設備增多,距離變遠
[0223.16-0229.76] 實中信號線可能導致不限繁瑣,信號延遲不一致,電磁干擾敏感等問題
[0229.76-0236.16] 那麼,能否省去這條實中信號線,同時還能保持收發雙方的可靠同步呢?
[0237.54-0245.94] 回答是肯定的,那就是,將實中信號編碼到數據流本身中,而不是通過單獨的物理陷入傳輸
[0245.94-0247.94] 這就是所謂的自同步
