[0004.46-0008.46] 同学们好,欢迎大家来到我的计算机组成原理威克唐
[0008.46-0014.06] 在上期课中,我们对输入输出系统,也就是Io系统,进行了概述
[0014.06-0018.76] 我们知道,Io设备是Io印价系统的重要组成部分
[0018.76-0022.56] 因此,本节课我们对Io设备进行介绍
[0022.56-0025.85] Io设备是输入输出设备的简称
[0025.85-0030.45] 它是计算机语言或其他系统进行数据交换的装置
[0030.45-0036.85] 其中,输入设备负责将数据、文字、图片、音频、视频等转换成
[0036.85-0039.55] 计算机可以识别的二进之信息
[0039.55-0047.05] 输出设备负责将计算机的处理结果,转换成数字、文字、图像、声音、视频
[0047.05-0052.85] 例如,下图所示,键盘和鼠标是我们最常用的输入设备
[0052.85-0057.55] 另外,扫描仪、摄像头等也是典型的输入设备
[0057.78-0060.98] 而显示器是最常用的输出设备
[0060.98-0064.68] 另外,打印机也是典型的输出设备
[0064.68-0071.75] 那么,同学们是否能够举出几个,既属于输入设备,也属于输出设备的Io设备呢?
[0071.75-0077.92] 我想,同学们最可能想到的就是优盘
[0077.92-0081.62] 如果同学们已经学习过计算机网络这么课程
[0081.62-0087.62] 那么,网络设备器,也就是网卡,也属于典型的输入输出设备
[0087.98-0091.98] 在上述这些Io设备中,输入设备和输出设备
[0091.98-0095.68] 一般都是计算机与人进行数据交互的装置
[0095.68-0101.78] 而输入输出设备,一般是计算机与其他系统进行数据交互的装置
[0101.78-0105.22] 请同学们注意,Io设备的种类繁多
[0105.22-0108.22] 不同Io设备存在着巨大的差异
[0108.22-0113.22] 主要包括,结构差异,例如,机械式的,电子式的
[0113.22-0117.94] 信号差异,例如,数字信号,模拟信号
[0118.04-0122.04] 性能差异,例如,窗口设备这种慢速设备
[0122.04-0124.44] 网络设备这种高速设备
[0124.44-0129.16] 访问差异,例如,自服设备这种顺序访问设备
[0129.16-0131.66] 画设备这种随机访问设备
[0131.66-0135.45] 在同学们对Io设备有了基本了解之后
[0135.45-0137.75] 我们来看Io设备的策性
[0137.75-0142.95] 主要包括异步性、实施性、独立性这三个方面的策性
[0142.95-0145.46] 首先来看异步性
[0145.46-0148.46] 我们知道,CPU的运算速度相较于
[0148.46-0152.46] Io设备的数据处理和传输速度而言,是极快的
[0152.46-0156.96] 若强制使用公共十中同步,则CPU需要持续等待
[0156.96-0161.46] 慢速设备完成操作,导致运算资源被大量浪费
[0161.46-0164.46] 因此,应该采用异补通信
[0164.46-0169.46] 这样,Io设备自主准备数据时,CPU可执行其他任务
[0169.46-0171.46] 也就是双方并行
[0171.46-0174.46] 紧当Io设备完成数据处理后
[0174.46-0177.96] 通过中断机制,主动向CPU发信号
[0177.96-0181.46] 此时,CPU才会暂时中断当前任务
[0181.46-0185.46] 执行相应的中断服务程序,为Io设备服务
[0185.46-0188.96] 之后,返回断点,继续执行原来的任务
[0188.96-0192.46] 从上所说,通过并行加中断的机制
[0192.46-0195.46] 让CPU和Io设备结有依赖
[0195.46-0199.96] 双方在各自节奏下工作,这就是所谓的异步性
[0199.96-0202.79] 再来看实施性
[0202.79-0206.29] 不管是慢速Io设备,还是高速Io设备
[0206.29-0210.79] 在准备好数据后,都需要CPU及时响应处理
[0210.79-0214.79] 否则,对于慢速设备,例如键盘鼠标的按下
[0214.79-0218.79] 如果不及时响应,则会影响用户体验
[0218.79-0221.79] 对于高速设备,例如万兆网卡
[0221.79-0225.29] 高速数据采集卡的数据,如果不及时处理
[0225.29-0227.29] 则会产生数据丢失
[0227.29-0230.79] 对实施测控设备的信息,如果不及时处理
[0230.79-0233.87] 则可能导致严重的事故
[0233.87-0235.37] 再来看独立性
[0235.37-0238.87] 独立性是指,通过软硬件分层抽象
[0238.87-0240.87] 屏蔽不同Io设备的差异
[0240.87-0244.87] 降低CPU与Io设备的连接,控制等复杂度
[0244.87-0246.87] 对于硬件层面
[0246.87-0250.87] 各类Io设备采用标准总线接口与CPU连接
[0250.87-0254.37] 使得不同Io设备以一致方式接入系统
[0254.37-0258.00] 减少硬件设计的多样性和复杂度
[0258.00-0259.50] 对于软件层面
[0259.50-0263.00] 不同Io设备采用统一的访问调用接口
[0263.00-0266.50] 使输入输出与具体设备类型无关
[0266.50-0270.53] 让程序无需关注Io设备的硬件细节
[0270.53-0273.53] 只需通过访问调用接口操作外设
[0273.53-0278.46] 至此,我们就给同学们介绍了什么是Io设备
[0278.46-0281.46] 以及Io设备的三个主要特性
[0281.46-0285.46] 对于上述内容并为全部理解的同学不用纠结
[0285.46-0287.96] 随着本章内容的逐步展开
[0287.96-0290.46] 上述内容都会有所体现
[0290.46-0293.58] 好的,本节课到这里就结束了
[0293.58-0297.58] 请同学们快速回忆一下本节课的主要内容
[0297.58-0307.24] 同学们,我们下节课见!
