[0003.54-0007.44] 同學們好,歡迎大家來到我的集團集組成原理微課堂
[0007.44-0011.04] 在上一課中,我們給同學們介紹了中段的作用
[0011.04-0012.54] 中段的分類
[0012.54-0015.04] 相量中段和非相量中段
[0015.04-0017.40] 單級中段和多重中段
[0017.40-0020.80] 在此基礎上,本節課我們給同學們介紹
[0020.80-0024.20] 中段優先級與中段屏蔽的相關知識
[0024.20-0029.20] 中段優先級是指,CPU響應並處理中段請求的先後次序
[0029.20-0032.60] 集團集系統中,一般包含有多個中段源
[0032.60-0036.60] 當同時有多個中段源向CPU發出中段請求時
[0036.60-0039.60] CPU應該首先響應哪一個中段請求
[0039.60-0042.00] 這取決於中段優先級
[0042.00-0045.80] 優先級高的先響應,優先級低的後響應
[0045.80-0048.20] 另外,在多重中段中
[0048.20-0052.00] 高優先級中段請求可以中段CPU正在執行的
[0052.00-0054.00] 低優先級中段服務程序
[0054.00-0056.20] 這就是所謂的嵌桃中段
[0056.20-0059.90] 總算所述,中段優先級包含兩個層面的含義
[0059.90-0061.80] 一個是響應優先級
[0061.80-0063.80] 另一個是處理優先級
[0063.80-0066.80] 實際上,上述有關中段優先級的概念
[0066.80-0069.80] 我們在上級課,給同學們介紹單級中段
[0069.80-0071.80] 和多重中段的相關概念時
[0071.80-0074.40] 就已經給同學們簡單介紹過了
[0074.40-0078.20] 接下來,我們進一步介紹中段響應優先級
[0078.20-0080.00] 中段響應優先級是指
[0080.00-0083.40] CPU對同時來自多個中段源的中段請求
[0083.40-0085.40] 進行響應的先後次序
[0085.40-0087.40] 在進行硬架設計時
[0087.40-0089.80] 中段響應優先級就已經固定
[0089.80-0091.00] 難以更改
[0091.00-0094.60] 中段響應優先級一般按照中段事件的重要性
[0094.60-0096.40] 和迫切性來劃分
[0096.40-0099.80] 這是我們上級課給同學們介紹的中段分類
[0099.80-0103.60] 其中,屬於外部中段這個類別的不可頻密中段
[0103.60-0105.60] 其響應優先級最高
[0105.60-0109.06] 同樣屬於外部中段這個類別的可頻密中段
[0109.06-0111.10] 其響應優先級最低
[0111.10-0114.10] 而內部異常的響應優先級中等
[0114.10-0118.10] 在內部異常中,硬架終止異常的優先級最高
[0118.10-0121.50] 其次是故障或自線等軟架異常
[0121.50-0125.30] 我們將上述各類中段的響應優先級記錄如下
[0125.30-0128.46] 另外,DMA中段請求
[0128.46-0131.46] 優先於IOS設備傳送的中段請求
[0131.46-0134.66] 而在IOS設備傳送類中段請求中
[0134.66-0137.06] 高速設備優先於低速設備
[0137.06-0139.46] 輸入設備優先於輸出設備
[0139.46-0142.26] 實時控制設備優先於普通設備
[0142.26-0145.93] 在同學們了解了中段響應優先級的相關之時後
[0145.93-0148.93] 我們進一步介紹中段處理優先級
[0148.93-0150.93] 中段處理優先級是指
[0150.93-0153.93] 多重中段的實際優先級處理次序
[0153.93-0157.73] 而單級中段不存在中段處理優先級的概念
[0157.73-0160.53] 在不使用中段頻密技術的情況下
[0160.53-0164.33] 中段處理優先級與中段響應優先級相同
[0164.33-0167.13] 但是可以利用中段頻密技術
[0167.13-0170.33] 動態調整多重中段的實際優先級
[0170.33-0175.53] 使低優先級的中段也可以打斷高優先級的中段服務程序
[0175.53-0178.19] 進而更加靈活的處理中段
[0178.19-0182.02] 現在計算機中普遍採用中段頻密技術
[0182.02-0183.82] 為了實現中段頻密
[0183.82-0188.62] 需要在中段控制器中包含中段頻密計存器IMR
[0188.69-0192.89] 中段頻密計存器中的每一位對應一個設備中段源
[0192.89-0197.69] 取之為一時表示頻密對應設備發送的中段請求信號
[0197.69-0203.18] 取之為零時表示允許對應設備發送中段請求信號
[0203.18-0206.58] 中段頻密計存器的值稱為中段頻密字
