[0003.50-0007.42] 同學們好,歡迎大家來到我的階段級組成原理微課堂
[0007.42-0011.42] 在之前的幾次課中,我們給同學們介紹了中段的作用
[0011.42-0013.70] 中段的分類
[0013.70-0017.58] 相量中段和非相量中段的相關概念
[0017.58-0021.18] 單級中段和多重中段的相關概念
[0021.18-0022.62] 中段優先級
[0022.62-0027.44] 包括響音優先級和處理優先級的相關概念
[0027.44-0030.64] 以及中段屏蔽技術的相關概念
[0033.04-0038.24] 在此基礎上,本節課我們給同學們介紹中段請求的相關知識
[0038.40-0040.88] 如何將數量眾多的外部中段源
[0040.88-0044.72] 各自的中段請求信號與CPU進行有效的連接
[0044.72-0047.28] 是中段技術的一個關鍵問題
[0047.28-0050.88] 本節課我們給同學們介紹四種常見的方式
[0050.88-0055.68] 不同方式的中段優先級重材和中段識別方法各不相同
[0055.68-0058.32] 這四種常見的中段請求方式是
[0058.32-0059.84] 獨立請求方式
[0059.84-0061.60] 練習請求方式
[0061.60-0063.52] 分組練習請求方式
[0063.52-0065.44] 中段控制器方式
[0065.92-0069.18] 首先來看中段請求的獨立請求方式
[0069.18-0070.46] 如族所示
[0070.46-0072.06] 對於獨立請求方式
[0072.06-0078.30] 每個中段源都擁有自己獨立的中段請求線和中段應達線與CPU連接
[0078.30-0083.12] 中段源通過中段請求線給CPU發送中段請求信號
[0083.12-0084.56] CPU收到後
[0084.56-0088.64] 通過中段應達線給中段源發送中段應達信號
[0088.64-0091.28] 表示CPU正在進行中段處理
[0091.28-0096.05] 收到中段應達的中段源會清除自己當前的中段請求
[0096.21-0097.49] 通過以上掩飾
[0097.49-0100.21] 不能看出獨立請求方式的優缺點
[0100.21-0101.49] 其優點有
[0101.49-0104.21] CPU可以靈活處理中段優先級
[0104.21-0105.89] 中段識別簡單
[0105.89-0109.09] 通過簡單的優先級編碼電路即可實現
[0109.09-0111.01] 方面實現相量中段
[0111.01-0113.57] 可以快速找到中段服務程序
[0113.57-0115.17] 其缺點有
[0115.17-0121.17] 每個中段源都擁有自己獨立的中段請求線和中段應達線與CPU連接
[0121.17-0123.89] 因此會大量佔用CPU引腳
[0123.89-0126.05] 竟然使得系統難易擴展
[0126.86-0130.30] 在同學們了解了中段請求的獨立請求方式號
[0130.30-0133.73] 我們來看中段請求的鏈式請求方式
[0133.73-0135.01] 如足所事
[0135.01-0137.17] 這是鏈式請求方式的示意圖
[0137.17-0139.57] 不只同學們看到該示意圖時
[0139.57-0142.13] 是否有種似曾相識的感覺呢
[0143.79-0144.75] 沒錯
[0144.75-0147.31] 我們在之前第七章總線系統中
[0147.31-0149.55] 有關總線仲裁的那次課中
[0149.55-0151.07] 曾給同學們介紹過
[0151.07-0154.19] 總線集中式仲裁的鏈式查詢方式
[0154.19-0156.10] 總線上的所有主設備
[0156.10-0158.34] 共用一條總線請求信號線
[0158.42-0162.26] 用一項總線控制器發送總線控制權請求信號
[0162.26-0164.18] 該信號有效時表示
[0164.18-0167.86] 總線上至少有一個主設備請求總線控制權
[0167.86-0170.98] 總線控制器通過總線許可信號線
[0170.98-0174.10] 給主設備發揮總線許可應達信號
[0174.10-0177.14] 總線許可信號線採用矩花電方式
[0177.14-0179.30] 將各主設備串行連接
[0179.30-0181.70] 其中正在申請總線控制權
[0181.70-0184.34] 且收到總線許可應達信號的主設備
[0184.34-0186.50] 就獲得了總線控制權
[0186.50-0187.46] 好的
[0187.54-0189.70] 我們回到本節課要介紹的
[0189.70-0192.90] 中斷請求的鏈式請求方式的示意圖
[0192.90-0194.66] 從該圖可以看出
[0194.66-0197.94] 各中斷員通過一條公共的中斷請求線
[0197.94-0200.50] 給CPU發送中斷請求信號
[0200.50-0203.70] 因此中斷員的識別過程比較複雜
[0203.70-0205.70] 可以採用硬件查詢方法
[0205.70-0207.94] 也就是通過中斷應達信號的
[0207.94-0210.34] 鏈式串行傳遞來實現
[0210.34-0212.18] 至於我們剛剛回憶過的
[0212.18-0214.66] 總線仲裁的鏈式查詢方式相同
[0214.66-0217.06] 在鏈式查詢傳遞的路徑中
[0217.06-0221.15] 離CPU越近的中斷員優先級越高
[0221.15-0223.55] 還可以採用軟件查詢方式
[0223.55-0226.51] 也就是通過公共的中斷服務程序
[0226.51-0230.11] 輪循各中斷員的IO接口中的記存器
[0230.11-0233.55] 判斷相應設備是否發出了中斷請求
[0233.55-0237.71] 若發出的請求則跳轉至相應的中斷服務程序
[0237.71-0241.98] 若沒有發出請求則繼續查詢下一個中斷員
[0241.98-0244.30] 中斷優先級取決於設計在
[0244.30-0247.02] 公共中斷服務程序中的輪循順序
[0247.18-0249.34] 先查詢的設備優先級高
[0249.34-0251.18] 通過以上也是
[0251.18-0253.58] 不能看出鏈式請求方式的優缺點
[0253.58-0255.02] 其優點是
[0255.02-0256.46] 系統擴展信號
[0256.46-0258.06] 因為添加中斷員
[0258.06-0260.46] 只需接入公共的中斷請求線
[0260.46-0261.90] 無需額外部線
[0261.90-0263.58] 硬件實現簡單
[0263.58-0265.20] 其缺點有
[0265.20-0267.12] 中斷員識別過程複雜
[0267.12-0269.04] 對於硬件查詢方法
[0269.04-0271.20] 中斷優先級由設備在
[0271.20-0273.60] 鏈式傳行傳遞中的物理位置固定
[0273.60-0275.84] 無法通過軟件靈活調整
[0276.08-0277.76] 對於軟件查詢方法
[0277.76-0280.24] 需要逐個輪循設備狀態計分器
[0280.24-0281.28] 因此
[0281.28-0284.08] 需要CPU發起相應的走線事務
[0284.08-0285.86] 在同學們了解了
[0285.86-0288.02] 中斷請求的獨立請求方式
[0288.02-0289.70] 和鏈式請求方式號
[0289.70-0291.06] 我們就可以引出
[0291.06-0294.02] 中斷請求的分組鏈式請求方式了
[0294.02-0295.55] 如足所示
[0295.55-0298.11] 這是分組鏈式請求方式的示意圖
[0298.11-0299.23] 不能看出
[0299.23-0301.31] 中斷員1和中斷員2
[0301.31-0303.79] 採用的是我們之前給同學們介紹過的
[0303.79-0305.15] 獨立請求方式
[0305.39-0308.35] 而中斷員p1到中斷員pn
[0308.35-0310.75] 採用的是我們剛剛給同學們介紹過的
[0310.75-0312.77] 鏈式請求方式
[0312.77-0315.65] 中斷員se到中斷員sn
[0315.65-0318.21] 採用的也是鏈式請求方式
[0318.21-0319.33] 這相當於
[0319.33-0321.65] 將各中斷員分組打包
[0321.65-0324.05] 節省了CPU的引腳資源
[0324.05-0327.25] 而組內在鏈式排隊保持續
[0327.25-0328.93] 中斷優先級固定
[0328.93-0332.45] 這就是所謂的分組鏈式請求方式
[0332.45-0333.25] 另外
[0333.33-0335.81] 對要求快速響應的中斷請求
[0335.81-0337.97] 仍採用獨立請求方式
[0337.97-0339.57] 相對於鏈式排隊
[0339.57-0341.97] 屬於插隊保響應速度
[0341.97-0343.09] 總上所述
[0343.09-0345.65] 中斷請求的分組鏈式請求方式
[0345.65-0347.09] 通過二維分層
[0347.09-0350.45] 用結構設計平衡了CPU引腳資源消耗
[0350.45-0352.78] 與中斷顯示速度
[0352.78-0354.06] 在同學們了解了
[0354.06-0356.06] 中斷請求的獨立請求方式
[0356.06-0357.34] 鏈式請求方式
[0357.34-0359.02] 分組鏈式請求方式號
[0359.02-0361.92] 再來看中斷控制器方式
[0361.92-0362.96] 如足所示
[0363.04-0365.60] 這是中斷控制器方式的示意圖
[0365.60-0366.24] 其中
[0366.24-0370.08] 中斷控制器用於輔助CPU進行中斷控制
[0370.08-0371.52] 具體來說就是
[0371.52-0375.09] 外部中斷的優先級重材和中斷識別
[0375.09-0377.33] 各中斷員通過獨立請求方式
[0377.33-0379.25] 與中斷控制器相連
[0379.25-0380.93] 若有一個或多個中斷員
[0380.93-0382.53] 發出中斷請求
[0382.53-0385.57] 中斷控制器會進行中斷優先級重材
[0385.57-0387.17] 和中斷識別
[0387.17-0387.81] 據號
[0387.81-0389.41] 通過中斷請求信號線
[0389.41-0392.06] 給CPU發送中斷請求
[0392.06-0394.06] CPU通過中斷響應信號線
[0394.06-0397.20] 給中斷控制器發送中斷響應
[0397.20-0399.52] 中斷控制器將中斷員編號
[0399.52-0402.16] 通過數據總線發送給CPU
[0402.16-0403.28] 需要說明的是
[0403.28-0406.06] 圖中未畫出數據總線
[0406.06-0408.06] 從該示意圖可以看出
[0408.06-0410.06] 中斷控制器是中斷請求的
[0410.06-0412.22] 中斷控制器方式的核心
[0412.22-0412.86] 因此
[0412.86-0414.62] 我們有必要對中斷控制器
[0414.62-0416.14] 進行舉例說明
[0416.14-0417.18] 如足所示
[0417.18-0419.18] 這部分是中斷控制器芯片
[0419.18-0421.42] 8259A的邏輯框圖
[0421.50-0423.18] R20到R7
[0423.18-0425.66] 是來自外部設備的中斷請求
[0425.66-0426.94] 需要說明的是
[0426.94-0429.10] 可採用多個8259A芯片
[0429.10-0430.70] 進行集連的方式
[0430.70-0433.02] 來支持更多的中斷員
[0433.02-0434.30] 為簡單起見
[0434.30-0436.26] 本力中並未畫出
[0436.26-0437.46] 通過之前的學習
[0437.46-0438.42] 我們知道
[0438.42-0440.50] 外部中斷分為可屏蔽中斷
[0440.50-0442.82] 和不可屏蔽中斷兩類
[0442.82-0443.46] 那麼
[0443.46-0446.34] 本力中的中斷控制器芯片8259A
[0446.34-0448.18] 是用於輔助CPU
[0448.18-0450.50] 對可屏蔽中斷的優先級重材
[0450.50-0452.10] 和中斷識別
[0452.10-0454.34] 而外部中斷中的不可屏蔽中斷
[0454.34-0455.46] 其請求信號
[0455.46-0458.50] 直接連接到CPU內部的中斷邏輯
[0458.50-0459.22] 另外
[0459.22-0460.90] CPU內部的中斷邏輯
[0460.90-0461.86] 還負責
[0461.86-0462.90] 處理故障
[0462.90-0463.94] 端業故障
[0463.94-0465.46] 缺益異常等內部異常
[0465.46-0467.62] 這種特殊中斷的控制
[0467.62-0469.70] 中斷控制器芯片8259A
[0469.70-0471.30] 通過系統總線
[0471.30-0472.66] 也就是地質總線
[0472.66-0473.38] 控制總線
[0473.38-0474.66] 以及數據總線
[0474.66-0476.34] 與CPU連接
[0476.34-0477.70] 在該市議圖中
[0477.70-0478.74] 我們特意畫出了
[0478.74-0479.78] 系統總線中
[0479.78-0480.98] 8259A芯片
[0480.98-0483.06] 與CPU進行連接的部分
[0483.06-0484.50] 並且用相應顏色
[0484.50-0486.08] 進行區分
[0486.08-0487.52] 請同學們注意
[0487.52-0488.32] 實際上
[0488.32-0490.40] 中斷控制器芯片8259A
[0490.40-0492.72] 本身也是一個IOS設備
[0492.72-0494.40] CPU可以通過總線
[0494.40-0495.84] 訪問其IOS接口
[0495.84-0497.44] 來配置其功能
[0497.44-0499.44] 進而使其能夠輔助CPU
[0499.44-0500.88] 對可屏蔽外部中斷
[0500.88-0502.64] 進行中斷控制
[0502.64-0503.28] 因此
[0503.28-0504.64] 這種中斷控制器
[0504.64-0507.74] 也成為可編成中斷控制器
[0507.74-0508.86] 這是中斷控制器
[0508.86-0510.14] 8259A芯片的
[0510.14-0511.42] 片選線CS
[0511.42-0513.25] 和地質線A0
[0513.25-0515.01] CPU通過地質總線
[0515.01-0516.85] 輸出完整的地質碼
[0516.85-0518.29] 該地質的高位部分
[0518.29-0520.13] 經地質一碼器一碼後
[0520.13-0521.49] 產生片選信號
[0521.49-0523.41] 以選中該芯片
[0523.41-0524.05] 同時
[0524.05-0525.65] 地質的最低位A0
[0525.65-0527.49] 直接連接到該芯片
[0527.49-0529.17] 用於在該芯片內部
[0529.17-0531.49] 選擇具體的記存器端口
[0531.49-0532.93] 二者共同協作
[0532.93-0533.49] 完成了
[0533.49-0535.09] 對8259A芯片的
[0535.09-0537.42] 精確尋指和訪問
[0537.42-0538.54] 這是中斷控制器
[0538.54-0539.74] 8259A芯片的
[0539.74-0541.34] 寫控制線WR
[0541.34-0543.18] 和讀控制線RD
[0543.18-0544.06] 分別用於
[0544.06-0545.82] CPU向該芯片寫入
[0545.82-0548.70] 命令字和讀取狀態信息
[0548.70-0549.82] 這是中斷控制器
[0549.82-0551.02] 8259A芯片的
[0551.02-0552.78] 8位雙向數據線
[0552.78-0555.10] 用於在CPU和該芯片之間
[0555.10-0556.46] 傳輸數據
[0556.46-0558.22] 這包括CPU要寫入
[0558.22-0559.02] 該芯片的
[0559.02-0560.06] 初始化命令
[0560.06-0561.02] 操作命令
[0561.02-0562.06] 以及CPU在
[0562.06-0563.26] 中斷響應週期
[0563.26-0565.06] 讀取的中斷號
[0565.06-0566.66] CPU據此中斷號
[0566.66-0568.34] 查詢中斷相量表
[0568.42-0569.14] 即可獲得
[0569.14-0570.50] 對應的中斷幅程序的
[0570.50-0572.00] 入口地址
[0572.00-0573.36] 這是中斷控制器
[0573.36-0574.64] 8259A芯片的
[0574.64-0576.32] 中斷請求線
[0576.32-0578.00] 用於向CPU報告
[0578.00-0578.88] 有外部設備
[0578.88-0580.80] 發出了中斷請求
[0580.80-0582.56] CPU通過中斷響應線
[0582.56-0583.60] 對中斷控制器
[0583.60-0586.00] 8259A芯片進行響應
[0586.00-0588.08] 表示已收到中斷請求
[0588.08-0591.46] 並進入中斷響應週期
[0591.46-0592.82] 在此週期內
[0592.82-0593.62] 中斷控制器
[0593.62-0594.66] 8259A芯片
[0594.66-0595.78] 通過數據線
[0595.78-0598.51] 將中斷號發送給CPU
[0598.51-0599.23] 在介紹完
[0599.23-0599.95] 中斷控制器
[0599.95-0601.07] 8259A芯片
[0601.07-0603.07] 與CPU的連接情況後
[0603.07-0603.87] 接下來
[0603.87-0604.91] 我們對該芯片
[0604.91-0605.39] 內部的
[0605.39-0606.83] 主要功能部件的功能
[0606.83-0608.11] 進行簡介
[0608.11-0608.99] 以便同學們
[0608.99-0609.79] 進一步理解
[0609.79-0610.67] 中斷請求的
[0610.67-0613.07] 中斷控制器方式
[0613.07-0613.79] 中斷控制器
[0613.79-0614.67] 8259A芯片
[0614.67-0615.23] 內部的
[0615.23-0616.75] 中斷請求記存器
[0616.75-0617.87] IRR
[0617.87-0618.83] 負責所存
[0618.83-0620.03] 來自外部設備的
[0620.03-0621.39] 中斷請求
[0621.39-0622.03] 當某條
[0622.03-0623.07] 中斷請求線上
[0623.07-0623.95] 出現有效的
[0623.95-0625.39] 請求信號時
[0625.39-0626.99] 中斷請求記存器中
[0626.99-0629.10] 對應的位被質疑
[0629.18-0630.30] 中斷控制器芯片
[0630.30-0631.18] 8259A芯片
[0631.18-0631.82] 內部的
[0631.82-0633.02] 在服務記存器
[0633.02-0634.30] ISR
[0634.30-0635.18] 用於記錄
[0635.18-0635.66] CPU
[0635.66-0636.78] 當前正在響應的
[0636.78-0638.38] 中斷是哪一個
[0638.38-0639.66] 一旦某個中斷請求
[0639.66-0641.18] 被CPU響應
[0641.18-0642.30] 在服務記存器中
[0642.30-0644.22] 相應位被拒一
[0644.22-0645.66] 這樣做的目的是
[0645.66-0647.02] 防止被同級
[0647.02-0648.94] 或低級中斷打斷
[0648.94-0650.14] 為中斷結束命令
[0650.14-0651.18] EOI提供
[0651.18-0652.86] 清除目標
[0652.86-0653.58] 中斷控制器
[0653.58-0654.46] 8259A芯片
[0654.46-0655.10] 內部的
[0655.10-0655.74] 優先級
[0655.74-0656.30] 仲裁器
[0656.30-0657.42] PR
[0657.42-0658.78] 用於同時比較
[0658.78-0660.14] 中斷請求記存器
[0660.14-0661.18] IR中
[0661.18-0662.78] 位被屏蔽的請求
[0662.78-0664.14] 與在服務記存器
[0664.14-0665.10] ISR中
[0665.10-0666.86] 正在服務的請求
[0666.86-0668.78] 根據設定的優先級規則
[0668.78-0670.06] 裁決出優先級
[0670.06-0672.38] 最高的中斷請求
[0672.38-0673.58] 這是中斷控制器
[0673.58-0674.46] 8259A芯片
[0674.46-0675.10] 內部的
[0675.10-0676.54] 中斷屏蔽記存器
[0676.54-0677.74] RMR
[0677.74-0678.94] 我們在上一課中
[0678.94-0680.38] 已經給同學們介紹過
[0680.38-0681.50] 中斷優先級
[0681.50-0684.22] 與中斷屏蔽的相關知識
[0684.22-0684.62] 對於
[0684.62-0685.42] 中斷控制器
[0685.42-0686.86] 8259A芯片
[0686.86-0688.46] CPU可通過編程
[0688.46-0689.50] 設置其內部的
[0689.50-0691.90] 中斷屏蔽記存器的每一位
[0691.90-0693.18] 以單獨屏蔽
[0693.18-0694.54] 或開放相應的
[0694.54-0695.42] 中斷請求線
[0695.42-0696.58] RMR
[0696.58-0698.02] 被中斷屏蔽記存器
[0698.02-0699.30] 屏蔽的請求
[0699.30-0700.10] 無法進入
[0700.10-0702.51] 後續的優先級比較
[0702.51-0703.23] 中斷控制器
[0703.23-0704.11] 8259A芯片
[0704.11-0705.79] 內部的控制邏輯
[0705.79-0707.55] 會根據CPU發來的
[0707.55-0708.75] 初始化命令字
[0708.75-0710.27] 和操作命令字
[0710.27-0711.63] 協調該芯片內
[0711.63-0713.23] 所有部件的工作
[0713.23-0714.03] 包括
[0714.03-0714.99] 控制向CPU
[0714.99-0716.67] 發起中斷請求
