[0003.41-0007.51] 同学们好,欢迎大家来到我的计算机组成员里威克唐
[0007.51-0012.31] 在上一课中,我们给同学们介绍了中断请求的四种常见方式
[0012.31-0016.81] 不同方式的中断优先级仲裁和中断识别方法各不相同
[0016.81-0020.71] 其中,中断控制机方式是我们重点介绍的内容
[0020.71-0026.91] 我们基于该式意图,给同学们介绍了中断控制器与CPU通过系统总线的连接
[0026.91-0030.01] 以及中断控制器内部各功能部件的作用
[0030.21-0033.61] 之后,我们还画出了中断控制器的工作流程
[0033.61-0039.81] 在此基础上,等结课,我们给同学们介绍CPU对中断请求的响应和处理
[0039.81-0044.61] 首先来看,CPU响应某个外部设备中断请求需要满足的条件
[0044.61-0049.31] 请同学们回忆一下,我们上结课给同学们介绍过的这幅式意图
[0049.31-0056.31] 重点回忆中断控制器内部的中断屏蔽计准器RMR和在幅计准器RSR的作用
[0056.31-0059.71] 以及CPU内部的中断使能标志位的作用
[0059.81-0063.11] 因为它们都涉及到对中断请求的响应
[0063.11-0070.88] 好的,我们来看CPU响应某个外部设备中断请求需要满足的条件
[0070.88-0078.18] 1.相应的中断请求未被屏蔽,也就是中断屏蔽计准器RMR中的相应位的取之为0
[0078.18-0082.18] 2.当前没有更高优先级的其他中断请求
[0082.18-0089.18] 假设当前中断请求的中断号为i,i的值表示优先级,值越大优先级越高
[0089.38-0094.78] 则如果i的值大于在幅计存器RSR中的最高优先级
[0094.78-0098.58] 则当前中断请求在优先级排队中胜出
[0098.58-0103.48] 中断优先级排队逻辑会产生中断请求信号送入CPU
[0103.48-0109.81] 3.若CPU正在执行中断服务,则中断请求应符合签到条件
[0109.81-0113.71] 4.CPU的中断使能位处于使用状态
[0113.71-0117.31] 也就是CPU内部的中断使能标志位的值为1
[0117.41-0122.21] 请同学们注意,内部异常和不可屏蔽中断不受此限制
[0122.21-0124.81] 从该示意图就可以看出
[0124.81-0135.84] 5.CPU以执行完一条指令的最后一个状态周期,处于可中断时机
[0135.84-0137.14] 如同所示
[0138.22-0143.12] 请同学们注意,对于内部异常指令,由于它无法执行完毕
[0143.12-0146.12] 因此它的中断时机不受此限制
[0146.12-0150.02] 一旦当前中断请求满足上述中断响应条件
[0150.02-0153.36] CPU就进入中断响应阶段
[0153.66-0156.06] 至此,我们就在上级课的基础上
[0156.06-0158.86] 对CPU响应某个外部设备中断请求
[0158.86-0161.56] 要满足的条件进行了梳理
[0161.56-0165.06] 接下来,我们给出单级中断的处理流程
[0165.06-0168.06] 如同所示,该流程图是在之前纳幅
[0168.06-0172.22] 中断控制器的工作流程图的基础上修改而来的
[0172.22-0174.52] 去掉了中断控制器的相关细节
[0174.52-0177.12] 而将重点放在了单级中断方式下
[0177.12-0180.85] CPU对中断请求的响应和处理上
[0180.85-0182.45] 流程图中的这部分
[0182.45-0184.95] 表示的是CPU不断地进行取指令
[0184.95-0186.45] 执行指令的操作
[0186.45-0189.75] 在每条指令的指令周期的执行周期结束时
[0189.75-0192.25] CPU会进行中断判断
[0192.25-0195.15] 此时,就是中断的响应时机
[0195.15-0198.45] 因此,流程图中这部分的每一次循环
[0198.45-0202.65] 包括每条指令的取指周期、坚指周期、执行周期
[0202.65-0205.91] 若CPU在每条指令的执行周期结束时
[0205.91-0207.91] 发现存在中断请求
[0207.91-0210.71] 则进入中断周期,如同所示
[0210.71-0218.16] 请同学们注意
[0218.26-0220.26] 我们之前给同学们介绍过
